	Source	Target	SourceType	Weight	Variance	Cofactor	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
301	Muribaculum_intestinale_YL27	Formate-e0-e0	Microbe	-2.2111200945397453e-05	0.0002509726911192565	D-Mannose-e0	2.2111200945397453e-05	-1.0	0.0047022548788211655	-0.0047022548788211655
302	Muribaculum_intestinale_YL27	Formate-e0-e0	Microbe	2.2111200944686243e-05	0.0002509726911187233	O2-e0	2.2111200944686243e-05	1.0	0.004702254878745541	0.004702254878745541
303	Muribaculum_intestinale_YL27	Formate-e0-e0	Microbe	6.730011763376813e-05	0.0005879528857928504	Sucrose	6.730011763376813e-05	1.0	0.008203664890386987	0.008203664890386987
304	Muribaculum_intestinale_YL27	L-Aspartate-e0	Microbe	0.004251985575961201	0.004411581505672719	D-Mannose-e0	0.004251985575961201	1.0	0.06520725094620383	0.06520725094620383
305	Muribaculum_intestinale_YL27	Neu5Ac-e0	Microbe	-0.02942223785894283	0.2048750824962334	PAN	0.02942223785894283	-1.0	0.1715291166506224	-0.1715291166506224
306	Muribaculum_intestinale_YL27	Glutamine	Microbe	0.9985316415986079	0.0015322786042608189	Fumarate-e0	0.9985316415986079	1.0	0.9992655510917045	0.9992655510917045
307	Muribaculum_intestinale_YL27	Glutamine	Microbe	-7.234862417398297e-05	0.00013370149598455037	Glycerol-e0	7.234862417398297e-05	-1.0	0.008505799443555142	-0.008505799443555142
308	Muribaculum_intestinale_YL27	Glutamine	Microbe	-8.547183416692445e-05	6.101630305219502e-05	D-Mannose-e0	8.547183416692445e-05	-1.0	0.009245097845178516	-0.009245097845178516
309	Muribaculum_intestinale_YL27	NH3-e0	Microbe	-0.10462896950127194	0.09335463237708481	D-Mannose-e0	0.10462896950127194	-1.0	0.3234640157749729	-0.3234640157749729
310	Muribaculum_intestinale_YL27	NH3-e0	Microbe	0.004628969501316241	0.004280989198929804	O2-e0	0.004628969501316241	1.0	0.0680365306384463	0.0680365306384463
311	Enterococcus_faecalis_KB1	H+-e0	Microbe	-1.011919846778323e-05	9.460302248977744e-06	L-Serine-e0	1.011919846778323e-05	-1.0	0.0031810687618759876	-0.0031810687618759876
312	Enterococcus_faecalis_KB1	L-Serine-e0	Microbe	-0.9973428597967494	0.002598830997588041	L-Serine-e0	0.9973428597967494	-1.0	0.9986705461746378	-0.9986705461746378
313	Enterococcus_faecalis_KB1	Ethanol-e0	Microbe	9.190414889726231e-06	9.190330431820508e-06	L-Serine-e0	9.190414889726231e-06	1.0	0.003031569707218726	0.003031569707218726
314	Enterococcus_faecalis_KB1	NH3-e0	Microbe	0.9973368028024738	0.0026018278932147996	L-Serine-e0	0.9973368028024738	1.0	0.9986675136412888	0.9986675136412888
315	Enterococcus_faecalis_KB1	CO2-e0	Microbe	0.9973363492443793	0.0026019766992467796	L-Serine-e0	0.9973363492443793	1.0	0.9986672865596325	0.9986672865596325
316	Enterococcus_faecalis_KB1	H2-e0	Microbe	0.0009083972153282329	0.0009259528171471526	L-Serine-e0	0.0009083972153282329	1.0	0.030139628652792537	0.030139628652792537
317	Enterococcus_faecalis_KB1	H2O-e0	Microbe	-0.0009184946829789995	0.0009173486561791507	L-Serine-e0	0.0009184946829789995	-1.0	0.030306677201220846	-0.030306677201220846
318	Enterococcus_faecalis_KB1	H2O-e0	Microbe	1.9909933606140102	0.025071043216837133	D-Mannose-e0	1.9909933606140102	1.0	1.411025641373682	1.411025641373682
319	Enterococcus_faecalis_KB1	Acetate-e0	Microbe	0.9973266835345911	0.002611710593411429	L-Serine-e0	0.9973266835345911	1.0	0.9986624472436074	0.9986624472436074
320	Enterococcus_faecalis_KB1	Acetate-e0	Microbe	1.9946393953307222	0.010491980591148786	D-Mannose-e0	1.9946393953307222	1.0	1.4123170307444155	1.4123170307444155
321	Enterococcus_faecalis_KB1	Glycerol-e0	Microbe	-4.5352636443286073e-07	1.5117524908605556e-07	Spermidine-e0	4.5352636443286073e-07	-1.0	0.0006734436609196502	-0.0006734436609196502
322	Enterococcus_faecalis_KB1	Glycerol-e0	Microbe	-9.07052728796377e-07	6.047009962517629e-07	Thiamin-e0	9.07052728796377e-07	-1.0	0.0009523931587303517	-0.0009523931587303517
323	Enterococcus_faecalis_KB1	Glycerol-e0	Microbe	4.5352636452473284e-07	1.511752491473035e-07	L-Serine-e0	4.5352636452473284e-07	1.0	0.0006734436609878608	0.0006734436609878608
324	Enterococcus_faecalis_KB1	Glycerol-e0	Microbe	1.8141054580898272e-06	2.4188039863325785e-06	N-Acetyl-D-glucosamine-e0	1.8141054580898272e-06	1.0	0.001346887321972342	0.001346887321972342
325	Enterococcus_faecalis_KB1	Glycerol-e0	Microbe	1.8141054580765127e-06	2.418803986297073e-06	D-Mannose-e0	1.8141054580765127e-06	1.0	0.0013468873219673993	0.0013468873219673993
326	Enterococcus_faecalis_KB1	Glycerol-e0	Microbe	2.7211581872135407e-06	5.4423089695635e-06	Folate-e0	2.7211581872135407e-06	1.0	0.0016495933399518624	0.0016495933399518624
327	Enterococcus_faecalis_KB1	Glycerol-e0	Microbe	-9.07052729002303e-07	6.047009965263303e-07	O2-e0	9.07052729002303e-07	-1.0	0.0009523931588384615	-0.0009523931588384615
328	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	-5.1064823658368554e-06	2.5532151049449734e-06	Spermidine-e0	5.1064823658368554e-06	-1.0	0.0022597527222766776	-0.0022597527222766776
329	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	-0.9964147640225379	0.003521228712200367	Thiamin-e0	0.9964147640225379	-1.0	0.9982057723849016	-0.9982057723849016
330	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	-52.847429539756334	10.89515398551869	Riboflavin-e0	52.847429539756334	-1.0	7.269623755034117	-7.269623755034117
331	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	5.106482366877708e-06	2.553215105985815e-06	L-Serine-e0	5.106482366877708e-06	1.0	0.00225975272250698	0.00225975272250698
332	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	2.0425929467434745e-05	4.085144169546871e-05	N-Acetyl-D-glucosamine-e0	2.0425929467434745e-05	1.0	0.004519505445005542	0.004519505445005542
333	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	2.0425929467289025e-05	4.0851441694885825e-05	D-Mannose-e0	2.0425929467289025e-05	1.0	0.004519505444989421	0.004519505444989421
334	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	0.9964351896321622	0.0035622245179734295	Folate-e0	0.9964351896321622	1.0	0.9982160034943149	0.9982160034943149
335	Enterococcus_faecalis_KB1	L-Alanine-e0	Microbe	-1.0212964733236815e-05	1.021286042290607e-05	O2-e0	1.0212964733236815e-05	-1.0	0.003195772947697758	-0.003195772947697758
336	Enterococcus_faecalis_KB1	L-Threonine-e0	Microbe	-9.5051443340571e-07	4.752563130771042e-07	Spermidine-e0	9.5051443340571e-07	-1.0	0.0009749432975336104	-0.0009749432975336104
337	Enterococcus_faecalis_KB1	L-Threonine-e0	Microbe	9.505144336228349e-07	4.7525631329422865e-07	L-Serine-e0	9.505144336228349e-07	1.0	0.000974943297644963	0.000974943297644963
338	Enterococcus_faecalis_KB1	L-Threonine-e0	Microbe	3.802057734468206e-06	7.604101012615125e-06	N-Acetyl-D-glucosamine-e0	3.802057734468206e-06	1.0	0.001949886595283994	0.001949886595283994
339	Enterococcus_faecalis_KB1	L-Threonine-e0	Microbe	3.802057734440115e-06	7.604101012502762e-06	D-Mannose-e0	3.802057734440115e-06	1.0	0.0019498865952767908	0.0019498865952767908
340	Enterococcus_faecalis_KB1	L-Threonine-e0	Microbe	-1.9010288671324375e-06	1.9010252529504508e-06	O2-e0	1.9010288671324375e-06	-1.0	0.0013787780340331934	-0.0013787780340331934
341	Enterococcus_faecalis_KB1	L-Threonine-e0	Microbe	1.9928052996231456	0.01413302775302748	Thiamin-e0	1.9928052996231456	1.0	1.4116675598819808	1.4116675598819808
342	Enterococcus_faecalis_KB1	O2-e0	Microbe	0.49820130383154454	0.0008833248406518621	Spermidine-e0	0.49820130383154454	1.0	0.7058337650123749	0.7058337650123749
343	Enterococcus_faecalis_KB1	O2-e0	Microbe	1.4946039115010814	0.007949923565935354	Thiamin-e0	1.4946039115010814	1.0	1.2225399427017023	1.2225399427017023
344	Enterococcus_faecalis_KB1	O2-e0	Microbe	304.30039920456386	329.54579040562135	Riboflavin-e0	304.30039920456386	1.0	17.44420818508435	17.44420818508435
