	Name	Type	In	Out	All	IntrinsicGrowth
Arsenate_e0	Arsenate_e0	Metabolite	bc1015		bc1015	0.0
Arsenite_e0	Arsenite_e0	Metabolite	bc1015		bc1015	0.0
BET_e0	BET_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
BIOT_e0	BIOT_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
CMP_e0	CMP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
CO2_e0	CO2_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Ca2+_e0	Ca2+_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Cbl_e0	Cbl_e0	Metabolite				0.0
Chorismate_e0	Chorismate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Cl-_e0	Cl-_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Co2+_e0	Co2+_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
CoA_e0	CoA_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Cu2+_e0	Cu2+_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Cytosine_e0	Cytosine_e0	Metabolite				0.0
D-Alanine_e0	D-Alanine_e0	Metabolite	bc1011		bc1011	0.0
D-Arabinose_e0	D-Arabinose_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
D-Glucose_e0	D-Glucose_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
D-Serine_e0	D-Serine_e0	Metabolite				0.0
Deoxycytidine_e0	Deoxycytidine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Deoxyguanosine_e0	Deoxyguanosine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Enterobactin_e0	Enterobactin_e0	Metabolite				0.0
Fe-enterochlin_e0	Fe-enterochlin_e0	Metabolite				0.0
Folate_e0	Folate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Formate_e0	Formate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
GTP_e0	GTP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Glycerol_e0	Glycerol_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Glycine_e0	Glycine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
H+_e0	H+_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
H2O_e0	H2O_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Heme_e0	Heme_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
K+_e0	K+_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Alanine_e0	L-Alanine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Arginine_e0	L-Arginine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Asparagine_e0	L-Asparagine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Aspartate_e0	L-Aspartate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Cysteine_e0	L-Cysteine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Glutamate_e0	L-Glutamate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Glutamine_e0	L-Glutamine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Histidine_e0	L-Histidine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Isoleucine_e0	L-Isoleucine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Leucine_e0	L-Leucine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Lysine_e0	L-Lysine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Methionine_e0	L-Methionine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Phenylalanine_e0	L-Phenylalanine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Proline_e0	L-Proline_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Serine_e0	L-Serine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Threonine_e0	L-Threonine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Tryptophan_e0	L-Tryptophan_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Tyrosine_e0	L-Tyrosine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
L-Valine_e0	L-Valine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Methanol_e0	Methanol_e0	Metabolite				0.0
Mg_e0	Mg_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Mn2+_e0	Mn2+_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Myristic acid_e0	Myristic acid_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
N-Acetyl-D-glucosamine_e0	N-Acetyl-D-glucosamine_e0	Metabolite	bc1015		bc1015	0.0
NADP_e0	NADP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
NH3_e0	NH3_e0	Metabolite	bc1015		bc1015	0.0
Na+_e0	Na+_e0	Metabolite				0.0
Niacin_e0	Niacin_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Nicotinamide ribonucleotide_e0	Nicotinamide ribonucleotide_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Nitrate_e0	Nitrate_e0	Metabolite				0.0
Nitrite_e0	Nitrite_e0	Metabolite	bc1011		bc1011	0.0
O2_e0	O2_e0	Metabolite	bc1011.bc1015	bc1011.bc1015	bc1011.bc1015bc1011.bc1015	0.0
Oxidized glutathione_e0	Oxidized glutathione_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
PAN_e0	PAN_e0	Metabolite				0.0
PPi_e0	PPi_e0	Metabolite	bc1015		bc1015	0.0
Putrescine_e0	Putrescine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Pyridoxal_e0	Pyridoxal_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Riboflavin_e0	Riboflavin_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
S-Adenosyl-L-methionine_e0	S-Adenosyl-L-methionine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Spermidine_e0	Spermidine_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Sulfate_e0	Sulfate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
TRHL_e0	TRHL_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
TTP_e0	TTP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Thiamin_e0	Thiamin_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
UMP_e0	UMP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
Uracil_e0	Uracil_e0	Metabolite				0.0
Zn2+_e0	Zn2+_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
chromate_e0	chromate_e0	Metabolite				0.0
dATP_e0	dATP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
dGTP_e0	dGTP_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
ddca_e0	ddca_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
fe3_e0	fe3_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
meso-2,6-Diaminopimelate_e0	meso-2,6-Diaminopimelate_e0	Metabolite	bc1011.bc1015		bc1011.bc1015	0.0
