	bc1003	bc1016	bc1012	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
Folate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Formate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Fumarate	0.0	0.0	0.03399847222152429	0.0	bc1012	1	bc1012	1	bc1012bc1012	2
GTP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Galactose	0.0	0.0	0.0	0.0		0		0		0
Glucose-1-phosphate	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Glucuronate	0.0	0.0	0.0	0.0		0		0		0
Glycerol	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Glycine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
H+	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
H2O	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
HYXN	0.0	0.0	0.0	0.0		0		0		0
Heme	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Inosine	0.0	0.0	0.0	0.0		0		0		0
K+	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Alanine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Arabinose	0.0	0.0	0.0	0.0		0		0		0
L-Arginine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Ascorbate	0.0	0.0	0.0	0.0		0		0		0
L-Asparagine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Aspartate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Cysteine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Glutamate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Glutamine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Histidine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Inositol	0.0	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Lactate	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
L-Leucine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Lysine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Malate	0.0	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Phenylalanine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Proline	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Serine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Threonine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Tryptophan	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Tyrosine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
L-Valine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Methanol	0.0	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Mn2+	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Myristic acid	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
N-Acetyl-D-glucosamine	0.0	0.0	0.0	0.0	bc1003.bc1012	2		0	bc1003.bc1012	2
NADP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
NH3	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Na+	0.0	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Nicotinamide ribonucleotide	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012	3		0	bc1003.bc1011.bc1012	3
Nitrate	0.0	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	0.0	bc1003.bc1011	2		0	bc1003.bc1011	2
O2	0.15297633046741732	0.0	0.152993124996932	0.15278557913560206	bc1003.bc1011.bc1012.bc1016	4	bc1003.bc1011.bc1012	3	bc1003.bc1011.bc1012bc1003.bc1011.bc1012.bc1016	7
Oxidized glutathione	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
PAN	0.0	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	0.0	bc1003.bc1012	2		0	bc1003.bc1012	2
Pimelate	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Putrescine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Pyridoxal	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Riboflavin	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Spermidine	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Succinate	0.0	0.0	0.0	0.0	bc1012	1		0	bc1012	1
Sulfate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
TRHL	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
TTP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Thiamin	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
Thymidine	0.0	0.0	0.0	0.0		0		0		0
UMP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012	3		0	bc1003.bc1011.bc1012	3
Uracil	0.0	0.0	0.0	0.0		0		0		0
Uridine	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Xylose	0.0	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
chromate	0.0	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
dGTP	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
ddca	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
fe3	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
hexadecenoate	0.0	0.0	0.0	0.0	bc1016	1		0	bc1016	1
meso-2,6-Diaminopimelate	0.0	0.0	0.0	0.0	bc1003.bc1011.bc1012.bc1016	4		0	bc1003.bc1011.bc1012.bc1016	4
