	bc1001	bc1016	In	InAmount	Out	OutAmount	All	AllAmount
Folate	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Formate	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Fumarate	0.0	0.0		0		0		0
GTP	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Galactose	0.0	0.0		0		0		0
Glucose-1-phosphate	0.0	0.0	bc1016	1		0	bc1016	1
Glucuronate	0.0	0.0		0		0		0
Glycerol	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Glycine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
H+	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
H2O	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
HYXN	0.0	0.0		0		0		0
Heme	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Inosine	0.0	0.0		0		0		0
K+	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Alanine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Arabinose	0.0	0.0		0		0		0
L-Arginine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Aspartate	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Cysteine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Glutamate	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Glutamine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Histidine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Inositol	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Lactate	0.0	0.0	bc1016	1		0	bc1016	1
L-Leucine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Lysine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Malate	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Phenylalanine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Proline	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Serine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Threonine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Tryptophan	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Tyrosine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
L-Valine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Methanol	0.0	0.0		0		0		0
Mg	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Mn2+	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Myristic acid	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
N-Acetyl-D-glucosamine	0.0	0.0	bc1001	1		0	bc1001	1
NADP	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
NH3	0.0	0.0	bc1016	1		0	bc1016	1
Na+	0.0	0.0		0		0		0
Niacin	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Nicotinamide ribonucleotide	0.0	0.0	bc1001	1		0	bc1001	1
Nitrate	0.0	0.0		0		0		0
Nitrite	0.0	0.0	bc1001	1		0	bc1001	1
O2	-1.5647074916531674	0.0	bc1001.bc1016	2	bc1001	1	bc1001bc1001.bc1016	3
Oxidized glutathione	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
PAN	0.0	0.0		0		0		0
Pimelate	0.0	0.0	bc1016	1		0	bc1016	1
Putrescine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Pyridoxal	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Riboflavin	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
S-Adenosyl-L-methionine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Spermidine	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Succinate	0.0	0.0		0		0		0
Sulfate	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
TRHL	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
TTP	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Thiamin	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
Thymidine	0.0	0.0		0		0		0
UMP	0.0	0.0	bc1001	1		0	bc1001	1
Uracil	0.0	0.0		0		0		0
Uridine	0.0	0.0	bc1016	1		0	bc1016	1
Xylose	0.0	0.0		0		0		0
Zn2+	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
dATP	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
dGTP	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
ddca	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
fe3	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
hexadecenoate	0.0	0.0	bc1016	1		0	bc1016	1
meso-2,6-Diaminopimelate	0.0	0.0	bc1001.bc1016	2		0	bc1001.bc1016	2
