	bc1001	bc1012	bc1015	In	InAmount	Out	OutAmount	All	AllAmount
L-Glutamate	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Glutamine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Histidine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Inositol	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Lactate	0.0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Lysine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Malate	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Phenylalanine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Proline	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Serine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Threonine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Tryptophan	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Tyrosine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
L-Valine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Methanol	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Mn2+	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Myristic acid	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
N-Acetyl-D-glucosamine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
NADP	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
NH3	0.0	0.0	0.0	bc1015	1		0	bc1015	1
Na+	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Nicotinamide ribonucleotide	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Nitrate	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	bc1001	1		0	bc1001	1
O2	-1.5647074916531674	-1.5658264466365561	0.0	bc1001.bc1012.bc1015	3	bc1001.bc1012	2	bc1001.bc1012bc1001.bc1012.bc1015	5
Oxidized glutathione	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
PAN	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	bc1012.bc1015	2		0	bc1012.bc1015	2
Putrescine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Pyridoxal	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Riboflavin	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
S-Adenosyl-L-methionine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Spermidine	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Succinate	0.0	0.0	0.0		0		0		0
Sulfate	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
TRHL	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
TTP	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Thiamin	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
UMP	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
Uracil	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
chromate	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
dGTP	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
ddca	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
fe3	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
meso-2,6-Diaminopimelate	0.0	0.0	0.0	bc1001.bc1012.bc1015	3		0	bc1001.bc1012.bc1015	3
