	bc1011	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
Fumarate	0.0	0.0	bc1010	1		0	bc1010	1
GTP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Glycerol	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Glycine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
H+	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
H2O	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Heme	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
K+	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Alanine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Arginine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Asparagine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Aspartate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Cysteine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Glutamate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Glutamine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Histidine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Inositol	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Leucine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Lysine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Malate	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Phenylalanine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Proline	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Serine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Threonine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Tryptophan	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Tyrosine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
L-Valine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Methanol	0.0	0.0		0		0		0
Mg	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Mn2+	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Myristic acid	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
NADP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
NH3	0.0	0.0	bc1010	1		0	bc1010	1
Na+	0.0	0.0		0		0		0
Niacin	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Nicotinamide ribonucleotide	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Nitrate	0.0	0.0		0		0		0
Nitrite	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
O2	0.0	0.1525294697219451	bc1010.bc1011	2	bc1010	1	bc1010bc1010.bc1011	3
Oxidized glutathione	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
PAN	0.0	0.0		0		0		0
Putrescine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Pyridoxal	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Riboflavin	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
S-Adenosyl-L-methionine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Spermidine	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Succinate	0.0	0.0	bc1010	1		0	bc1010	1
Sulfate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
TRHL	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
TTP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Thiamin	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
UMP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
Zn2+	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
dATP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
dGTP	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
ddca	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
fe3	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
gamma-butyrobetaine	0.0	0.0		0		0		0
meso-2,6-Diaminopimelate	0.0	0.0	bc1010.bc1011	2		0	bc1010.bc1011	2
