	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
14	Enterococcus_faecalis_KB1	CO2-e0	Microbe	-119.04338354074636	119.04338354074636	-1.0	10.910700414764689	-10.910700414764689
15	Enterococcus_faecalis_KB1	Fe2+-e0	Microbe	-2.412125072305394	2.412125072305394	-1.0	1.5531017585159685	-1.5531017585159685
16	Enterococcus_faecalis_KB1	L-Methionine-e0	Microbe	-13.748894123560078	13.748894123560078	-1.0	3.7079501242007122	-3.7079501242007122
17	Enterococcus_faecalis_KB1	K+-e0	Microbe	-0.7060625362762769	0.7060625362762769	-1.0	0.8402752741074063	-0.8402752741074063
18	Muribaculum_intestinale_YL27	5-Methylthio-D-ribose-e0	Microbe	0.49999999999852135	0.49999999999852135	1.0	0.707106781185502	0.707106781185502
19	Muribaculum_intestinale_YL27	Sulfate-e0	Microbe	-0.9241112603271465	0.9241112603271465	-1.0	0.9613070582946671	-0.9613070582946671
20	Muribaculum_intestinale_YL27	Riboflavin	Microbe	-0.9999999999999213	0.9999999999999213	-1.0	0.9999999999999606	-0.9999999999999606
21	Muribaculum_intestinale_YL27	Formate-e0-e0	Microbe	79.54945194286564	79.54945194286564	1.0	8.919049946203106	8.919049946203106
22	Muribaculum_intestinale_YL27	Glycerol-e0	Microbe	-1.0	1.0	-1.0	1.0	-1.0
23	Muribaculum_intestinale_YL27	L-Arginine-e0	Microbe	-36.57235834192094	36.57235834192094	-1.0	6.047508440830897	-6.047508440830897
24	Enterococcus_faecalis_KB1	5-Methylthio-D-ribose-e0	Microbe	-0.49999999992679023	0.49999999992679023	-1.0	0.7071067811347804	-0.7071067811347804
25	Muribaculum_intestinale_YL27	L-Proline	Microbe	-26.58432473953296	26.58432473953296	-1.0	5.155998908022863	-5.155998908022863
26	Enterococcus_faecalis_KB1	L-Arginine-e0	Microbe	-20.723747387084025	20.723747387084025	-1.0	4.552334278925925	-4.552334278925925
27	Muribaculum_intestinale_YL27	Fumarate-e0	Microbe	-0.9999999999999997	0.9999999999999997	-1.0	0.9999999999999998	-0.9999999999999998
28	Muribaculum_intestinale_YL27	H+-e0	Microbe	-708.7679841025674	708.7679841025674	-1.0	26.622696784934607	-26.622696784934607
29	Enterococcus_faecalis_KB1	L-Histidine-e0	Microbe	-9.20497770633231	9.20497770633231	-1.0	3.033970617249335	-3.033970617249335
30	Enterococcus_faecalis_KB1	L-Cysteine-e0	Microbe	-6.397459506001687	6.397459506001687	-1.0	2.5293199690829327	-2.5293199690829327
31	Enterococcus_faecalis_KB1	Spermidine-e0	Microbe	-1.0000000000000009	1.0000000000000009	-1.0	1.0000000000000004	-1.0000000000000004
32	Enterococcus_faecalis_KB1	H+-e0	Microbe	-424.8830358542567	424.8830358542567	-1.0	20.612691135663404	-20.612691135663404
33	Enterococcus_faecalis_KB1	L-Leucine-e0	Microbe	-47.22328716215376	47.22328716215376	-1.0	6.87192019468749	-6.87192019468749
34	Muribaculum_intestinale_YL27	Ca2+-e0	Microbe	-0.9241112603196598	0.9241112603196598	-1.0	0.9613070582907731	-0.9613070582907731
35	Muribaculum_intestinale_YL27	O2-e0	Microbe	1460.948565634104	1460.948565634104	1.0	38.22235688225026	38.22235688225026
36	Muribaculum_intestinale_YL27	Galactose-e0	Microbe	-6.992697025969213	6.992697025969213	-1.0	2.6443708185444064	-2.6443708185444064
37	Muribaculum_intestinale_YL27	L-Tyrosine	Microbe	-17.083554956511147	17.083554956511147	-1.0	4.133225732586008	-4.133225732586008
38	Muribaculum_intestinale_YL27	PAN	Microbe	-1.0000000000047364	1.0000000000047364	-1.0	1.000000000002368	-1.000000000002368
39	Muribaculum_intestinale_YL27	CO2-e0	Microbe	-483.31571451983456	483.31571451983456	-1.0	21.98444255649514	-21.98444255649514
40	Muribaculum_intestinale_YL27	Fe2+-e0	Microbe	-1.924111260337633	1.924111260337633	-1.0	1.3871233760331605	-1.3871233760331605
