	Avg_bc1001	Var_bc1001	Avg_bc1002	Var_bc1002	Avg_bc1003	Var_bc1003	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Cu2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
D-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	bc1011	1		1	bc1011	1
D-Arabinose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
D-Glucose	0.1488441600661666	0.019177005619197055	0.14536036936222207	0.01824425268028831	0.1493373052450442	0.019303033504678952	0.14498824505525673	0.01814789909746513	4.0	0.0	2.1453810248536405	3.9762737938512065	6.14538102485364	3.976273793851206	bc1001.bc1002.bc1003.bc1011	1	.bc1011.bc1002.bc1011.bc1002.bc1003.bc1011.bc1001.bc1002.bc1003.bc1011	5	bc1001.bc1002.bc1003.bc1011.bc1011bc1001.bc1002.bc1003.bc1011.bc1002.bc1011bc1001.bc1002.bc1003.bc1011.bc1002.bc1003.bc1011bc1001.bc1002.bc1003.bc1011.bc1001.bc1002.bc1003.bc1011bc1001.bc1002.bc1003.bc1011	5
D-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Deoxycytidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Deoxyguanosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Folate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Formate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	bc1001.bc1003.bc1011	1		1	bc1001.bc1003.bc1011	1
GTP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Glycerol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
H+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
H2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Heme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
K+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Arginine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Asparagine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Aspartate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Cysteine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Glutamate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Glutamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Inositol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Lysine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Proline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Threonine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Tyrosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Methanol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Mn2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Myristic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
N-Acetyl-D-glucosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1001.bc1003	1		1	bc1001.bc1003	1
NADP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Na+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Niacin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Nicotinamide ribonucleotide	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Nitrate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Nitrite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
O2	0.07069253414209375	0.005773376822209932	0.07084784857708067	0.005813253884248405	0.07097538908670677	0.005820048719972166	0.0707881887751443	0.005804446747905282	4.0	0.0	1.8546189751463598	3.976273793851207	5.8546189751463595	3.9762737938512065	bc1001.bc1002.bc1003.bc1011	1	bc1001.bc1002.bc1003.bc1011.bc1001.bc1002.bc1003.bc1001.bc1003.bc1001.	5	bc1001.bc1002.bc1003.bc1011bc1001.bc1002.bc1003.bc1011.bc1001.bc1002.bc1003bc1001.bc1002.bc1003.bc1011.bc1001.bc1003bc1001.bc1002.bc1003.bc1011.bc1001bc1001.bc1002.bc1003.bc1011.bc1001.bc1002.bc1003.bc1011	5
Oxidized glutathione	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
PAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PPi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1002.bc1003	1		1	bc1002.bc1003	1
Putrescine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Riboflavin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Sulfate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
TRHL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
TTP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Thiamin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
UMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
Zn2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
chromate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
dATP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
dGTP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
ddca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
fe3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
meso-2,6-Diaminopimelate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	bc1001.bc1002.bc1003.bc1011	1		1	bc1001.bc1002.bc1003.bc1011	1
