	0.0000-0.0012	0.0727-0.0746	0.0750-0.0754	0.0754-0.0773	0.0858-0.0901	0.0901-0.0901	0.0901-0.1013	0.1013-0.1018	0.1018-0.2074	0.2074-20.0000	Source	Target
PAN##L-Arginine-e0##Bacteroides_caecimuris_I48	-36.57235834181526	-36.57235834170108	-36.57235834158788	-36.57235834160215	-36.57235834137146	-36.572358341397525	-36.57235834145778	-36.57235834170753	-36.57235834180158	-36.57235834164201	PAN	L-Arginine-e0
PAN##L-Lysine-e0##Bacteroides_caecimuris_I48	-41.268999357415524	-41.26899935726744	-41.26899935712198	-41.268999357136096	-41.268999356910804	-41.26899935692701	-41.26899935699875	-41.2689993572651	-41.26899935737313	-41.268999357171616	PAN	L-Lysine-e0
Folate##Inosine-e0##Bacteroides_caecimuris_I48	0.9999999999994147	0.9999999999987361	0.999999999998373	0.9999999999983932	0.9999999999981747	0.9999999999981952	0.999999999998339	0.999999999999318	0.9999999999998269	0.9999999999984814	Folate	Inosine-e0
Riboflavin##Inosine-e0##Bacteroides_caecimuris_I48	0.9999999999998789	0.9999999999990187	0.9999999999983412	0.9999999999983896	0.9999999999980554	0.999999999998005	0.9999999999983522	0.9999999999991217	0.9999999999996215	0.9999999999985981	Riboflavin	Inosine-e0
PAN##Inosine-e0##Bacteroides_caecimuris_I48	-60.084785613895605	-60.08478561353996	-60.08478561324364	-60.08478561325836	-60.08478561310689	-60.08478561309017	-60.08478561320181	-60.08478561351652	-60.08478561370033	-60.0847856132565	PAN	Inosine-e0
Spermidine-e0##NH3-e0##Bacteroides_caecimuris_I48	-2.833333333324589	-0.999999999992703	-0.9999999999896337	-0.999999999989827	-2.6666666666359156	-2.66666666663321	-2.666666666639912	-1.9999999999996703	-2.3333333333255646	-2.000000000003284	Spermidine-e0	NH3-e0
O2-e0##NH3-e0##Bacteroides_caecimuris_I48	-5.333333333303276	0.0	0.0	0.0	1.999999999992519	1.9999999999894735	1.9999999999980387	0.0	1.000000000005667	0.0	O2-e0	NH3-e0
Folate##NH3-e0##Bacteroides_caecimuris_I48	-4.233333333317444	-5.9999999999741735	-5.9999999999676366	-5.999999999968214	-7.333333333260221	-7.333333333260592	-7.333333333266201	1.0000000000005755	-2.1666666666631658	1.9999999999915004	Folate	NH3-e0
Riboflavin##NH3-e0##Bacteroides_caecimuris_I48	-2.366666666662956	-2.999999999980509	-2.9999999999693934	-2.999999999970673	-6.333333333254242	-6.333333333250016	-6.333333333263363	0.0	-3.1666666666585463	0.0	Riboflavin	NH3-e0
PAN##NH3-e0##Bacteroides_caecimuris_I48	1546.705440336528	1284.9888171566508	1284.9888171520417	1284.9888171524717	2535.8594437122483	2535.8594437108604	2535.8594437151683	-113.57157603381793	969.9637214653195	-415.0806252058071	PAN	NH3-e0
PAN##Neu5Ac-e0##Bacteroides_caecimuris_I48	-6.9926970260889805	-6.992697025944211	-6.992697025819031	-6.992697025823511	-6.992697025955963	-6.992697025903899	-6.992697025922361	-6.992697025921789	-6.992697025961327	-6.992697025770308	PAN	Neu5Ac-e0
Spermidine-e0##Acetate-e0##Bacteroides_caecimuris_I48	-0.8333333333220454	1.83333333333807	2.6666666666548884	2.666666666654821	1.0000000000202216	1.0000000000223856	1.0000000000179354	1.3333333333372266	1.3333333333369897	1.6666666666581333	Spermidine-e0	Acetate-e0
O2-e0##Acetate-e0##Bacteroides_caecimuris_I48	-3.3333333332955273	1.0000000000025009	0.0	0.0	1.9999999999961133	1.9999999999936393	1.9999999999993232	1.0000000000017986	1.0000000000028268	0.0	O2-e0	Acetate-e0
Folate##Acetate-e0##Bacteroides_caecimuris_I48	-4.233333333313852	-4.833333333319436	-3.666666666679455	-3.6666666666794043	-5.999999999952399	-5.999999999952442	-5.999999999956125	-1.8333333333277229	-1.8333333333308852	2.333333333311506	Folate	Acetate-e0
Riboflavin##Acetate-e0##Bacteroides_caecimuris_I48	-2.3666666666623066	-0.8333333333217136	1.333333333310649	1.3333333333106785	-2.9999999999483817	-2.9999999999449423	-2.9999999999537748	0.16666666667431246	0.16666666667126	3.3333333333123654	Riboflavin	Acetate-e0
PAN##Acetate-e0##Bacteroides_caecimuris_I48	2000.8453093008236	688.8475074297958	-284.38421930621115	-284.38421930619097	1662.079234163778	1662.0792341626545	1662.0792341655042	337.36372429262826	337.3637242937483	-1047.6806223733315	PAN	Acetate-e0
PAN##L-Asparagine-e0##Bacteroides_caecimuris_I48	-28.989573168201265	-28.989573167216975	-28.98957316637509	-28.989573166365485	-28.989573167549185	-28.989573167207777	-28.9895731672683	-28.989573167038948	-28.989573167215195	-28.989573166009997	PAN	L-Asparagine-e0
PAN##Ca2+-e0##Bacteroides_caecimuris_I48	-0.9241112603168803	-0.924111260310076	-0.9241112603038328	-0.9241112603037902	-0.9241112603042496	-0.9241112603028934	-0.9241112603046066	-0.9241112603096745	-0.9241112603122804	-0.924111260303298	PAN	Ca2+-e0
PAN##Cu2+-e0##Bacteroides_caecimuris_I48	-0.9241112603175047	-0.9241112603109122	-0.9241112603027573	-0.9241112603028393	-0.9241112603054603	-0.9241112603043726	-0.9241112603058714	-0.9241112603098233	-0.9241112603129328	-0.9241112603025669	PAN	Cu2+-e0
PAN##Fe2+-e0##Bacteroides_caecimuris_I48	-1.9241112603159987	-1.9241112605362662	-1.9241112607215822	-1.9241112607280662	-1.9241112603766932	-1.9241112604632795	-1.924111260461581	-1.9241112605852557	-1.9241112605675543	-1.9241112608149262	PAN	Fe2+-e0
Folate##Formate-e0##Bacteroides_caecimuris_I48	-0.9999999999999643	-2.1666666666465737	-1.0000000000000993	-1.0000000000001639	-0.9999999999970994	-0.9999999999977341	-0.9999999999979291	-1.0000000000017022	-1.0000000000017928	-1.0000000000059566	Folate	Formate-e0
Riboflavin##Formate-e0##Bacteroides_caecimuris_I48	-3.000000000000006	-5.166666666651841	-3.0000000000035465	-3.000000000003721	-2.999999999996994	-2.999999999999051	-2.9999999999994245	-3.0000000000023324	-3.000000000002426	-3.000000000005591	Riboflavin	Formate-e0
PAN##Formate-e0##Bacteroides_caecimuris_I48	5.499999999969946	1055.781178688381	82.54945194435709	82.54945194442335	82.54945194172217	82.54945194237222	82.54945194250271	82.54945194370623	82.54945194375334	82.54945194513952	PAN	Formate-e0
PAN##K+-e0##Bacteroides_caecimuris_I48	-0.924111260319323	-0.9241112603108593	-0.924111260303842	-0.9241112603035704	-0.9241112603059467	-0.924111260305097	-0.9241112603060418	-0.9241112603104754	-0.9241112603136742	-0.9241112603042702	PAN	K+-e0
Spermidine-e0##L-Methionine-e0##Bacteroides_caecimuris_I48	0.9999999999998924	0.9999999999995804	0.9999999999993332	0.9999999999993305	0.9999999999996907	0.9999999999995097	0.9999999999995761	0.9999999999995995	0.9999999999996193	0.999999999999508	Spermidine-e0	L-Methionine-e0
PAN##L-Methionine-e0##Bacteroides_caecimuris_I48	-19.482435295022448	-19.48243529467904	-19.482435294381528	-19.482435294383773	-19.482435294681977	-19.48243529458633	-19.482435294624153	-19.482435294627315	-19.4824352947146	-19.482435294276637	PAN	L-Methionine-e0
Folate##Succinate-e0##Bacteroides_caecimuris_I48	-1.9999999999905336	-0.8333333333326866	0.33333333330488185	0.33333333330527193	-0.9999999999925873	-0.9999999999925389	-0.9999999999930969	3.166666666656205	0.0	0.0	Folate	Succinate-e0
Riboflavin##Succinate-e0##Bacteroides_caecimuris_I48	-0.9999999999979765	1.1666666666690204	3.333333333297891	3.3333333332986625	0.0	0.0	0.0	3.1666666666520693	0.0	0.0	Riboflavin	Succinate-e0
PAN##Succinate-e0##Bacteroides_caecimuris_I48	1034.4135806147356	-15.86759808023646	-989.0993248149857	-989.0993248152175	261.77130174805615	261.77130174780444	261.77130174825095	-1062.9442081313832	20.59108936500403	20.591089364764976	PAN	Succinate-e0
PAN##Cl--e0##Bacteroides_caecimuris_I48	-0.9241112603180367	-0.924111260309766	-0.9241112603027072	-0.9241112603031143	-0.9241112603038617	-0.9241112603030307	-0.9241112603047222	-0.9241112603090837	-0.924111260312252	-0.9241112603029393	PAN	Cl--e0
Spermidine-e0##H2-e0##Bacteroides_caecimuris_I48	-0.8333333333198889	1.8333333333374193	2.6666666666541143	2.666666666653954	2.6666666666750496	2.6666666666727834	2.6666666666708	2.3333333333454207	2.6666666666703693	2.6666666666713796	Spermidine-e0	H2-e0
O2-e0##H2-e0##Bacteroides_caecimuris_I48	-3.333333333289098	1.0000000000019575	0.0	0.0	0.0	0.0	0.0	1.0000000000024414	0.0	0.0	O2-e0	H2-e0
Folate##H2-e0##Bacteroides_caecimuris_I48	-4.233333333310552	-4.833333333313808	-3.666666666673769	-3.6666666666739296	-4.666666666643044	-4.666666666644587	-4.66666666664637	-8.833333333317144	-5.66666666666808	-5.666666666658192	Folate	H2-e0
Riboflavin##H2-e0##Bacteroides_caecimuris_I48	-2.3666666666616365	-0.8333333333204699	1.3333333333119852	1.3333333333115325	0.33333333335848	0.33333333335451576	0.3333333333505315	-2.8333333333109745	0.3333333333341621	0.33333333334167087	Riboflavin	H2-e0
PAN##H2-e0##Bacteroides_caecimuris_I48	2354.6966887642075	1042.6988868936237	69.4671601576306	69.46716015782326	765.0599870585983	765.0599870598318	765.0599870611414	2089.7754969476773	1006.2401994538275	1006.240199450594	PAN	H2-e0
PAN##Mg-e0##Bacteroides_caecimuris_I48	-0.92411126031729	-0.9241112603110517	-0.9241112603053353	-0.9241112603054893	-0.9241112603054285	-0.9241112603047109	-0.9241112603061694	-0.9241112603102981	-0.9241112603129327	-0.92411126030522	PAN	Mg-e0
PAN##Sucrose-e0##Bacteroides_caecimuris_I48	-6.992697026108399	-6.992697026169707	-6.992697026224126	-6.992697026229226	-6.992697026046516	-6.992697026086038	-6.992697026095807	-6.992697026193644	-6.992697026203043	-6.992697026287983	PAN	Sucrose-e0
PAN##Glycerol-e0##Bacteroides_caecimuris_I48	3.9543954170359035	3.95439541700746	3.9543954169807276	3.954395416981329	3.9543954169802773	3.954395416977374	3.9543954169848807	3.954395417002153	3.954395417015376	3.954395416982257	PAN	Glycerol-e0
Spermidine-e0##H2O-e0##Bacteroides_caecimuris_I48	1.8333333333318804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	H2O-e0
O2-e0##H2O-e0##Bacteroides_caecimuris_I48	5.333333333327419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	H2O-e0
Folate##H2O-e0##Bacteroides_caecimuris_I48	-1.7666666666704032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate	H2O-e0
Riboflavin##H2O-e0##Bacteroides_caecimuris_I48	-0.6333333333344389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	H2O-e0
PAN##H2O-e0##Bacteroides_caecimuris_I48	-261.7166231729966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	H2O-e0
Spermidine-e0##CO2-e0##Bacteroides_caecimuris_I48	-3.833333333318293	-1.1666666666575458	-0.3333333333379922	-0.3333333333381351	-1.9999999999719569	-1.9999999999690714	-1.9999999999752296	-1.9999999999805622	-1.9999999999818618	-1.3333333333365935	Spermidine-e0	CO2-e0
O2-e0##CO2-e0##Bacteroides_caecimuris_I48	-3.3333333332834423	1.0000000000047473	0.0	0.0	1.9999999999940117	1.9999999999907283	1.9999999999985967	2.0000000000069686	2.000000000013086	0.0	O2-e0	CO2-e0
Folate##CO2-e0##Bacteroides_caecimuris_I48	-4.233333333307582	-4.833333333306185	-3.666666666661927	-3.6666666666621444	-5.999999999933241	-5.9999999999333316	-5.999999999938496	-5.999999999973302	-5.999999999991967	2.3333333333249344	Folate	CO2-e0
Riboflavin##CO2-e0##Bacteroides_caecimuris_I48	-2.366666666660891	-0.8333333333111195	1.3333333333291777	1.3333333333286346	-2.999999999927995	-2.9999999999234186	-2.9999999999356617	-2.999999999963263	-2.9999999999813456	3.333333333325312	Riboflavin	CO2-e0
PAN##CO2-e0##Bacteroides_caecimuris_I48	2642.7984358503527	1330.8006339754452	357.56890723595035	357.5689072361584	2304.0323607049445	2304.0323607034466	2304.0323607073933	2304.0323607186447	2304.0323607253404	-466.05633261940795	PAN	CO2-e0
O2-e0##O2-e0##Bacteroides_caecimuris_I48	-0.9999999999999988	-1.0000000000000007	-0.9999999999999984	-0.9999999999999981	-0.9999999999999996	-1.0000000000000002	-1.0000000000000004	-0.9999999999999993	-1.0000000000000018	0.0	O2-e0	O2-e0
PAN##L-Glycine##Bacteroides_caecimuris_I48	-77.0494519422868	973.2317267449495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Glycine
PAN##L-Phenylalanine##Bacteroides_caecimuris_I48	-22.28019597210415	-22.280195971951585	-22.280195971811857	-22.28019597181845	-22.280195971809068	-22.280195971791148	-22.280195971828988	-22.280195971934454	-22.28019597200089	-22.280195971807036	PAN	L-Phenylalanine
PAN##L-Proline##Bacteroides_caecimuris_I48	-26.58432473944087	-26.58432473926139	-26.584324739095567	-26.584324739103284	-26.584324739088803	-26.58432473906773	-26.58432473911248	-26.58432473924137	-26.58432473932065	-26.58432473909083	PAN	L-Proline
Spermidine-e0##L-Serine##Bacteroides_caecimuris_I48	0.8333333333290496	0.6666666666522173	-0.9999999999962158	-0.9999999999960186	0.6666666666347877	0.6666666666328764	0.6666666666398489	0.0	0.0	0.0	Spermidine-e0	L-Serine
O2-e0##L-Serine##Bacteroides_caecimuris_I48	5.333333333316923	-2.0000000000073217	0.0	0.0	-1.9999999999897844	-1.999999999987704	-1.9999999999966338	0.0	0.0	0.0	O2-e0	L-Serine
Folate##L-Serine##Bacteroides_caecimuris_I48	4.233333333324398	8.333333333282173	5.9999999999886375	5.999999999989046	8.333333333256771	8.333333333257606	8.333333333263461	0.0	0.0	0.0	Folate	L-Serine
Riboflavin##L-Serine##Bacteroides_caecimuris_I48	1.3666666666645124	6.333333333295405	1.9999999999997327	2.000000000000688	6.3333333332505255	6.333333333247671	6.333333333261573	0.0	0.0	0.0	Riboflavin	L-Serine
PAN##L-Serine##Bacteroides_caecimuris_I48	-810.5852855642512	-2649.4310197651776	-702.9675662780377	-702.9675662783876	-2649.4310197443847	-2649.4310197434297	-2649.431019747923	0.0	0.0	0.0	PAN	L-Serine
PAN##L-Threonine##Bacteroides_caecimuris_I48	-75.99313011345714	-75.99313011314177	-75.99313011284487	-75.99313011286836	-75.99313011253157	-75.99313011253803	-75.99313011266312	-75.99313011313431	-75.99313011334286	-75.99313011291343	PAN	L-Threonine
PAN##L-Tryptophan##Bacteroides_caecimuris_I48	-6.835969218711587	-6.835969218696611	-6.835969218683836	-6.835969218685783	-6.835969218632084	-6.83596921863759	-6.835969218649042	-6.8359692187036325	-6.835969218721167	-6.835969218695667	PAN	L-Tryptophan
PAN##L-Tyrosine##Bacteroides_caecimuris_I48	-17.08355495650353	-17.083554956450335	-17.08355495638441	-17.08355495638855	-17.083554956292083	-17.08355495630839	-17.083554956342407	-17.083554956445656	-17.0835549564905	-17.083554956415124	PAN	L-Tyrosine
Folate##Folate##Bacteroides_caecimuris_I48	-1.0000000000000004	-1.0000000000000007	-0.9999999999999994	-0.9999999999999998	-0.9999999999999986	-0.9999999999999994	-1.0000000000000009	-0.999999999999999	-0.999999999999999	-0.9999999999999994	Folate	Folate
Riboflavin##Riboflavin##Bacteroides_caecimuris_I48	-0.9999999999999991	-1.0000000000000009	-1.0	-0.9999999999999996	-0.9999999999999986	-1.0	-0.9999999999999994	-0.9999999999999986	-0.9999999999999999	-0.999999999999999	Riboflavin	Riboflavin
PAN##PAN##Bacteroides_caecimuris_I48	-1.000000000000282	-1.0000000000000202	-1.0000000000000249	-1.0000000000000513	-0.9999999999999312	-0.99999999999995	-0.9999999999999862	-0.9999999999999419	-1.0000000000000582	-0.9999999999999624	PAN	PAN
PAN##Sorbitol-e0-e0##Bacteroides_caecimuris_I48	6.992697026037586	6.992697024491373	6.992697021535075	6.992697021470317	6.992697025059223	6.992697024090935	6.992697024126019	6.992697023078972	6.992697023389711	6.99269702045948	PAN	Sorbitol-e0-e0
D-Glucose-e0##H+-e0##Bacteroides_caecimuris_I48	0.0	1.0000000000035703	1.999999999991494	1.9999999999918083	1.9999999999905829	1.9999999999895313	1.9999999999920353	2.9999999999869926	2.9999999999916014	1.999999999994222	D-Glucose-e0	H+-e0
Spermidine-e0##L-Aspartate-e0##Bacteroides_caecimuris_I48	0.0	-0.8333333333357049	-1.6666666666525016	-1.6666666666525392	0.0	0.0	0.0	0.0	0.3333333333230137	0.0	Spermidine-e0	L-Aspartate-e0
D-Glucose-e0##L-Aspartate-e0##Bacteroides_caecimuris_I48	0.0	-1.0000000000017186	-1.999999999985837	-1.9999999999861426	0.0	0.0	0.0	0.0	0.9999999999941843	0.0	D-Glucose-e0	L-Aspartate-e0
O2-e0##L-Aspartate-e0##Bacteroides_caecimuris_I48	0.0	0.9999999999987111	1.9999999999977287	1.9999999999980627	0.0	0.0	0.0	0.0	-1.0000000000074551	0.0	O2-e0	L-Aspartate-e0
D-Glucose-e0##D-Glucose-e0##Bacteroides_caecimuris_I48	0.0	-1.0000000000000004	-1.0	-1.0000000000000002	-0.9999999999999998	-0.9999999999999993	-0.9999999999999994	-0.9999999999999987	-0.9999999999999979	-1.0000000000000002	D-Glucose-e0	D-Glucose-e0
D-Glucose-e0##Acetate-e0##Bacteroides_caecimuris_I48	0.0	1.0000000000043145	1.9999999999895013	1.9999999999894766	0.0	0.0	0.0	1.0000000000031533	1.000000000002245	1.999999999991687	D-Glucose-e0	Acetate-e0
Spermidine-e0##Formate-e0##Bacteroides_caecimuris_I48	0.0	-0.8333333333275116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	Formate-e0
D-Glucose-e0##Formate-e0##Bacteroides_caecimuris_I48	0.0	-0.9999999999948119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose-e0	Formate-e0
O2-e0##Formate-e0##Bacteroides_caecimuris_I48	0.0	1.0000000000028941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	Formate-e0
Spermidine-e0##Succinate-e0##Bacteroides_caecimuris_I48	0.0	0.8333333333350417	1.666666666651466	1.6666666666515018	0.0	0.0	0.0	0.333333333325521	0.0	0.0	Spermidine-e0	Succinate-e0
D-Glucose-e0##Succinate-e0##Bacteroides_caecimuris_I48	0.0	1.0000000000011597	1.9999999999847962	1.999999999985113	0.0	0.0	0.0	0.9999999999937071	0.0	0.0	D-Glucose-e0	Succinate-e0
O2-e0##Succinate-e0##Bacteroides_caecimuris_I48	0.0	-0.999999999999072	-1.9999999999976272	-1.9999999999979683	0.0	0.0	0.0	-1.0000000000023805	0.0	0.0	O2-e0	Succinate-e0
D-Glucose-e0##H2-e0##Bacteroides_caecimuris_I48	0.0	1.0000000000041767	1.9999999999894424	1.999999999989189	2.0000000000108646	2.000000000008517	2.000000000006058	1.0000000000097184	2.0000000000014215	2.0000000000037153	D-Glucose-e0	H2-e0
D-Glucose-e0##CO2-e0##Bacteroides_caecimuris_I48	0.0	1.00000000000812	1.9999999999970164	1.9999999999967195	0.0	0.0	0.0	0.0	0.0	1.999999999996755	D-Glucose-e0	CO2-e0
Spermidine-e0##5-Methylthio-D-ribose-e0##Bacteroides_caecimuris_I48	0.0	-0.9999999999999963	-0.9999999999999936	-0.9999999999999929	-0.9999999999999952	-0.9999999999999948	-0.9999999999999944	-0.9999999999999956	-0.9999999999999963	-0.9999999999999949	Spermidine-e0	5-Methylthio-D-ribose-e0
PAN##5-Methylthio-D-ribose-e0##Bacteroides_caecimuris_I48	0.0	0.499999999995655	0.49999999999165523	0.4999999999916276	0.49999999999228495	0.49999999999219813	0.4999999999919961	0.4999999999951593	0.4999999999970241	0.49999999998946093	PAN	5-Methylthio-D-ribose-e0
Spermidine-e0##L-Glycine##Bacteroides_caecimuris_I48	0.0	-0.833333333325936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	L-Glycine
D-Glucose-e0##L-Glycine##Bacteroides_caecimuris_I48	0.0	-0.9999999999938405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Glucose-e0	L-Glycine
O2-e0##L-Glycine##Bacteroides_caecimuris_I48	0.0	1.0000000000038645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	L-Glycine
Folate##L-Glycine##Bacteroides_caecimuris_I48	0.0	-1.1666666666475634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate	L-Glycine
Riboflavin##L-Glycine##Bacteroides_caecimuris_I48	0.0	-2.1666666666503196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Glycine
D-Glucose-e0##L-Serine##Bacteroides_caecimuris_I48	0.0	1.9999999999867106	0.0	0.0	1.9999999999676612	1.9999999999640328	1.9999999999726497	0.0	0.0	0.0	D-Glucose-e0	L-Serine
