	bc1002	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
L-Valine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Methanol	0.0	0.0		0		0		0
Mg	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Mn2+	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Myristic acid	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
NADP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
NH3	0.0	0.0	bc1010	1		0	bc1010	1
Na+	0.0	0.0		0		0		0
Niacin	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Nicotinamide ribonucleotide	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Nitrate	0.0	0.0		0		0		0
Nitrite	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
O2	0.0	-1.163596954979541	bc1002.bc1010	2	bc1010	1	bc1010bc1002.bc1010	3
Oxidized glutathione	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
PAN	0.0	0.0		0		0		0
PPi	0.0	0.0	bc1002	1		0	bc1002	1
Putrescine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Pyridoxal	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Riboflavin	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
S-Adenosyl-L-methionine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Spermidine	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Succinate	0.0	0.0	bc1010	1		0	bc1010	1
Sulfate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
TRHL	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
TTP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Thiamin	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
UMP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
Zn2+	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
chromate	0.0	0.0		0		0		0
dATP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
dGTP	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
ddca	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
fe3	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
gamma-butyrobetaine	0.0	0.0		0		0		0
meso-2,6-Diaminopimelate	0.0	0.0	bc1002.bc1010	2		0	bc1002.bc1010	2
