	bc1010	bc1015	bc1002	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
Chorismate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Cl-	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Co2+	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
CoA	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Cu2+	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Cytosine	0.0	0.0	0.0	0.0		0		0		0
D-Alanine	0.0	0.0	0.0	0.0	bc1011	1		0	bc1011	1
D-Arabinose	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
D-Glucose	0.2697048295392189	3.075979904242968	0.27087086964738327	0.2701563170637754	bc1002.bc1010.bc1011.bc1015	4	bc1002.bc1010.bc1011.bc1015	4	bc1002.bc1010.bc1011.bc1015bc1002.bc1010.bc1011.bc1015	8
D-Serine	0.0	0.0	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Deoxyguanosine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Enterobactin	0.0	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Formate	0.0	0.0	0.0	0.0	bc1011.bc1015	2		0	bc1011.bc1015	2
Fumarate	0.0	0.0	0.0	0.0	bc1010	1		0	bc1010	1
GTP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Glycerol	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Glycine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
H+	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
H2O	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Heme	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
K+	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Alanine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Arginine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Asparagine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Aspartate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Cysteine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Glutamate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Glutamine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Histidine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Inositol	0.0	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Leucine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Lysine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Malate	0.0	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Phenylalanine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Proline	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Serine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Threonine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Tryptophan	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Tyrosine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
L-Valine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Methanol	0.0	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Mn2+	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Myristic acid	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
N-Acetyl-D-glucosamine	0.0	0.0	0.0	0.0	bc1015	1		0	bc1015	1
NADP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
NH3	0.0	0.0	0.0	0.0	bc1010.bc1015	2		0	bc1010.bc1015	2
Na+	0.0	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Nicotinamide ribonucleotide	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Nitrate	0.0	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011	3		0	bc1002.bc1010.bc1011	3
O2	0.0	-1.5379899521223486	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4	bc1015	1	bc1015bc1002.bc1010.bc1011.bc1015	5
Oxidized glutathione	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
PAN	0.0	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	0.0	bc1002.bc1015	2		0	bc1002.bc1015	2
Putrescine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Pyridoxal	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Riboflavin	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Spermidine	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Succinate	0.0	0.0	0.0	0.0	bc1010	1		0	bc1010	1
Sulfate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
TRHL	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
TTP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Thiamin	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
UMP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
Uracil	0.0	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
chromate	0.0	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
dGTP	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
ddca	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
fe3	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
gamma-butyrobetaine	0.0	0.0	0.0	0.0		0		0		0
meso-2,6-Diaminopimelate	0.0	0.0	0.0	0.0	bc1002.bc1010.bc1011.bc1015	4		0	bc1002.bc1010.bc1011.bc1015	4
