	NumberEdges	SumWeight	SumAbsWeight	PositiveSumWeight	NegativeSumWeight
D-Arabinose	12.0	-0.25438506543087536	0.5378311943056995	0.1417230644374121	0.3961081298682875
D-Glucose	10.071428571428571	-8.901554502005482	8.901554502005482	0.0	8.901554502005482
Deoxycytidine	12.0	-0.06745638285753526	0.14451795245938287	0.0385307848009238	0.10598716765845904
Deoxyguanosine	10.0	-0.00919145392288444	0.0197922261766525	0.005300386126884031	0.014491840049768473
Folate	12.0	-0.028541700189385587	0.06034401695069534	0.015901158380654874	0.044442858570040454
Formate	9.428571428571429	-0.006811953736455456	0.013681025129401605	0.0034345356964730757	0.010246489432928529
Fumarate	2.7857142857142856	-1.0894515937421307	3.4423328523136827	1.176440629285776	2.265892223027907
GTP	12.0	-0.4594008132369523	0.9709244979441338	0.2557618423535909	0.715162655590543
Glucose-1-phosphate	2.0	-0.007563301026150854	0.007563301026150854	0.0	0.007563301026150854
Glycerol	12.0	-0.21118809188523194	0.4465024056713603	0.11765715689306422	0.32884524877829613
Glycine	12.0	-1.6974003550414671	3.5879914014597154	0.945295523209124	2.642695878250591
H+	12.0	11.627330635838888	22.481097580587942	17.05421410821341	5.426883472374525
H2O	12.0	33.031247327225465	56.90275437128628	44.967000849255875	11.93575352203041
Heme	12.0	-0.009513900063119331	0.020114672316858696	0.005300386126869684	0.01481428618998901
K+	12.0	-0.009513900063118436	0.02011467231687755	0.005300386126879554	0.01481428618999799
L-Alanine	12.0	-1.535648196916669	3.2467295294319487	0.8555406662576398	2.391188863174309
L-Arginine	12.0	-0.8363919448583731	1.7683336789005035	0.4659708670210651	1.3023628118794386
L-Asparagine	12.0	-0.6808894713558059	1.4395640598990869	0.37933729427164037	1.0602267656274464
L-Aspartate	12.0	-0.6808894713558534	1.4395640598992494	0.3793372942716982	1.0602267656275515
L-Cysteine	12.0	-0.25816430066930535	0.5458214063033042	0.14382855281699944	0.4019928534863048
L-Glutamate	12.0	-0.7311139145294901	1.5439466663340282	0.40641637590226914	1.1375302904317595
L-Glutamine	12.0	-0.8535681966407366	1.8042456419477468	0.47533872265350513	1.328906919294242
L-Histidine	12.0	-0.26873242993647173	0.5681649726432145	0.14971627135337137	0.4184487012898432
L-Isoleucine	12.0	-0.8197848845814449	1.7332223603665515	0.45671873789255324	1.276503622473998
L-Lactate	2.0	1.9988293555388872	1.9988293555388872	1.9988293555388872	0.0
L-Leucine	12.0	-1.2727047103170774	2.6908037749337472	0.7090495323083349	1.9817542426254122
L-Lysine	12.0	-0.967738694321571	2.046032289124635	0.5391467974015323	1.5068854917231032
L-Methionine	12.0	-0.4149103921079824	0.8765017675827521	0.2307956877373847	0.6457060798453673
L-Phenylalanine	12.0	-0.5238772651008474	1.1076025028493175	0.2918626188742351	0.8157398839750825
L-Proline	12.0	-0.62502935951509	1.3214623521025906	0.34821649629375034	0.9732458558088403
L-Serine	12.0	-0.7262321915705597	1.536150555908555	0.40495918216899784	1.1311913737395576
L-Threonine	12.0	-0.7156133246622485	1.5129786350160608	0.39868265517690604	1.1142959798391545
L-Tryptophan	12.0	-0.16003167175990046	0.33834543314699955	0.08915688069354953	0.24918855245344998
L-Tyrosine	12.0	-0.4091375759144923	0.8650152111589612	0.22793881762223447	0.6370763935367266
L-Valine	12.0	-1.194198607189573	2.5248229964087767	0.6653121946096017	1.8595108017991744
Mg	12.0	-0.009513900063092603	0.020114672316772757	0.005300386126840078	0.01481428618993268
Mn2+	12.0	-0.009513900063154338	0.020114672316976483	0.005300386126911072	0.014814286190065414
Myristic acid	12.0	-0.2941853877291554	0.6086106306885251	0.15721262147968482	0.45139800920884043
N-Acetyl-D-glucosamine	6.428571428571429	-0.20178991850542202	0.4441326554147107	0.12117136845464437	0.3229612869600663
NADP	12.0	-0.01995682077888803	0.0411583652864583	0.01060077225378514	0.030557593032673167
NH3	5.785714285714286	0.013578691333513677	0.02655863060480751	0.020068660969160594	0.006489969635646916
Niacin	12.0	0.009513900063129898	0.02011467231692195	0.014814286190025922	0.005300386126896026
Nicotinamide ribonucleotide	9.0	-0.008584879410454934	0.019185651664139408	0.005300386126842238	0.013885265537297171
Nitrite	5.928571428571429	0.023994458273687312	0.05502322771818861	0.03950884299593795	0.015514384722250646
O2	10.0	-10.941533276423538	10.941533276423538	0.0	10.941533276423538
Oxidized glutathione	12.0	-0.004756950031549746	0.010057336158418593	0.002650193063434423	0.007407143094984169
PPi	6.071428571428571	0.036906907283452854	0.06809634883688855	0.0525016280601707	0.015594720776717847
Pimelate	2.0	-0.0008504786673412517	0.0008504786673412517	0.0	0.0008504786673412517
Putrescine	12.0	-0.009513900063178853	0.020114672317078926	0.005300386126950034	0.014814286190128891
Pyridoxal	12.0	-0.009513900063120905	0.02011467231685979	0.005300386126869442	0.014814286189990348
Riboflavin	12.0	-0.028541700189474516	0.060344016950750354	0.015901158380637916	0.04444285857011243
S-Adenosyl-L-methionine	12.0	-0.027896807908855476	0.05969912466999867	0.015901158380571597	0.043797966289427066
Spermidine	12.0	-0.009513900063138328	0.020114672316956485	0.005300386126909079	0.014814286190047406
Succinate	2.7857142857142856	1.08945159374215	3.442332852313736	2.2658922230279437	1.1764406292857934
Sulfate	12.0	-0.0095139000631593	0.02011467231699949	0.005300386126920096	0.014814286190079394
TRHL	12.0	-0.20081694051094598	0.4245752979595136	0.11187917872428384	0.3126961192352297
TTP	12.0	-0.0411618357002833	0.08512511469348269	0.0219816394965997	0.06314347519688299
Thiamin	12.0	-0.009513900063134543	0.02011467231691888	0.005300386126892169	0.014814286190026713
UMP	10.0	-0.3067074611051179	0.6604421336595001	0.1768673362771911	0.4835747973823089
Uridine	2.0	-0.010759629308663834	0.010759629308663834	0.0	0.010759629308663834
Zn2+	12.0	-0.009513900063138774	0.020114672316927113	0.005300386126894168	0.014814286190032942
dATP	12.0	-0.04132305877034972	0.0852863377634288	0.021981639496539553	0.06330469826688927
dGTP	12.0	-0.058264928934628875	0.12472572628267097	0.033230398674021035	0.09149532760864994
ddca	12.0	-0.2145847431325078	0.4670517579225603	0.1262335073950262	0.34081825052753406
fe3	12.0	-0.028541700189409307	0.060344016950761144	0.015901158380675923	0.04444285857008523
hexadecenoate	2.0	-0.01296060276016031	0.01296060276016031	0.0	0.01296060276016031
meso-2,6-Diaminopimelate	12.0	-0.08479502181027467	0.17927706476849006	0.0472410214791077	0.13203604328938234
