	bc1001	bc1002	bc1003	In	InAmount	Out	OutAmount	All	AllAmount
Nicotinamide ribonucleotide	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Nitrate	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
O2	0.1523613679485789	0.15290050085943943	0.15297633046741732	bc1001.bc1002.bc1003	3	bc1001.bc1002.bc1003	3	bc1001.bc1002.bc1003bc1001.bc1002.bc1003	6
Oxidized glutathione	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
PAN	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	bc1002.bc1003	2		0	bc1002.bc1003	2
Putrescine	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Pyridoxal	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Riboflavin	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
S-Adenosyl-L-methionine	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Spermidine	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Sulfate	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
TRHL	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
TTP	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Thiamin	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
UMP	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
Zn2+	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
chromate	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
dGTP	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
ddca	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
fe3	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
meso-2,6-Diaminopimelate	0.0	0.0	0.0	bc1001.bc1002.bc1003	3		0	bc1001.bc1002.bc1003	3
