	0.16755	0.33715	0.36685	0.39665	0.7971	Source	Target
L-Glutamine##bc1012##Metabolite	3.84781079	0.82832985	0.49915586	0.29660649	1.833e-05	L-Glutamine	bc1012
bc1012##L-Histidine##Microbe	-1.42869256	-0.30755896	-0.18533662	-0.11013002	-6.81e-06	bc1012	L-Histidine
L-Histidine##bc1012##Metabolite	1.42869256	0.30755896	0.18533662	0.11013002	6.81e-06	L-Histidine	bc1012
bc1012##L-Isoleucine##Microbe	-4.35831493	-0.93822762	-0.56538083	-0.33595843	-2.077e-05	bc1012	L-Isoleucine
L-Isoleucine##bc1012##Metabolite	4.35831493	0.93822762	0.56538083	0.33595843	2.077e-05	L-Isoleucine	bc1012
bc1012##L-Leucine##Microbe	-6.76622373	-1.45658542	-0.87774592	-0.52157083	-3.224e-05	bc1012	L-Leucine
L-Leucine##bc1012##Metabolite	6.76622373	1.45658542	0.87774592	0.52157083	3.224e-05	L-Leucine	bc1012
bc1012##L-Lysine##Microbe	-5.14489847	-1.10755784	-0.66742009	-0.39659181	-2.451e-05	bc1012	L-Lysine
L-Lysine##bc1012##Metabolite	5.14489847	1.10755784	0.66742009	0.39659181	2.451e-05	L-Lysine	bc1012
bc1012##L-Methionine##Microbe	-2.20240644	-0.47411869	-0.28570638	-0.16977135	-1.049e-05	bc1012	L-Methionine
L-Methionine##bc1012##Metabolite	2.20240644	0.47411869	0.28570638	0.16977135	1.049e-05	L-Methionine	bc1012
bc1012##L-Phenylalanine##Microbe	-2.78514785	-0.59956719	-0.3613023	-0.21469167	-1.327e-05	bc1012	L-Phenylalanine
L-Phenylalanine##bc1012##Metabolite	2.78514785	0.59956719	0.3613023	0.21469167	1.327e-05	L-Phenylalanine	bc1012
bc1012##L-Proline##Microbe	-3.32291415	-0.71533377	-0.43106383	-0.2561451	-1.583e-05	bc1012	L-Proline
L-Proline##bc1012##Metabolite	3.32291415	0.71533377	0.43106383	0.2561451	1.583e-05	L-Proline	bc1012
bc1012##L-Serine##Microbe	-3.84658552	-0.82806609	-0.49899691	-0.29651204	-1.833e-05	bc1012	L-Serine
L-Serine##bc1012##Metabolite	3.84658552	0.82806609	0.49899691	0.29651204	1.833e-05	L-Serine	bc1012
bc1012##L-Threonine##Microbe	-3.80449591	-0.81900533	-0.49353685	-0.29326758	-1.813e-05	bc1012	L-Threonine
L-Threonine##bc1012##Metabolite	3.80449591	0.81900533	0.49353685	0.29326758	1.813e-05	L-Threonine	bc1012
