	bc1001	bc1002	bc1003	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
Glycine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
H+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
H2O	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Heme	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
K+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Alanine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Arginine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Asparagine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Aspartate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Cysteine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Glutamate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Glutamine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Histidine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Inositol	0.0	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Lactate	0.0	0.0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Lysine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Methionine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Phenylalanine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Proline	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Serine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Threonine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Tryptophan	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Tyrosine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
L-Valine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Methanol	0.0	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Mn2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Myristic acid	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
N-Acetyl-D-glucosamine	0.0	0.0	0.0	0.0	bc1001.bc1003	2		0	bc1001.bc1003	2
NADP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Na+	0.0	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Nicotinamide ribonucleotide	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Nitrate	0.0	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
O2	0.1523613679485789	0.15290050085943943	0.15297633046741732	0.0	bc1001.bc1002.bc1003.bc1011	4	bc1001.bc1002.bc1003	3	bc1001.bc1002.bc1003bc1001.bc1002.bc1003.bc1011	7
Oxidized glutathione	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
PAN	0.0	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	0.0	bc1002.bc1003	2		0	bc1002.bc1003	2
Putrescine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Pyridoxal	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Riboflavin	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Spermidine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Sulfate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
TRHL	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
TTP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Thiamin	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
UMP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
Zn2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
chromate	0.0	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
dGTP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
ddca	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
fe3	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
meso-2,6-Diaminopimelate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1003.bc1011	4		0	bc1001.bc1002.bc1003.bc1011	4
