	bc1008	bc1001	bc1009	In	InAmount	Out	OutAmount	All	AllAmount
Heme	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Inosine	0.0	0.0	0.0		0		0		0
K+	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Alanine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Arabinose	0.0	0.0	0.0		0		0		0
L-Arginine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Ascorbate	0.0	0.0	0.0		0		0		0
L-Asparagine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Aspartate	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Cysteine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Glutamate	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Glutamine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Histidine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Inositol	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Lactate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
L-Leucine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Lysine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Malate	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Phenylalanine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Proline	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Serine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Threonine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Tryptophan	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Tyrosine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
L-Valine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Methanol	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Mn2+	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Myristic acid	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
N-Acetyl-D-glucosamine	0.0	0.0	0.0	bc1001.bc1009	2		0	bc1001.bc1009	2
NADP	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
NH3	0.0	0.0	0.0	bc1008.bc1009	2		0	bc1008.bc1009	2
Na+	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Nicotinamide ribonucleotide	0.0	0.0	0.0	bc1001	1		0	bc1001	1
Nitrate	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	bc1001	1		0	bc1001	1
O2	0.0	0.0	-1.5681502229731277	bc1001.bc1008.bc1009	3	bc1009	1	bc1009bc1001.bc1008.bc1009	4
Oxidized glutathione	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
PAN	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	bc1009	1		0	bc1009	1
Pimelate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Putrescine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Pyridoxal	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Riboflavin	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
S-Adenosyl-L-methionine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Spermidine	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Succinate	0.0	0.0	0.0		0		0		0
Sulfate	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
TRHL	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
TTP	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Thiamin	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
Thymidine	0.0	0.0	0.0		0		0		0
UMP	0.0	0.0	0.0	bc1001.bc1009	2		0	bc1001.bc1009	2
Uracil	0.0	0.0	0.0		0		0		0
Uridine	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Xylose	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
chromate	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
dGTP	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
ddca	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
fe3	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
hexadecenoate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
meso-2,6-Diaminopimelate	0.0	0.0	0.0	bc1001.bc1008.bc1009	3		0	bc1001.bc1008.bc1009	3
