	bc1011	bc1009	bc1003	In	InAmount	Out	OutAmount	All	AllAmount
Riboflavin	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
S-Adenosyl-L-methionine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Spermidine	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Sulfate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
TRHL	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
TTP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Thiamin	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
UMP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
Uracil	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
chromate	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
dGTP	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
ddca	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
fe3	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
meso-2,6-Diaminopimelate	0.0	0.0	0.0	bc1003.bc1009.bc1011	3		0	bc1003.bc1009.bc1011	3
