	Source	Target	SourceType	Weight	Variance	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
37	bc1012	L-Isoleucine	Microbe	-0.04307030624134718	0.00021558001589973093	0.04307030624134718	-1.0	0.20753386769717172	-0.20753386769717172
38	bc1010	Nicotinamide ribonucleotide	Microbe	-0.00038241156991055986	7.224480024684076e-10	0.00038241156991055986	-1.0	0.019555346325508018	-0.019555346325508018
39	bc1010	TRHL	Microbe	-0.00807184445658684	3.2187712738424715e-07	0.00807184445658684	-1.0	0.08984344414918008	-0.08984344414918008
40	bc1008	TRHL	Microbe	-0.0033835838270084863	3.769517341808838e-10	0.0033835838270084863	-1.0	0.058168581098463165	-0.058168581098463165
41	bc1008	L-Histidine	Microbe	-0.004527898400456823	6.750333217061079e-10	0.004527898400456823	-1.0	0.06728966042756362	-0.06728966042756362
42	bc1010	Thiamin	Microbe	-0.0003824115699072037	7.224480025393088e-10	0.0003824115699072037	-1.0	0.019555346325422204	-0.019555346325422204
43	bc1008	Thiamin	Microbe	-0.00016030061160805684	8.460620660130803e-13	0.00016030061160805684	-1.0	0.012660987781688159	-0.012660987781688159
44	bc1012	Succinate	Microbe	0.3336063208296338	0.3246953803333818	0.3336063208296338	1.0	0.5775866349125764	0.5775866349125764
45	bc1010	L-Lysine	Microbe	-0.03889829311857764	7.47490430351301e-06	0.03889829311857764	-1.0	0.19722650206951814	-0.19722650206951814
46	bc1008	L-Lysine	Microbe	-0.016305521767936523	8.753893645243516e-09	0.016305521767936523	-1.0	0.12769307642913347	-0.12769307642913347
47	bc1008	TTP	Microbe	-0.0011405248803097777	4.2829341017599944e-11	0.0011405248803097777	-1.0	0.033771657944344065	-0.033771657944344065
48	bc1008	fe3	Microbe	-0.000480901834828018	7.614558594240036e-12	0.000480901834828018	-1.0	0.021929474111980388	-0.021929474111980388
49	bc1010	Cl-	Microbe	-0.000382411569906964	7.224480025801094e-10	0.000382411569906964	-1.0	0.019555346325416074	-0.019555346325416074
50	bc1008	Cl-	Microbe	-0.0001603006116090244	8.460620660233726e-13	0.0001603006116090244	-1.0	0.01266098778172637	-0.01266098778172637
51	Fumarate	bc1012	Metabolite	-0.001079747871117103	0.006242677227066056	0.001079747871117103	-1.0	0.032859517207608255	-0.032859517207608255
52	bc1010	fe3	Microbe	-0.0011472347097282395	6.502032022892809e-09	0.0011472347097282395	-1.0	0.03387085339533445	-0.03387085339533445
53	bc1012	Ala-Ala	Microbe	-0.004455007192498671	2.3064784393435414e-06	0.004455007192498671	-1.0	0.06674584026363493	-0.06674584026363493
54	bc1008	H2O	Microbe	0.34871385056206144	4.003780496622207e-06	0.34871385056206144	1.0	0.5905199832029916	0.5905199832029916
55	bc1010	H2O	Microbe	2.55746429347621	0.1098436575423888	2.55746429347621	1.0	1.5992073953919204	1.5992073953919204
56	bc1012	Zn2+	Microbe	-0.0004998464804291325	2.9035269209925385e-08	0.0004998464804291325	-1.0	0.02235724670949293	-0.02235724670949293
57	bc1010	Putrescine	Microbe	-0.0003824115699089135	7.224480024832727e-10	0.0003824115699089135	-1.0	0.01955534632546592	-0.01955534632546592
58	bc1008	Putrescine	Microbe	-0.00016030061160895727	8.460620660226763e-13	0.00016030061160895727	-1.0	0.012660987781723717	-0.012660987781723717
59	bc1008	Citrate	Microbe	-0.007143597140702165	1.680218546904363e-09	0.007143597140702165	-1.0	0.08451980324576108	-0.08451980324576108
