	0.39745	0.7949	0.79545	0.796	1.17	1.772	Source	Target
bc1001##D-Glucose##Microbe	-5.28343528	-2.06566295	-2.06566295	-2.06566295	-6.353e-05	0.0	bc1001	D-Glucose
D-Glucose##bc1001##Metabolite	5.28343528	2.06566295	2.06566295	2.06566295	6.353e-05	0.0	D-Glucose	bc1001
bc1001##Deoxycytidine##Microbe	-0.03385917	-0.01323791	-0.01323791	-0.01323791	-4.1e-07	0.0	bc1001	Deoxycytidine
Deoxycytidine##bc1001##Metabolite	0.03385917	0.01323791	0.01323791	0.01323791	4.1e-07	0.0	Deoxycytidine	bc1001
bc1001##Deoxyguanosine##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Deoxyguanosine
Deoxyguanosine##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Deoxyguanosine	bc1001
bc1001##Folate##Microbe	-0.01235095	-0.00482885	-0.00482885	-0.00482885	-1.5e-07	0.0	bc1001	Folate
Folate##bc1001##Metabolite	0.01235095	0.00482885	0.00482885	0.00482885	1.5e-07	0.0	Folate	bc1001
bc1001##Formate##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Formate
Formate##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Formate	bc1001
bc1001##GTP##Microbe	-0.19865854	-0.07766946	-0.07766946	-0.07766946	-2.39e-06	0.0	bc1001	GTP
GTP##bc1001##Metabolite	0.19865854	0.07766946	0.07766946	0.07766946	2.39e-06	0.0	GTP	bc1001
bc1001##Glycerol##Microbe	-0.09138814	-0.03572999	-0.03572999	-0.03572999	-1.1e-06	0.0	bc1001	Glycerol
Glycerol##bc1001##Metabolite	0.09138814	0.03572999	0.03572999	0.03572999	1.1e-06	0.0	Glycerol	bc1001
bc1001##Glycine##Microbe	-0.73569105	-0.28763289	-0.28763289	-0.28763289	-8.85e-06	0.0	bc1001	Glycine
Glycine##bc1001##Metabolite	0.73569105	0.28763289	0.28763289	0.28763289	8.85e-06	0.0	Glycine	bc1001
bc1001##H+##Microbe	7.54323971	2.94917794	2.94917794	2.94917794	9.071e-05	1e-08	bc1001	H+
bc1001##H2O##Microbe	19.43486786	7.59844387	7.59844387	7.59844387	0.0002337	2e-08	bc1001	H2O
bc1001##Heme##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Heme
Heme##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Heme	bc1001
bc1001##K+##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	K+
K+##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	K+	bc1001
bc1001##L-Alanine##Microbe	-0.66452626	-0.25980961	-0.25980961	-0.25980961	-7.99e-06	0.0	bc1001	L-Alanine
L-Alanine##bc1001##Metabolite	0.66452626	0.25980961	0.25980961	0.25980961	7.99e-06	0.0	L-Alanine	bc1001
bc1001##L-Arginine##Microbe	-0.36193473	-0.1415055	-0.1415055	-0.1415055	-4.35e-06	0.0	bc1001	L-Arginine
L-Arginine##bc1001##Metabolite	0.36193473	0.1415055	0.1415055	0.1415055	4.35e-06	0.0	L-Arginine	bc1001
bc1001##L-Asparagine##Microbe	-0.29464361	-0.11519672	-0.11519672	-0.11519672	-3.54e-06	0.0	bc1001	L-Asparagine
L-Asparagine##bc1001##Metabolite	0.29464361	0.11519672	0.11519672	0.11519672	3.54e-06	0.0	L-Asparagine	bc1001
bc1001##L-Aspartate##Microbe	-0.29464361	-0.11519672	-0.11519672	-0.11519672	-3.54e-06	0.0	bc1001	L-Aspartate
L-Aspartate##bc1001##Metabolite	0.29464361	0.11519672	0.11519672	0.11519672	3.54e-06	0.0	L-Aspartate	bc1001
bc1001##L-Cysteine##Microbe	-0.11171632	-0.04367769	-0.04367769	-0.04367769	-1.34e-06	0.0	bc1001	L-Cysteine
L-Cysteine##bc1001##Metabolite	0.11171632	0.04367769	0.04367769	0.04367769	1.34e-06	0.0	L-Cysteine	bc1001
bc1001##L-Glutamate##Microbe	-0.37459097	-0.14645371	-0.14645371	-0.14645371	-4.5e-06	0.0	bc1001	L-Glutamate
L-Glutamate##bc1001##Metabolite	0.37459097	0.14645371	0.14645371	0.14645371	4.5e-06	0.0	L-Glutamate	bc1001
bc1001##L-Glutamine##Microbe	-0.31319543	-0.12244992	-0.12244992	-0.12244992	-3.77e-06	0.0	bc1001	L-Glutamine
L-Glutamine##bc1001##Metabolite	0.31319543	0.12244992	0.12244992	0.12244992	3.77e-06	0.0	L-Glutamine	bc1001
bc1001##L-Histidine##Microbe	-0.1162895	-0.04546567	-0.04546567	-0.04546567	-1.4e-06	0.0	bc1001	L-Histidine
L-Histidine##bc1001##Metabolite	0.1162895	0.04546567	0.04546567	0.04546567	1.4e-06	0.0	L-Histidine	bc1001
bc1001##L-Isoleucine##Microbe	-0.3547483	-0.13869583	-0.13869583	-0.13869583	-4.27e-06	0.0	bc1001	L-Isoleucine
L-Isoleucine##bc1001##Metabolite	0.3547483	0.13869583	0.13869583	0.13869583	4.27e-06	0.0	L-Isoleucine	bc1001
bc1001##L-Leucine##Microbe	-0.55074183	-0.21532335	-0.21532335	-0.21532335	-6.62e-06	0.0	bc1001	L-Leucine
L-Leucine##bc1001##Metabolite	0.55074183	0.21532335	0.21532335	0.21532335	6.62e-06	0.0	L-Leucine	bc1001
