	0.0000-0.2601	0.2601-0.2687	0.2687-0.2722	0.2722-0.2733	0.2733-0.3685	0.3762-0.3763	0.3763-1.2045	1.2045-2.0000	Source	Target
bc1010##L-Aspartate##Microbe	-0.030632616484611856	-0.030632616484611856	-0.030632616484611856	-0.030632616484611856	-0.030632616484611856	-0.026335931513036728	-0.026335931513036728	-0.026335931513036728	bc1010	L-Aspartate
bc1008##L-Aspartate##Microbe	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	-0.01153839021351597	bc1008	L-Aspartate
bc1012##BIOT##Microbe	-0.0005247281833031512	-0.00219697911278576	-0.002196979112794036	-0.0021969791128181723	-0.0004268733447001104	-0.0004268733447001104	-0.0004811482545884512	-0.0004811482545884512	bc1012	BIOT
bc1012##Fumarate##Microbe	-0.9999999999999988	-0.9999999999999919	-1.0000000000000757	-0.9999999999999168	-1.8056998620444578	-1.8056998620444578	-0.0009622965091210486	-0.0009622965091210486	bc1012	Fumarate
bc1012##CoA##Microbe	-0.001049456366596137	-0.004393958225560966	-0.004393958225449274	-0.004393958225528823	-0.0008537466893933178	-0.0008537466893933178	-0.0009622965091684026	-0.0009622965091684026	bc1012	CoA
bc1010##CMP##Microbe	-0.012828279897476449	-0.012828279897476449	-0.012828279897476449	-0.012828279897476449	-0.012828279897476449	-0.01102892079035865	-0.01102892079035865	-0.01102892079035865	bc1010	CMP
bc1008##CMP##Microbe	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	-0.001367936570498446	bc1008	CMP
bc1012##L-Glutamine##Microbe	-0.039918187296889264	-0.1671330538405129	-0.16713305384058308	-0.1671330538417064	-0.032473975418152216	-0.032473975418152216	-0.03660288651415083	-0.03660288651415083	bc1012	L-Glutamine
bc1010##S-Adenosyl-L-methionine##Microbe	-0.0012840659057019655	-0.0012840659057019655	-0.0012840659057019655	-0.0012840659057019655	-0.0012840659057019655	-0.0011039563586688257	-0.0011039563586688257	-0.0011039563586688257	bc1010	S-Adenosyl-L-methionine
bc1008##hexadecenoate##Microbe	-0.006480301403393341	-0.006480301403393341	-0.006480301403393341	-0.006480301403393341	-0.006480301403393341	-0.006480301403393341	-0.006480301403393341	-0.006480301403393341	bc1008	hexadecenoate
bc1012##L-Serine##Microbe	-0.03990547605407588	-0.16707983326678355	-0.1670798332668294	-0.1670798332686264	-0.03246363465333264	-0.03246363465333264	-0.03659123097040705	-0.03659123097040705	bc1012	L-Serine
bc1012##5-Aminolevulinate##Microbe	-0.004197825466407644	-0.01757583290217337	-0.017575832902148862	-0.01757583290251611	-0.003414986757596069	-0.003414986757596069	-0.003849186036693879	-0.003849186036693879	bc1012	5-Aminolevulinate
bc1012##L-Leucine##Microbe	-0.07019456017952429	-0.29389689262538665	-0.2938968926254659	-0.29389689262826846	-0.05710420678183972	-0.05710420678183972	-0.0643647343265533	-0.0643647343265533	bc1012	L-Leucine
bc1008##Formate##Microbe	-0.00016122307070185537	-0.00016122307070185537	-0.00016122307070185537	-0.00016122307070185537	-0.00016122307070185537	-0.00016122307070185537	-0.00016122307070185537	-0.00016122307070185537	bc1008	Formate
bc1008##D-Arabinose##Microbe	-0.004310823228899108	-0.004310823228899108	-0.004310823228899108	-0.004310823228899108	-0.004310823228899108	-0.004310823228899108	-0.004310823228899108	-0.004310823228899108	bc1008	D-Arabinose
bc1008##K+##Microbe	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	bc1008	K+
bc1008##Pyridoxal##Microbe	-0.00016122307070188271	-0.00016122307070188271	-0.00016122307070188271	-0.00016122307070188271	-0.00016122307070188271	-0.00016122307070188271	-0.00016122307070188271	-0.00016122307070188271	bc1008	Pyridoxal
bc1008##Pimelate##Microbe	-0.00042523933519870955	-0.00042523933519870955	-0.00042523933519870955	-0.00042523933519870955	-0.00042523933519870955	-0.00042523933519870955	-0.00042523933519870955	-0.00042523933519870955	bc1008	Pimelate
bc1012##Co2+##Microbe	-0.0005247281833007318	-0.0021969791127745414	-0.002196979112776984	-0.002196979112887562	-0.00042687334469785677	-0.00042687334469785677	-0.0004811482545851962	-0.0004811482545851962	bc1012	Co2+
bc1012##BET##Microbe	-0.0010494563665695942	-0.004393958225463219	-0.004393958225495391	-0.004393958225406492	-0.0008537466893782512	-0.0008537466893782512	-0.0009622965091073136	-0.0009622965091073136	bc1012	BET
bc1010##K+##Microbe	-0.00042802196856684386	-0.00042802196856684386	-0.00042802196856684386	-0.00042802196856684386	-0.00042802196856684386	-0.0003679854528901139	-0.0003679854528901139	-0.0003679854528901139	bc1010	K+
bc1012##L-Isoleucine##Microbe	-0.04521428965300338	-0.1893072511216941	-0.18930725112176938	-0.18930725112348878	-0.03678242500894285	-0.03678242500894285	-0.04145913492208619	-0.04145913492208619	bc1012	L-Isoleucine
bc1010##Nicotinamide ribonucleotide##Microbe	-0.0004280219685683248	-0.0004280219685683248	-0.0004280219685683248	-0.0004280219685683248	-0.0004280219685683248	-0.0003679854528924252	-0.0003679854528924252	-0.0003679854528924252	bc1010	Nicotinamide ribonucleotide
bc1010##TRHL##Microbe	-0.009034576948351122	-0.009034576948351122	-0.009034576948351122	-0.009034576948351122	-0.009034576948351122	-0.007767341711770869	-0.007767341711770869	-0.007767341711770869	bc1010	TRHL
bc1008##TRHL##Microbe	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	bc1008	TRHL
bc1008##L-Histidine##Microbe	-0.004553954452341132	-0.004553954452341132	-0.004553954452341132	-0.004553954452341132	-0.004553954452341132	-0.004553954452341132	-0.004553954452341132	-0.004553954452341132	bc1008	L-Histidine
bc1010##Thiamin##Microbe	-0.0004280219685670963	-0.0004280219685670963	-0.0004280219685670963	-0.0004280219685670963	-0.0004280219685670963	-0.00036798545288822744	-0.00036798545288822744	-0.00036798545288822744	bc1010	Thiamin
bc1008##Thiamin##Microbe	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	-0.00016122307070138024	bc1008	Thiamin
bc1012##Succinate##Microbe	1.0000000000000036	1.0000000000000522	1.0000000000000544	0.9999999999995036	1.805699862044503	1.805699862044503	0.0009622965092039421	0.0009622965092039421	bc1012	Succinate
bc1010##L-Lysine##Microbe	-0.04353770990384878	-0.04353770990384878	-0.04353770990384878	-0.04353770990384878	-0.04353770990384878	-0.03743089157396383	-0.03743089157396383	-0.03743089157396383	bc1010	L-Lysine
bc1008##L-Lysine##Microbe	-0.016399352831182823	-0.016399352831182823	-0.016399352831182823	-0.016399352831182823	-0.016399352831182823	-0.016399352831182823	-0.016399352831182823	-0.016399352831182823	bc1008	L-Lysine
bc1008##TTP##Microbe	-0.0011470880963602304	-0.0011470880963602304	-0.0011470880963602304	-0.0011470880963602304	-0.0011470880963602304	-0.0011470880963602304	-0.0011470880963602304	-0.0011470880963602304	bc1008	TTP
bc1008##fe3##Microbe	-0.00048366921210801046	-0.00048366921210801046	-0.00048366921210801046	-0.00048366921210801046	-0.00048366921210801046	-0.00048366921210801046	-0.00048366921210801046	-0.00048366921210801046	bc1008	fe3
bc1010##Cl-##Microbe	-0.00042802196856808945	-0.00042802196856808945	-0.00042802196856808945	-0.00042802196856808945	-0.00042802196856808945	-0.00036798545288751366	-0.00036798545288751366	-0.00036798545288751366	bc1010	Cl-
bc1008##Cl-##Microbe	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	bc1008	Cl-
Fumarate##bc1012##Metabolite	0.03399847222152429	-0.7829132233182038	-0.7829132233184389	-0.782913223327675	0.0	0.0	0.0	0.0	Fumarate	bc1012
bc1010##fe3##Microbe	-0.001284065905708344	-0.001284065905708344	-0.001284065905708344	-0.001284065905708344	-0.001284065905708344	-0.0011039563586712003	-0.0011039563586712003	-0.0011039563586712003	bc1010	fe3
bc1012##Ala-Ala##Microbe	-0.004676771613351016	-0.019581127670971518	-0.019581127670921857	-0.019581127671331272	-0.003804615807793999	-0.003804615807793999	-0.004288354562367795	-0.004288354562367795	bc1012	Ala-Ala
bc1008##H2O##Microbe	0.35072054448039347	0.35072054448039347	0.35072054448039347	0.35072054448039347	0.35072054448039347	0.35072054448039347	0.35072054448039347	0.35072054448039347	bc1008	H2O
bc1010##H2O##Microbe	2.035646666388101	2.035646666388101	2.035646666388101	2.035646666388101	2.035646666388101	2.7776837648651838	2.7776837648651838	2.7776837648651838	bc1010	H2O
bc1012##Zn2+##Microbe	-0.0005247281832998021	-0.0021969791127838673	-0.0021969791127675817	-0.002196979112840225	-0.00042687334469664853	-0.00042687334469664853	-0.0004811482545841214	-0.0004811482545841214	bc1012	Zn2+
bc1010##Putrescine##Microbe	-0.00042802196856711985	-0.00042802196856711985	-0.00042802196856711985	-0.00042802196856711985	-0.00042802196856711985	-0.00036798545289059675	-0.00036798545289059675	-0.00036798545289059675	bc1010	Putrescine
bc1008##Putrescine##Microbe	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	bc1008	Putrescine
bc1008##Citrate##Microbe	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	bc1008	Citrate
bc1008##Ca2+##Microbe	-0.0001612230707016985	-0.0001612230707016985	-0.0001612230707016985	-0.0001612230707016985	-0.0001612230707016985	-0.0001612230707016985	-0.0001612230707016985	-0.0001612230707016985	bc1008	Ca2+
bc1012##L-Threonine##Microbe	-0.039468827431905225	-0.16525163357587203	-0.16525163357593425	-0.16525163357729367	-0.03210841520117703	-0.03210841520117703	-0.03619084705905911	-0.03619084705905911	bc1012	L-Threonine
bc1012##L-Asparagine##Microbe	-0.03755367335820289	-0.1572330943938814	-0.15723309439392485	-0.15723309439553868	-0.030550411931920724	-0.030550411931920724	-0.03443475110471496	-0.03443475110471496	bc1012	L-Asparagine
bc1008##Niacin##Microbe	0.0001612230707023112	0.0001612230707023112	0.0001612230707023112	0.0001612230707023112	0.0001612230707023112	0.0001612230707023112	0.0001612230707023112	0.0001612230707023112	bc1008	Niacin
bc1010##Ca2+##Microbe	-0.00042802196856864185	-0.00042802196856864185	-0.00042802196856864185	-0.00042802196856864185	-0.00042802196856864185	-0.0003679854528904564	-0.0003679854528904564	-0.0003679854528904564	bc1010	Ca2+
bc1012##Chorismate##Microbe	-0.00104945636661288	-0.004393958225568619	-0.00439395822559277	-0.004393958225723067	-0.0008537466894095514	-0.0008537466894095514	-0.0009622965091849998	-0.0009622965091849998	bc1012	Chorismate
bc1012##ddca##Microbe	-0.004676771613351948	-0.019581127670970283	-0.01958112767098951	-0.019581127670989254	-0.0038046158077972014	-0.0038046158077972014	-0.004288354562369851	-0.004288354562369851	bc1012	ddca
bc1012##Folate##Microbe	-0.001574184549889442	-0.0065909373382917295	-0.006590937338238373	-0.006590937338438834	-0.0012806200340838806	-0.0012806200340838806	-0.001443444763746414	-0.001443444763746414	bc1012	Folate
bc1010##L-Valine##Microbe	-0.05372594155061478	-0.05372594155061478	-0.05372594155061478	-0.05372594155061478	-0.05372594155061478	-0.04619007056942811	-0.04619007056942811	-0.04619007056942811	bc1010	L-Valine
bc1008##L-Valine##Microbe	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	bc1008	L-Valine
bc1008##Glucose-1-phosphate##Microbe	-0.0037816505266614273	-0.0037816505266614273	-0.0037816505266614273	-0.0037816505266614273	-0.0037816505266614273	-0.0037816505266614273	-0.0037816505266614273	-0.0037816505266614273	bc1008	Glucose-1-phosphate
bc1010##Glycerol##Microbe	-0.009501165896947241	-0.009501165896947241	-0.009501165896947241	-0.009501165896947241	-0.009501165896947241	-0.008168484545934732	-0.008168484545934732	-0.008168484545934732	bc1010	Glycerol
bc1008##Glycerol##Microbe	-0.0035788049531209976	-0.0035788049531209976	-0.0035788049531209976	-0.0035788049531209976	-0.0035788049531209976	-0.0035788049531209976	-0.0035788049531209976	-0.0035788049531209976	bc1008	Glycerol
bc1010##Mn2+##Microbe	-0.00042802196856917804	-0.00042802196856917804	-0.00042802196856917804	-0.00042802196856917804	-0.00042802196856917804	-0.00036798545288943237	-0.00036798545288943237	-0.00036798545288943237	bc1010	Mn2+
bc1008##Mn2+##Microbe	-0.0001612230707023044	-0.0001612230707023044	-0.0001612230707023044	-0.0001612230707023044	-0.0001612230707023044	-0.0001612230707023044	-0.0001612230707023044	-0.0001612230707023044	bc1008	Mn2+
bc1012##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-0.023295671187309824	-0.09753640960302273	-0.09753640960300491	-0.09753640960417215	-0.018951337841557343	-0.018951337841557343	-0.021360910063330303	-0.021360910063330303	bc1012	1,2-Diacyl-sn-glycerol dioctadecanoyl
bc1012##L-Glutamate##Microbe	-0.04774332801006928	-0.19989605618821948	-0.1998960561880917	-0.19989605619076156	-0.038839831294157044	-0.038839831294157044	-0.043778130604059176	-0.043778130604059176	bc1012	L-Glutamate
bc1012##dGTP##Microbe	-0.0032369332986132465	-0.01355268322309136	-0.013552683223143971	-0.0135526832232672	-0.002633288219916977	-0.002633288219916977	-0.002968098258114273	-0.002968098258114273	bc1012	dGTP
bc1012##Mg##Microbe	-0.0005247281833009479	-0.002196979112764381	-0.002196979112780828	-0.0021969791128834647	-0.00042687334469864704	-0.00042687334469864704	-0.0004811482545869825	-0.0004811482545869825	bc1012	Mg
bc1012##L-Tyrosine##Microbe	-0.02256551104228758	-0.09447930949167416	-0.09447930949167965	-0.09447930949266853	-0.018357342868178812	-0.018357342868178812	-0.02069139146203062	-0.02069139146203062	bc1012	L-Tyrosine
bc1010##D-Arabinose##Microbe	-0.01144455961881058	-0.01144455961881058	-0.01144455961881058	-0.01144455961881058	-0.01144455961881058	-0.009839288082683048	-0.009839288082683048	-0.009839288082683048	bc1010	D-Arabinose
bc1012##Oxidized glutathione##Microbe	-0.0002623640916496642	-0.0010984895563818913	-0.0010984895563818254	-0.001098489556411909	-0.00021343667234899027	-0.00021343667234899027	-0.00024057412729261782	-0.00024057412729261782	bc1012	Oxidized glutathione
bc1010##BIOT##Microbe	-0.00042802196856812425	-0.00042802196856812425	-0.00042802196856812425	-0.00042802196856812425	-0.00042802196856812425	-0.0003679854528887149	-0.0003679854528887149	-0.0003679854528887149	bc1010	BIOT
bc1008##BIOT##Microbe	-0.0001612230707023284	-0.0001612230707023284	-0.0001612230707023284	-0.0001612230707023284	-0.0001612230707023284	-0.0001612230707023284	-0.0001612230707023284	-0.0001612230707023284	bc1008	BIOT
bc1012##O2##Microbe	-0.999999999999991	-1.000000000000045	-1.0000000000000486	-1.0000000000006863	-1.0000000000000013	-1.0000000000000013	-1.8900166148360573	-1.8900166148360573	bc1012	O2
bc1010##CoA##Microbe	-0.0008560439371320325	-0.0008560439371320325	-0.0008560439371320325	-0.0008560439371320325	-0.0008560439371320325	-0.00073597090578264	-0.00073597090578264	-0.00073597090578264	bc1010	CoA
bc1008##CoA##Microbe	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	-0.00032244614140628647	bc1008	CoA
bc1008##S-Adenosyl-L-methionine##Microbe	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	-0.00016122307070119053	bc1008	S-Adenosyl-L-methionine
bc1010##Fumarate##Microbe	-0.00042802196857152615	-0.00042802196857152615	-0.00042802196857152615	-0.00042802196857152615	-0.00042802196857152615	-0.00036798545290220693	-0.00036798545290220693	-0.00036798545290220693	bc1010	Fumarate
bc1010##L-Glutamine##Microbe	-0.04910483459504716	-0.04910483459504716	-0.04910483459504716	-0.04910483459504716	-0.04910483459504716	-0.042217143334918474	-0.042217143334918474	-0.042217143334918474	bc1010	L-Glutamine
bc1010##L-Serine##Microbe	-0.03297900924325392	-0.03297900924325392	-0.03297900924325392	-0.03297900924325392	-0.03297900924325392	-0.028353207413231555	-0.028353207413231555	-0.028353207413231555	bc1010	L-Serine
bc1008##L-Serine##Microbe	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	-0.012260983099475478	bc1008	L-Serine
bc1008##5-Aminolevulinate##Microbe	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	-0.0012897845656162116	bc1008	5-Aminolevulinate
bc1008##L-Methionine##Microbe	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	-0.00734261195405588	bc1008	L-Methionine
bc1010##L-Leucine##Microbe	-0.057257861854828306	-0.057257861854828306	-0.057257861854828306	-0.057257861854828306	-0.057257861854828306	-0.04922658595452236	-0.04922658595452236	-0.04922658595452236	bc1010	L-Leucine
bc1008##BET##Microbe	-0.0003224461414143195	-0.0003224461414143195	-0.0003224461414143195	-0.0003224461414143195	-0.0003224461414143195	-0.0003224461414143195	-0.0003224461414143195	-0.0003224461414143195	bc1008	BET
bc1008##L-Leucine##Microbe	-0.021567323614177444	-0.021567323614177444	-0.021567323614177444	-0.021567323614177444	-0.021567323614177444	-0.021567323614177444	-0.021567323614177444	-0.021567323614177444	bc1008	L-Leucine
bc1010##BET##Microbe	-0.0008560439371353559	-0.0008560439371353559	-0.0008560439371353559	-0.0008560439371353559	-0.0008560439371353559	-0.000735970905779966	-0.000735970905779966	-0.000735970905779966	bc1010	BET
bc1008##Co2+##Microbe	-0.00016122307070234832	-0.00016122307070234832	-0.00016122307070234832	-0.00016122307070234832	-0.00016122307070234832	-0.00016122307070234832	-0.00016122307070234832	-0.00016122307070234832	bc1008	Co2+
bc1010##5-Aminolevulinate##Microbe	-0.0034241757485407908	-0.0034241757485407908	-0.0034241757485407908	-0.0034241757485407908	-0.0034241757485407908	-0.0029438836231247692	-0.0029438836231247692	-0.0029438836231247692	bc1010	5-Aminolevulinate
bc1010##L-Methionine##Microbe	-0.01863743928034579	-0.01863743928034579	-0.01863743928034579	-0.01863743928034579	-0.01863743928034579	-0.016023258238876962	-0.016023258238876962	-0.016023258238876962	bc1010	L-Methionine
bc1010##Co2+##Microbe	-0.0004280219685682492	-0.0004280219685682492	-0.0004280219685682492	-0.0004280219685682492	-0.0004280219685682492	-0.0003679854528914017	-0.0003679854528914017	-0.0003679854528914017	bc1010	Co2+
bc1010##L-Isoleucine##Microbe	-0.036881398561293674	-0.036881398561293674	-0.036881398561293674	-0.036881398561293674	-0.036881398561293674	-0.03170822796359227	-0.03170822796359227	-0.03170822796359227	bc1010	L-Isoleucine
bc1010##Succinate##Microbe	0.0004280219685770172	0.0004280219685770172	0.0004280219685770172	0.0004280219685770172	0.0004280219685770172	0.0003679854528347185	0.0003679854528347185	0.0003679854528347185	bc1010	Succinate
bc1012##Myristic acid##Microbe	-0.02338385806675118	-0.09790563835483546	-0.09790563835491489	-0.09790563835486327	-0.019023079038976636	-0.019023079038976636	-0.021441772811842997	-0.021441772811842997	bc1012	Myristic acid
bc1012##Cu2+##Microbe	-0.000524728183300829	-0.0021969791127742135	-0.002196979112804776	-0.0021969791127025634	-0.000426873344699008	-0.000426873344699008	-0.00048114825458655066	-0.00048114825458655066	bc1012	Cu2+
bc1010##Ala-Ala##Microbe	-0.0038148532062737073	-0.0038148532062737073	-0.0038148532062737073	-0.0038148532062737073	-0.0038148532062737073	-0.003279762694219911	-0.003279762694219911	-0.003279762694219911	bc1010	Ala-Ala
bc1012##meso-2,6-Diaminopimelate##Microbe	-0.004676771613350146	-0.019581127670978152	-0.019581127670928747	-0.019581127671278634	-0.003804615807792658	-0.003804615807792658	-0.004288354562366001	-0.004288354562366001	bc1012	meso-2,6-Diaminopimelate
bc1012##L-Arginine##Microbe	-0.04613023290564135	-0.19314220464350484	-0.1931422046435214	-0.19314220464542098	-0.03752755700728092	-0.03752755700728092	-0.0422990069002479	-0.0422990069002479	bc1012	L-Arginine
bc1012##AMP##Microbe	-0.02007720876093229	-0.08406106188771811	-0.08406106188765128	-0.08406106188853935	-0.016333075921454384	-0.016333075921454384	-0.018409748627434677	-0.018409748627434677	bc1012	AMP
bc1012##L-Cysteine##Microbe	-0.014238754200119733	-0.059616095657107404	-0.05961609565712245	-0.059616095657690965	-0.011583415610554766	-0.011583415610554766	-0.013056191660550841	-0.013056191660550841	bc1012	L-Cysteine
bc1012##Sulfate##Microbe	-0.0005247281833001365	-0.002196979112775197	-0.002196979112758778	-0.0021969791127824847	-0.0004268733446985646	-0.0004268733446985646	-0.0004811482545867392	-0.0004811482545867392	bc1012	Sulfate
bc1010##NH3##Microbe	0.00042802196856684386	0.00042802196856684386	0.00042802196856684386	0.00042802196856684386	0.00042802196856684386	0.0003679854528901139	0.0003679854528901139	0.0003679854528901139	bc1010	NH3
bc1008##Zn2+##Microbe	-0.00016122307070269963	-0.00016122307070269963	-0.00016122307070269963	-0.00016122307070269963	-0.00016122307070269963	-0.00016122307070269963	-0.00016122307070269963	-0.00016122307070269963	bc1008	Zn2+
bc1010##Zn2+##Microbe	-0.0004280219685693922	-0.0004280219685693922	-0.0004280219685693922	-0.0004280219685693922	-0.0004280219685693922	-0.0003679854528921643	-0.0003679854528921643	-0.0003679854528921643	bc1010	Zn2+
bc1012##L-Tryptophan##Microbe	-0.008826362252704145	-0.03695500666464313	-0.036955006664620496	-0.03695500666511983	-0.0071803628930897	-0.0071803628930897	-0.008093311789577786	-0.008093311789577786	bc1012	L-Tryptophan
bc1008##D-Alanine##Microbe	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	bc1008	D-Alanine
bc1012##L-Alanine##Microbe	-0.08469690486664117	-0.3546166126211807	-0.3546166126211785	-0.3546166126247494	-0.06890205675363872	-0.06890205675363872	-0.0776626246546776	-0.0776626246546776	bc1012	L-Alanine
O2##bc1012##Metabolite	0.152993124996932	-1.5658264466359455	-1.565826446636414	-1.5658264466552094	0.021731449614055202	0.021731449614055202	0.0	0.0	O2	bc1012
bc1010##Chorismate##Microbe	-0.0008560439371334816	-0.0008560439371334816	-0.0008560439371334816	-0.0008560439371334816	-0.0008560439371334816	-0.0007359709057786687	-0.0007359709057786687	-0.0007359709057786687	bc1010	Chorismate
bc1008##Chorismate##Microbe	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	-0.0003224461414028971	bc1008	Chorismate
bc1008##L-Lactate##Microbe	0.9994146777673392	0.9994146777673392	0.9994146777673392	0.9994146777673392	0.9994146777673392	0.9994146777673392	0.9994146777673392	0.9994146777673392	bc1008	L-Lactate
bc1010##Folate##Microbe	-0.001284065905705528	-0.001284065905705528	-0.001284065905705528	-0.001284065905705528	-0.001284065905705528	-0.0011039563586734895	-0.0011039563586734895	-0.0011039563586734895	bc1010	Folate
bc1010##2-Oxoglutarate##Microbe	-0.0008560439371343456	-0.0008560439371343456	-0.0008560439371343456	-0.0008560439371343456	-0.0008560439371343456	-0.0007359709057812303	-0.0007359709057812303	-0.0007359709057812303	bc1010	2-Oxoglutarate
