	0.0000-0.0009	0.0009-0.0010	0.0010-0.0012	0.0029-0.0030	0.0040-0.0113	0.0113-0.0121	0.0121-0.0122	0.0122-0.0122	0.0122-0.0170	0.0234-0.0991	0.0991-0.0995	0.1013-0.2024	0.2024-0.2034	0.2034-0.2043	0.2052-0.2121	0.2121-0.2136	0.2136-0.2145	0.2145-0.2169	0.2195-0.2207	0.2223-0.2233	0.2233-0.2276	0.2281-0.2316	0.2335-0.2338	0.2338-0.2794	0.2794-0.2977	0.2977-0.3104	0.3146-0.3285	0.3285-0.3286	0.3286-0.3287	0.3746-0.3928	0.3928-0.4108	0.4108-0.4151	0.4196-0.4540	0.4540-0.4553	0.4553-0.4615	0.4615-0.5183	0.5183-0.5186	0.5186-0.5190	0.5190-20.0000	Source	Target
O2-e0##L-Glutamine-e0##Clostridium_innocuum_I46	-1.0000000000006588	1.6000000000229422	-0.9999999999998329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13130981355508192	1.9999999999942335	1.999999999991925	-0.6666666666904664	1.9999999999894909	-2.0000000000301097	2.0000000000132174	-2.000000000036415	-2.0000000000039826	1.99999999999704	-0.21497184737512165	-1.000000000004455	0.12165163102836182	-1.000000000034907	0.0	0.0	0.0	0.0	O2-e0	L-Glutamine-e0
Riboflavin##L-Glutamine-e0##Clostridium_innocuum_I46	-2.500000000003703	8.800000000067117	-2.500000000000076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.424282237337952	12.999999999922343	12.999999999907821	-17.000000000258467	12.999999999881824	-32.00000000031632	16.000000000155314	-32.00000000040671	-16.66666666668206	23.499999999939035	-0.40323785292292535	-496.7826356473756	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Glutamine-e0
PAN##L-Glutamine-e0##Clostridium_innocuum_I46	-104.55147981765705	-4578.0517529314375	-94.03442982668152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Glutamine-e0
PAN##L-Leucine-e0##Clostridium_innocuum_I46	-64.72644010465413	-64.72644010587275	-64.72644010535701	-64.72644010487325	-64.72644010492817	-64.72644010463935	-64.72644010456031	-64.72644010499076	-64.72644010456074	-64.72644010580892	-64.72644010765494	-64.72644010581818	-64.7264401063675	-64.72644011130471	-64.72644010502735	-64.72644010494952	-64.72644010492857	-64.72644010481257	-64.72644010496624	-64.72644010482188	-64.72644010500116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Leucine-e0
PAN##L-Histidine-e0##Clostridium_innocuum_I46	-11.39328203115185	-11.393282031351019	-11.393282031283807	-11.393282031180808	-11.393282031190424	-11.393282031146388	-11.393282031133852	-11.393282031211287	-11.393282031134987	-11.393282031355952	-11.393282031679917	-11.393282031356964	-11.393282031454733	-11.393282032328571	-11.393282031225384	-11.39328203121512	-11.393282031209997	-11.393282031191998	-11.393282031216946	-11.393282031191026	-11.393282031226928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Histidine-e0
PAN##L-Proline-e0##Clostridium_innocuum_I46	-26.584324739362	-26.5843247398623	-26.58432473964442	-26.584324739442412	-26.584324739465114	-26.584324739351658	-26.58432473932364	-26.584324739496882	-26.584324739322447	-26.58432473982251	-26.58432474056383	-26.584324739824577	-26.584324740049944	-26.584324742048608	-26.584324739514734	-26.584324739483662	-26.584324739474667	-26.584324739428087	-26.584324739490288	-26.584324739431644	-26.584324739513182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Proline-e0
PAN##Co2+-e0##Clostridium_innocuum_I46	-0.9241112603153536	-0.9241112603355989	-0.9241112603314843	-0.9241112603135591	-0.9241112603142387	-0.9241112603116131	-0.9241112603122686	-0.9241112603196714	-0.9241112603116001	-0.9241112603306324	-0.9241112603561926	-0.92411126033072	-0.9241112603390064	-0.9241112604089852	-0.9241112603193838	-0.9241112603180103	-0.9241112603177102	-0.9241112603166571	-0.9241112603185542	-0.9241112603166536	-0.9241112603189099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Co2+-e0
PAN##L-Threonine-e0##Clostridium_innocuum_I46	-30.508677438965215	-30.508677439615813	-30.508677439320525	-30.508677439095436	-30.508677439120863	-30.508677438965073	-30.508677438919317	-30.50867743913249	-30.508677438921072	-30.508677439512578	-30.508677440347498	-30.508677439513882	-30.50867743978301	-30.508677442104357	-30.508677439196195	-838.8087998695897	-523.7114826292885	-167.12385985390162	-167.12385985434256	-167.12385985398123	-167.1238598544915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Threonine-e0
Spermidine-e0##Spermidine-e0##Clostridium_innocuum_I46	-0.9999999999999999	-1.0000000000000002	-0.9999999999999996	-1.0000000000000002	-0.9999999999999994	-0.9999999999999997	-1.0	-1.0	-1.0000000000000009	-1.0000000000000016	-1.0000000000000016	-1.0	-1.0000000000000009	-1.0000000000000007	-0.9999999999999996	-0.9999999999999993	-1.0000000000000009	-0.9999999999999996	-1.0000000000000004	-1.0000000000000002	-0.9999999999999992	-0.9999999999999982	-1.0000000000000007	-1.0000000000000004	-1.0	-1.0000000000000016	-1.0000000000000002	-0.9999999999999991	-1.0000000000000004	-1.0000000000000004	-1.0000000000000002	-1.0000000000000009	-0.9999999999999992	-1.0	-1.0000000000000002	-1.0000000000000002	-0.999999999999999	-0.9999999999999992	-1.0000000000000107	Spermidine-e0	Spermidine-e0
Thiamin-e0##Thiamin-e0##Clostridium_innocuum_I46	-0.9999999999999992	-0.9999999999999977	-1.000000000000005	-1.0000000000000016	-1.0000000000000007	-0.9999999999999981	-0.9999999999999996	-1.0000000000000135	-0.9999999999999996	-0.9999999999999999	-0.9999999999999993	-1.0000000000000002	-1.0000000000000004	-1.0000000000000058	-1.0000000000000007	-0.9999999999999998	-0.9999999999999998	-1.0000000000000016	-1.0000000000000013	-1.0	-0.9999999999999992	-0.9999999999999998	-1.0000000000000004	-0.999999999999999	-1.0000000000000004	-1.0000000000000007	-1.0000000000000022	-1.0000000000000004	-1.0000000000000024	-1.000000000000001	-0.999999999999998	-1.0	-1.0000000000000004	-0.9999999999999997	-1.000000000000003	-1.0000000000000235	0.0	0.0	0.0	Thiamin-e0	Thiamin-e0
PAN##L-Isoleucine-e0##Clostridium_innocuum_I46	-44.48445267428153	-44.48445267506837	-44.48445267474456	-44.48445267440604	-44.48445267444608	-44.484452674268354	-44.48445267422487	-44.48445267450835	-44.48445267422171	-44.48445267506118	-44.48445267633782	-44.48445267506956	-44.48445267543599	-44.48445267878251	-44.484452674479506	-44.48445267441253	-44.48445267439988	-44.48445267430042	-44.48445267442775	-44.484452674331074	-44.48445267446726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Isoleucine-e0
PAN##fe3-e0##Clostridium_innocuum_I46	-0.9241112603170311	-0.924111260325888	-0.9241112603265017	-0.9241112603166862	-0.9241112603175615	-0.9241112603144721	-0.9241112603147271	-0.9241112603201179	-0.9241112603140853	-0.9241112603321251	-0.9241112603609642	-0.924111260332318	-0.9241112603397199	-0.9241112604125781	-0.9241112603185123	-0.9241112603167682	-0.9241112603163846	-0.9241112603142138	-0.9241112603170004	-0.9241112603148737	-0.9241112603179014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	fe3-e0
L-Aspartate-e0##H+-e0##Clostridium_innocuum_I46	-0.11111111114158374	-1.0000000000940825	1.0000000000011722	1.000000000001759	1.0000000000017493	0.9999999999887208	-1.0000000000282308	0.9999999999726005	0.29487179485316684	1.000000000003275	-10.000000000380895	-0.9999999999840677	-0.999999999992574	-0.9999999999421442	-1.261904761905643	-1.3076923076953393	-1.1276595744636049	-1.0833333333274546	-0.9999999999992137	-0.9999999999992223	-0.9999999999992176	-2.0599253745243624	-2.999999999996829	-2.999999999996204	0.0	-2.9999999999938742	-4.00000000002304	0.0	4.000000000030528	1.333333333333583	3.99999999998676	-1.7031965290493056	-1.4999999999999223	-1.6446092182643806	-1.4999999999938085	-2.999999999993289	-1.4180260681897996	-1.4133598503158995	-1.999999999996748	L-Aspartate-e0	H+-e0
Spermidine-e0##H+-e0##Clostridium_innocuum_I46	2.5555555555430947	2.999999999996239	2.0000000000001386	3.499999999996536	3.4999999999982623	6.9999999999931495	-11.799999999976558	8.999999999883284	1.666666666692866	-4.750000000011688	31.00000000117769	0.19230769225995853	1.4285714285402675	3.99999999997967	3.476190476191967	3.76923076923562	2.617021276588319	2.333333333324897	2.4999999999985656	2.4999999999985425	2.4999999999985354	0.3801492509526039	-1.4999999999932747	-1.4999999999920988	0.49999999999416644	-1.499999999989564	0.5000000000107439	1.500000000000436	2.4999999999879434	1.8333333333307786	0.0	4.407015499720743	4.249999999999238	4.3705076818875686	4.249999999999326	5.499999999951234	3.918026068191317	3.9133598503173244	675.4696284175609	Spermidine-e0	H+-e0
Thiamin-e0##H+-e0##Clostridium_innocuum_I46	-9.444444444315756	-19.400000000183816	2.9999999999988245	1.9999999999996345	1.99999999999581	-18.999999999871637	41.40000000021661	-30.999999999427853	-5.474358974238022	-0.750000000007893	-20.000000000773387	-4.769230769233558	-0.7142857143157677	-29.00000000268597	1.6428571428618646	2.7692307692438862	-2.59574468087005	-3.9166666666850496	-0.5000000000039893	-0.5000000000025882	-0.5000000000049871	3.889514934414417	9.999999999995897	9.999999999990603	-6.00000000013666	8.499999999980524	13.000000000157357	-4.500000000018903	-22.000000000209415	-14.833333333368138	-40.99999999996177	2.8109187913354976	1.2499999999994644	2.7201937190223533	-169.5442028988573	1828.8363397627927	0.0	0.0	0.0	Thiamin-e0	H+-e0
N-Acetyl-D-glucosamine-e0##H+-e0##Clostridium_innocuum_I46	-1.9999999999722435	-5.2000000000866695	2.000000000000157	1.0000000000023277	1.0000000000014215	0.9999999999912911	-1.0000000000178604	0.9999999999766941	0.29487179485920945	1.0000000000026776	12.000000000448498	3.0000000000050093	1.7142857142973562	12.000000000977701	0.7380952380948894	0.3076923076916692	2.0000000000017297	2.416666666666598	1.000000000000567	1.0000000000000198	1.00000000000097	-0.11985074904858051	41.23478502915853	41.234785029116026	-1037.8012722336366	77.08444201256751	1060.3374363569992	-52.59748151426042	-1160.310504951448	-182.56497431980395	-528.3443196714377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-glucosamine-e0	H+-e0
Folate-e0##H+-e0##Clostridium_innocuum_I46	-14.666666666602662	-25.600000000344895	-0.9999999999987146	-1.4999999999980425	-1.4999999999971394	8.999999999930008	-52.20000000004711	16.999999999535643	-7.397435897443257	8.750000000021783	-38.00000000138561	2.846153846249257	1.8571428571954318	-11.000000000706954	-0.7857142857151356	-0.9230769230815702	0.5531914893701844	0.9166666666762033	1.0000000000031841	1.0000000000031783	1.0000000000031974	-0.059925374529430364	-0.9999999999951723	-0.999999999994365	15.000000000152301	0.5000000000157332	-14.00000000011006	0.500000000014678	15.000000000150356	2.5000000000004396	9.99999999996858	-1.6656292639676324	-1.2499999999979408	-1.4669138273991105	-1.2499999999914777	-5.499999999918197	2.4098696590465325	0.0	0.0	Folate-e0	H+-e0
