	bc1003	bc1009	bc1001	bc1012	In	InAmount	Out	OutAmount	All	AllAmount
L-Histidine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Inositol	0.0	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Lactate	0.0	0.0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Lysine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Malate	0.0	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Phenylalanine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Proline	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Serine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Threonine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Tryptophan	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Tyrosine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Valine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Methanol	0.0	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Mn2+	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Myristic acid	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
N-Acetyl-D-glucosamine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
NADP	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
NH3	0.0	0.0	0.0	0.0	bc1009	1		0	bc1009	1
Na+	0.0	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Nicotinamide ribonucleotide	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1012	3		0	bc1001.bc1003.bc1012	3
Nitrate	0.0	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	0.0	bc1001.bc1003	2		0	bc1001.bc1003	2
O2	0.0	-1.5681502229731277	0.1523613679485789	0.0271632767247977	bc1001.bc1003.bc1009.bc1012	4	bc1001.bc1009.bc1012	3	bc1001.bc1009.bc1012bc1001.bc1003.bc1009.bc1012	7
Oxidized glutathione	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
PAN	0.0	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	0.0	bc1003.bc1009.bc1012	3		0	bc1003.bc1009.bc1012	3
Putrescine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Pyridoxal	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Riboflavin	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Spermidine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Succinate	0.0	0.0	0.0	0.0	bc1012	1		0	bc1012	1
Sulfate	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
TRHL	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
TTP	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Thiamin	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
UMP	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Uracil	0.0	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
chromate	0.0	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
dGTP	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
ddca	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
fe3	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
meso-2,6-Diaminopimelate	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
