	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1001##L-Isoleucine	-0.03684075180290938	-0.25972177	0.22288101819709064	0.22288101819709064	1.0
bc1012##L-Aspartate	-0.03164029214400996	-0.29426381	0.26262351785599003	0.26262351785599003	1.0
bc1012##Mg	-0.0004421019711567445	-0.00411168	0.0036695780288432556	0.0036695780288432556	1.0
bc1012##dGTP	-0.002727230282958338	-0.02536403	0.02263679971704166	0.02263679971704166	1.0
bc1003##UMP	-0.01432440743295375	-0.10098492	0.08666051256704625	0.08666051256704625	1.0
bc1009##H2O	2.01665228788928	14.2170959	-12.200443612110721	12.200443612110721	1.0
bc1001##D-Arabinose	-0.011431946641344282	-0.08059351	0.06916156335865571	0.06916156335865571	1.0
bc1003##L-Lysine	-0.04366526095047156	-0.30783353	0.26416826904952845	0.26416826904952845	1.0
bc1001##TTP	-0.001364462721009687	-0.00961926	0.008254797278990313	0.008254797278990313	1.0
bc1001##Deoxyguanosine	-0.00042755024823657546	-0.00301417	0.0025866197517634246	0.0025866197517634246	1.0
bc1009##Co2+	-0.00042988893128061953	-0.00303065	0.0026007610687193805	0.0026007610687193805	1.0
bc1012##L-Phenylalanine	-0.024344082869117357	-0.22640697	0.20206288713088266	0.20206288713088266	1.0
bc1003##Deoxycytidine	-0.0031688731750682303	-0.02234008	0.01917120682493177	0.01917120682493177	1.0
bc1001##4-Hydroxybenzoate	-0.00042755024823928336	-0.00301417	0.0025866197517607167	0.0025866197517607167	1.0
bc1001##Nicotinamide ribonucleotide	-0.0004275502482176352	-0.00301417	0.0025866197517823647	0.0025866197517823647	1.0
bc1009##L-Lysine	-0.043727614364299526	-0.30827312	0.2645455056357005	0.2645455056357005	1.0
bc1001##K+	-0.00042755024823795467	-0.00301417	0.0025866197517620455	0.0025866197517620455	1.0
bc1001##Formate	-0.00042755024823842896	-0.00301417	0.002586619751761571	0.002586619751761571	1.0
bc1001##S-Adenosyl-L-methionine	-0.0012826507447161763	-0.0090425	0.007759849255283824	0.007759849255283824	1.0
bc1012##D-Glucose	-0.999999999999994	-6.83597399	5.8359739900000065	5.8359739900000065	1.0
bc1009##Mg	-0.0004298889312803092	-0.00303065	0.002600761068719691	0.002600761068719691	1.0
bc1003##fe3	-0.0012878277928243533	-0.00907899	0.007791162207175647	0.007791162207175647	1.0
bc1012##L-Cysteine	-0.011996651788530854	-0.11157231	0.09957565821146915	0.09957565821146915	1.0
bc1003##NADP	-0.0008585518618814152	-0.00605266	0.0051941081381185845	0.0051941081381185845	1.0
bc1012##Folate	-0.0013263059134583524	-0.01233503	0.011008724086541648	0.011008724086541648	1.0
