	Source	Target
Pyridoxal##L-Proline-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Proline-e0
Pyridoxal##Co2+-e0##Acutalibacter_muris_KB1	Pyridoxal	Co2+-e0
Pyridoxal##L-Valine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Valine-e0
Pyridoxal##L-Threonine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Threonine-e0
Spermidine-e0##Spermidine-e0##Acutalibacter_muris_KB1	Spermidine-e0	Spermidine-e0
Pyridoxal##fe3-e0##Acutalibacter_muris_KB1	Pyridoxal	fe3-e0
Spermidine-e0##H+-e0##Acutalibacter_muris_KB1	Spermidine-e0	H+-e0
L-Lactate-e0##H+-e0##Acutalibacter_muris_KB1	L-Lactate-e0	H+-e0
Thiamine##H+-e0##Acutalibacter_muris_KB1	Thiamine	H+-e0
Pyridoxal##H+-e0##Acutalibacter_muris_KB1	Pyridoxal	H+-e0
Puryvate##H+-e0##Acutalibacter_muris_KB1	Puryvate	H+-e0
Thiamine##Uracil-e0##Acutalibacter_muris_KB1	Thiamine	Uracil-e0
Pyridoxal##Uracil-e0##Acutalibacter_muris_KB1	Pyridoxal	Uracil-e0
Pyridoxal##L-Methionine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Methionine-e0
Thiamine##L-Cysteine-e0##Acutalibacter_muris_KB1	Thiamine	L-Cysteine-e0
Pyridoxal##L-Cysteine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Cysteine-e0
Thiamine##L-Tyrosine-e0##Acutalibacter_muris_KB1	Thiamine	L-Tyrosine-e0
Pyridoxal##L-Tyrosine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Tyrosine-e0
Thiamine##Inosine-e0##Acutalibacter_muris_KB1	Thiamine	Inosine-e0
Pyridoxal##Inosine-e0##Acutalibacter_muris_KB1	Pyridoxal	Inosine-e0
Pyridoxal##Ca2+-e0##Acutalibacter_muris_KB1	Pyridoxal	Ca2+-e0
Pyridoxal##Cu2+-e0##Acutalibacter_muris_KB1	Pyridoxal	Cu2+-e0
Thiamine##Fe2+-e0##Acutalibacter_muris_KB1	Thiamine	Fe2+-e0
Pyridoxal##Fe2+-e0##Acutalibacter_muris_KB1	Pyridoxal	Fe2+-e0
Pyridoxal##K+-e0##Acutalibacter_muris_KB1	Pyridoxal	K+-e0
L-Lactate-e0##L-Lactate-e0##Acutalibacter_muris_KB1	L-Lactate-e0	L-Lactate-e0
Thiamine##L-Alanine-e0##Acutalibacter_muris_KB1	Thiamine	L-Alanine-e0
Pyridoxal##L-Alanine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Alanine-e0
Spermidine-e0##L-Asparagine-e0##Acutalibacter_muris_KB1	Spermidine-e0	L-Asparagine-e0
Thiamine##L-Asparagine-e0##Acutalibacter_muris_KB1	Thiamine	L-Asparagine-e0
Pyridoxal##L-Asparagine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Asparagine-e0
Pyridoxal##Cl--e0##Acutalibacter_muris_KB1	Pyridoxal	Cl--e0
Pyridoxal##Mg-e0##Acutalibacter_muris_KB1	Pyridoxal	Mg-e0
Thiamine##L-Serine-e0##Acutalibacter_muris_KB1	Thiamine	L-Serine-e0
Pyridoxal##L-Serine-e0##Acutalibacter_muris_KB1	Pyridoxal	L-Serine-e0
Spermidine-e0##CO2-e0##Acutalibacter_muris_KB1	Spermidine-e0	CO2-e0
L-Lactate-e0##CO2-e0##Acutalibacter_muris_KB1	L-Lactate-e0	CO2-e0
Thiamine##CO2-e0##Acutalibacter_muris_KB1	Thiamine	CO2-e0
Pyridoxal##CO2-e0##Acutalibacter_muris_KB1	Pyridoxal	CO2-e0
Puryvate##CO2-e0##Acutalibacter_muris_KB1	Puryvate	CO2-e0
Spermidine-e0##Acetate-e0##Acutalibacter_muris_KB1	Spermidine-e0	Acetate-e0
L-Lactate-e0##Acetate-e0##Acutalibacter_muris_KB1	L-Lactate-e0	Acetate-e0
Thiamine##Acetate-e0##Acutalibacter_muris_KB1	Thiamine	Acetate-e0
Pyridoxal##Acetate-e0##Acutalibacter_muris_KB1	Pyridoxal	Acetate-e0
Puryvate##Acetate-e0##Acutalibacter_muris_KB1	Puryvate	Acetate-e0
Pyridoxal##H2S-e0##Acutalibacter_muris_KB1	Pyridoxal	H2S-e0
Spermidine-e0##H2-e0##Acutalibacter_muris_KB1	Spermidine-e0	H2-e0
L-Lactate-e0##H2-e0##Acutalibacter_muris_KB1	L-Lactate-e0	H2-e0
Thiamine##H2-e0##Acutalibacter_muris_KB1	Thiamine	H2-e0
Pyridoxal##H2-e0##Acutalibacter_muris_KB1	Pyridoxal	H2-e0
Puryvate##H2-e0##Acutalibacter_muris_KB1	Puryvate	H2-e0
Pyridoxal##L-Phenylalanine##Acutalibacter_muris_KB1	Pyridoxal	L-Phenylalanine
Pyridoxal##L-Tryptophan##Acutalibacter_muris_KB1	Pyridoxal	L-Tryptophan
Thiamine##Thiamine##Acutalibacter_muris_KB1	Thiamine	Thiamine
Thiamine##Riboflavin##Acutalibacter_muris_KB1	Thiamine	Riboflavin
Pyridoxal##Riboflavin##Acutalibacter_muris_KB1	Pyridoxal	Riboflavin
Pyridoxal##Niacin##Acutalibacter_muris_KB1	Pyridoxal	Niacin
Pyridoxal##PAN##Acutalibacter_muris_KB1	Pyridoxal	PAN
Pyridoxal##Pyridoxal##Acutalibacter_muris_KB1	Pyridoxal	Pyridoxal
Puryvate##Puryvate##Acutalibacter_muris_KB1	Puryvate	Puryvate
Thiamine##5'-Deoxyadenosine-e0##Acutalibacter_muris_KB1	Thiamine	5'-Deoxyadenosine-e0
Pyridoxal##5'-Deoxyadenosine-e0##Acutalibacter_muris_KB1	Pyridoxal	5'-Deoxyadenosine-e0
Thiamine##XAN-e0-e0##Acutalibacter_muris_KB1	Thiamine	XAN-e0-e0
Pyridoxal##XAN-e0-e0##Acutalibacter_muris_KB1	Pyridoxal	XAN-e0-e0
