	Source	Target	Weight	Metabolites	ABSWeight	SignWeight	ABSRootWeight	SignedRootWeight
bc1011->bc1009	bc1011	bc1009	-0.2708798659192801	O2	0.2708798659192801	-1.0	0.5204612050088653	-0.5204612050088653
bc1012->bc1009	bc1012	bc1009	-0.15319477863951808	O2	0.15319477863951808	-1.0	0.3914010457823511	-0.3914010457823511
bc1015->bc1009	bc1015	bc1009	-0.15319477863951844	O2	0.15319477863951844	-1.0	0.3914010457823515	-0.3914010457823515
bc1016->bc1009	bc1016	bc1009	-0.0034341732486408345	O2	0.0034341732486408345	-1.0	0.05860181949940492	-0.05860181949940492
bc1001->bc1010	bc1001	bc1010	-0.11330374830229561	O2.D-Glucose	0.11330374830229561	-1.0	0.33660622142541513	-0.33660622142541513
bc1002->bc1010	bc1002	bc1010	-0.26582382063468035	O2.D-Glucose	0.26582382063468035	-1.0	0.5155810514697765	-0.5155810514697765
bc1003->bc1010	bc1003	bc1010	-0.11426252613911947	O2.D-Glucose	0.11426252613911947	-1.0	0.3380274044202917	-0.3380274044202917
bc1008->bc1010	bc1008	bc1010	-2.3011095120489498	O2.D-Glucose	2.3011095120489498	-1.0	1.5169408399963888	-1.5169408399963888
bc1009->bc1010	bc1009	bc1010	-0.11367340662409564	O2.D-Glucose	0.11367340662409564	-1.0	0.33715487038465813	-0.33715487038465813
bc1011->bc1010	bc1011	bc1010	-0.2697152546933448	O2.D-Glucose	0.2697152546933448	-1.0	0.5193411736935025	-0.5193411736935025
bc1012->bc1010	bc1012	bc1010	-1.1635969549792315	D-Glucose.O2	1.1635969549792315	-1.0	1.078701513385066	-1.078701513385066
bc1015->bc1010	bc1015	bc1010	-0.11594323483410895	D-Glucose.O2	0.11594323483410895	-1.0	0.3405043829881033	-0.3405043829881033
bc1016->bc1010	bc1016	bc1010	-2.30110951223645	D-Glucose.O2	2.30110951223645	-1.0	1.516940840058191	-1.516940840058191
bc1001->bc1011	bc1001	bc1011	-0.14823121948649554	D-Glucose	0.14823121948649554	-1.0	0.38500807717046087	-0.38500807717046087
bc1002->bc1011	bc1002	bc1011	-0.27015631706376675	D-Glucose	0.27015631706376675	-1.0	0.519765636670766	-0.519765636670766
bc1003->bc1011	bc1003	bc1011	-0.14834252086459276	D-Glucose	0.14834252086459276	-1.0	0.38515259425920106	-0.38515259425920106
bc1008->bc1011	bc1008	bc1011	-0.2701563170637669	D-Glucose	0.2701563170637669	-1.0	0.5197656366707661	-0.5197656366707661
bc1009->bc1011	bc1009	bc1011	-0.14827413191006336	D-Glucose	0.14827413191006336	-1.0	0.3850638023887254	-0.3850638023887254
bc1010->bc1011	bc1010	bc1011	-0.2701563170637653	D-Glucose	0.2701563170637653	-1.0	0.5197656366707646	-0.5197656366707646
bc1012->bc1011	bc1012	bc1011	-0.2701563170637666	D-Glucose	0.2701563170637666	-1.0	0.5197656366707658	-0.5197656366707658
bc1015->bc1011	bc1015	bc1011	-0.14853762883095217	D-Glucose	0.14853762883095217	-1.0	0.3854057976094187	-0.3854057976094187
bc1016->bc1011	bc1016	bc1011	-0.27015631706376647	D-Glucose	0.27015631706376647	-1.0	0.5197656366707657	-0.5197656366707657
bc1001->bc1012	bc1001	bc1012	-0.1149879329969209	O2.D-Glucose	0.1149879329969209	-1.0	0.3390987068641237	-0.3390987068641237
bc1002->bc1012	bc1002	bc1012	-0.20735378114329578	O2.D-Glucose	0.20735378114329578	-1.0	0.45536115462706717	-0.45536115462706717
bc1003->bc1012	bc1003	bc1012	-0.1150416434921799	O2.D-Glucose	0.1150416434921799	-1.0	0.3391778935782518	-0.3391778935782518
bc1008->bc1012	bc1008	bc1012	-0.13134298331193917	O2.D-Glucose	0.13134298331193917	-1.0	0.36241272509659367	-0.36241272509659367
bc1009->bc1012	bc1009	bc1012	-0.11500864116389944	O2.D-Glucose	0.11500864116389944	-1.0	0.33912923961802444	-0.33912923961802444
bc1010->bc1012	bc1010	bc1012	-0.17382509644760036	O2.D-Glucose	0.17382509644760036	-1.0	0.4169233699945355	-0.4169233699945355
bc1011->bc1012	bc1011	bc1012	-0.20720844969977648	O2.D-Glucose	0.20720844969977648	-1.0	0.4552015484373669	-0.4552015484373669
bc1015->bc1012	bc1015	bc1012	-0.11513579637403387	D-Glucose.O2	0.11513579637403387	-1.0	0.3393166609143056	-0.3393166609143056
bc1016->bc1012	bc1016	bc1012	-0.13134298330493632	D-Glucose.O2	0.13134298330493632	-1.0	0.36241272508693223	-0.36241272508693223
bc1001->bc1015	bc1001	bc1015	-0.1532485362974612	O2	0.1532485362974612	-1.0	0.3914697131292039	-0.3914697131292039
bc1002->bc1015	bc1002	bc1015	-0.27148743179880336	O2	0.27148743179880336	-1.0	0.5210445583621456	-0.5210445583621456
bc1003->bc1015	bc1003	bc1015	-0.1532485362974608	O2	0.1532485362974608	-1.0	0.39146971312920337	-0.39146971312920337
bc1008->bc1015	bc1008	bc1015	-0.0034353783608226194	O2	0.0034353783608226194	-1.0	0.05861210080540211	-0.05861210080540211
bc1009->bc1015	bc1009	bc1015	-0.15324853629746077	O2	0.15324853629746077	-1.0	0.39146971312920337	-0.39146971312920337
bc1010->bc1015	bc1010	bc1015	-0.15324853629745938	O2	0.15324853629745938	-1.0	0.3914697131292016	-0.3914697131292016
bc1011->bc1015	bc1011	bc1015	-0.27097492051125094	O2	0.27097492051125094	-1.0	0.5205525146527015	-0.5205525146527015
bc1012->bc1015	bc1012	bc1015	-0.15324853629746074	O2	0.15324853629746074	-1.0	0.3914697131292033	-0.3914697131292033
bc1016->bc1015	bc1016	bc1015	-0.003435378336127861	O2	0.003435378336127861	-1.0	0.05861210059473949	-0.05861210059473949
bc1001->bc1016	bc1001	bc1016	-0.03152386363815962	D-Glucose	0.03152386363815962	-1.0	0.17754960894961053	-0.17754960894961053
bc1002->bc1016	bc1002	bc1016	-0.05745328770557321	D-Glucose	0.05745328770557321	-1.0	0.23969415450855952	-0.23969415450855952
bc1003->bc1016	bc1003	bc1016	-0.03154753374947646	D-Glucose	0.03154753374947646	-1.0	0.17761625418152602	-0.17761625418152602
bc1008->bc1016	bc1008	bc1016	-0.057453287705573244	D-Glucose	0.057453287705573244	-1.0	0.2396941545085596	-0.2396941545085596
bc1009->bc1016	bc1009	bc1016	-0.03153298968727141	D-Glucose	0.03153298968727141	-1.0	0.17757530708764496	-0.17757530708764496
bc1010->bc1016	bc1010	bc1016	-0.05745328770557289	D-Glucose	0.05745328770557289	-1.0	0.23969415450855885	-0.23969415450855885
bc1011->bc1016	bc1011	bc1016	-0.05745328770557318	D-Glucose	0.05745328770557318	-1.0	0.23969415450855946	-0.23969415450855946
bc1012->bc1016	bc1012	bc1016	-0.05745328770557317	D-Glucose	0.05745328770557317	-1.0	0.23969415450855944	-0.23969415450855944
bc1015->bc1016	bc1015	bc1016	-0.03158902674229902	D-Glucose	0.03158902674229902	-1.0	0.17773302096768348	-0.17773302096768348
