	Avg_Clostridium_innocuum_I46	Var_Clostridium_innocuum_I46	Avg_Muribaculum_intestinale_YL27	Var_Muribaculum_intestinale_YL27	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Formate-e0-e0	0.0	0.0	0.0	0.0	0.9746437613478299	0.0006881049251212266	0.0	0.0	0.9746437613478299	0.0006881049251212266	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
Fumarate-e0	-1.0426149423457991e-14	6.084644121932574e-27	-1.666507911084511e-13	5.63857901055155e-27	1.4770460140385449	0.24500794758510483	0.0	0.0	1.4770460140385449	0.24500794758510483	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27	3		1	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27	3
XAN-e0	0.0	0.0	0.0	0.0	0.9746437613478299	0.0006881049251212266	0.0	0.0	0.9746437613478299	0.0006881049251212266	.Clostridium_innocuum_I46	2		1	.Clostridium_innocuum_I46	2
H2S-e0	0.0	0.0	0.0	0.0	1.949168232320979	0.0029906489805840326	0.0	0.0	1.949168232320979	0.0029906489805840326	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	2		1	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.974540728919932	0.0007909809857036111	0.0	0.0	0.974540728919932	0.0007909809857036111	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.9745154614865202	0.0008162067481594541	0.0	0.0	0.9745154614865202	0.0008162067481594541	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
Heme-e0	-6.815350710951166e-12	1.0017144429073544e-22	0.0	0.0	0.4324772457789391	0.2407102366646355	0.0	0.0	0.4324772457789391	0.2407102366646355	.Clostridium_innocuum_I46	2		1	.Clostridium_innocuum_I46	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	1.9489363009288503	0.0034537448979568494	0.0	0.0	1.9489363009288503	0.0034537448979568494	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	2		1	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	2
NAD-e0-e0	0.0	0.0	0.0	0.0	0.00976875166694683	0.009670909624802507	0.0	0.0	0.00976875166694683	0.009670909624802507	.Clostridium_innocuum_I46	2		1	.Clostridium_innocuum_I46	2
Butyrate-e0	0.0	0.0	0.0	0.0	1.9335550775160486	0.03391911148569403	0.0	0.0	1.9335550775160486	0.03391911148569403	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	2		1	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	2
D-Ribose-e0	0.0	0.0	0.024770300279138093	0.07555088692150426	1.9185473052143107	0.06317718299819337	0.013042907285874854	0.012868487325288759	1.9315902125001856	0.0769046683145024	.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	2	.Muribaculum_intestinale_YL27	2	.Muribaculum_intestinale_YL27Clostridium_innocuum_I46.Muribaculum_intestinale_YL27.Clostridium_innocuum_I46.Muribaculum_intestinale_YL27	3
