	Avg_bc1009	Var_bc1009	Avg_bc1015	Var_bc1015	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Deoxycytidine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Deoxyguanosine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Folate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Formate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
GTP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Glycerol	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Glycine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
H+	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
H2O	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Heme	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
K+	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Alanine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Arginine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Asparagine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Aspartate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Cysteine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Glutamate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Glutamine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Histidine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Isoleucine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Leucine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Lysine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Methionine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Phenylalanine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Proline	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Serine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Threonine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Tryptophan	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Tyrosine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
L-Valine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Methanol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Mn2+	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Myristic acid	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
N-Acetyl-D-glucosamine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
NADP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
NH3	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Niacin	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Nicotinamide ribonucleotide	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	bc1015	1		1	bc1015	1
O2	0.07346266774101726	0.00643966439034069	0.07382093064832115	0.0058634197681921765	2.0	0.0	0.9636689521706245	0.9984255983807451	2.9636689521706248	0.9984255983807451	bc1009.bc1015	1	bc1009.bc1015.bc1009.	3	bc1009.bc1015bc1009.bc1015.bc1009bc1009.bc1015.bc1009.bc1015	3
Oxidized glutathione	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
PAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PPi	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Putrescine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Pyridoxal	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Riboflavin	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Spermidine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Sulfate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
TRHL	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
TTP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Thiamin	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
UMP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Uracil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
chromate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
dATP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
dGTP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
ddca	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
fe3	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
meso-2,6-Diaminopimelate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
