	Avg_Bacteroides_caecimuris_I48	Var_Bacteroides_caecimuris_I48	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Succinate-e0	2.7499195455007514e-05	4.353970035548527e-06	0.0	0.0	1.593170670972417	0.13184444378162727	0.00017364559692472687	0.0001736093106291473	1.593344316569342	0.13204679352485243	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2	.Bacteroides_caecimuris_I48	2	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	3
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.5917134524082148	0.13451513829671605	0.0	0.0	1.5917134524082148	0.13451513829671605	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		1	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	1.4364291178786053	0.2345352313902858	0.0	0.0	1.4364291178786053	0.2345352313902858	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1	3		1	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1	3
Formate-e0-e0	0.0	0.0	0.0	0.0	0.7958567262041074	0.03362878457417901	0.0	0.0	0.7958567262041074	0.03362878457417901	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Fumarate-e0	1.8332797939258823e-05	1.935097793536024e-06	0.0	0.0	1.5917134524082148	0.13451513829671605	0.00017364559692472687	0.0001736093106291473	1.5918870980051398	0.13471809706273802	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2	.Bacteroides_caecimuris_I48	2	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	3
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.7958567262041074	0.03362878457417901	0.0	0.0	0.7958567262041074	0.03362878457417901	.Bacteroides_caecimuris_I48	2		1	.Bacteroides_caecimuris_I48	2
Propanal-e0	0.0	0.0	0.0	0.0	0.7958567262041074	0.03362878457417901	0.0	0.0	0.7958567262041074	0.03362878457417901	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
XAN-e0	0.0	0.0	0.0	0.0	0.7958567262041074	0.03362878457417901	0.0	0.0	0.7958567262041074	0.03362878457417901	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
H2S-e0	0.0	0.0	0.0	0.0	1.2922482994179596	0.574908632321242	0.0	0.0	1.2922482994179596	0.574908632321242	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		1	.Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
D-Mannitol-e0	0.0	0.0	0.0	0.0	0.1600273695631484	0.12920942879636543	0.0	0.0	0.1600273695631484	0.12920942879636543	.Bacteroides_caecimuris_I48	2		1	.Bacteroides_caecimuris_I48	2
