	0.34855	0.37629999999999997	0.40315	0.7985	Source	Target
L-Glutamine##bc1012##Metabolite	-3.0380099	-0.28238556000000004	-0.17306417000000002	-0.25874002999999995	L-Glutamine	bc1012
bc1012##L-Histidine##Microbe	1.1280134	0.10484979	0.06425874	0.09607020000000001	bc1012	L-Histidine
L-Histidine##bc1012##Metabolite	-1.1280134	-0.10484979	-0.06425874	-0.09607020000000001	L-Histidine	bc1012
bc1012##L-Isoleucine##Microbe	3.4410745899999995	0.31985075	0.19602526999999997	0.29306808	bc1012	L-Isoleucine
L-Isoleucine##bc1012##Metabolite	-3.4410745899999995	-0.31985075	-0.19602526999999997	-0.29306808	L-Isoleucine	bc1012
bc1012##L-Leucine##Microbe	5.34222076	0.49656387999999996	0.30432653	0.45498414	bc1012	L-Leucine
L-Leucine##bc1012##Metabolite	-5.34222076	-0.49656387999999996	-0.30432653	-0.45498414	L-Leucine	bc1012
bc1012##L-Lysine##Microbe	4.06211567	0.37757704000000003	0.23140368	0.34596066000000003	bc1012	L-Lysine
L-Lysine##bc1012##Metabolite	-4.06211567	-0.37757704000000003	-0.23140368	-0.34596066000000003	L-Lysine	bc1012
bc1012##L-Methionine##Microbe	1.73889335	0.16163159000000002	0.09905831000000001	0.14809738	bc1012	L-Methionine
L-Methionine##bc1012##Metabolite	-1.73889335	-0.16163159000000002	-0.09905831000000001	-0.14809738	L-Methionine	bc1012
bc1012##L-Phenylalanine##Microbe	2.19899241	0.20439819000000004	0.12526845	0.18728291	bc1012	L-Phenylalanine
L-Phenylalanine##bc1012##Metabolite	-2.19899241	-0.20439819000000004	-0.12526845	-0.18728291	L-Phenylalanine	bc1012
bc1012##L-Proline##Microbe	2.62358172	0.24386412000000002	0.14945572999999998	0.22344417	bc1012	L-Proline
L-Proline##bc1012##Metabolite	-2.62358172	-0.24386412000000002	-0.14945572999999998	-0.22344417	L-Proline	bc1012
bc1012##L-Serine##Microbe	3.0370425	0.28229564	0.17300906	0.25865762999999997	bc1012	L-Serine
L-Serine##bc1012##Metabolite	-3.0370425	-0.28229564	-0.17300906	-0.25865762999999997	L-Serine	bc1012
bc1012##L-Threonine##Microbe	3.00381096	0.27920674	0.17111598	0.25582739	bc1012	L-Threonine
L-Threonine##bc1012##Metabolite	-3.00381096	-0.27920674	-0.17111598	-0.25582739	L-Threonine	bc1012
bc1012##L-Tryptophan##Microbe	0.67173832	0.062438629999999995	0.03826645	0.05721034	bc1012	L-Tryptophan
L-Tryptophan##bc1012##Metabolite	-0.67173832	-0.062438629999999995	-0.03826645	-0.05721034	L-Tryptophan	bc1012
bc1012##L-Tyrosine##Microbe	1.7173687199999998	0.15963085	0.09783213999999998	0.14626418	bc1012	L-Tyrosine
L-Tyrosine##bc1012##Metabolite	-1.7173687199999998	-0.15963085	-0.09783213999999998	-0.14626418	L-Tyrosine	bc1012
bc1012##L-Valine##Microbe	5.01268876	0.46593360000000006	0.28555431	0.42691869	bc1012	L-Valine
L-Valine##bc1012##Metabolite	-5.01268876	-0.46593360000000006	-0.28555431	-0.42691869	L-Valine	bc1012
bc1012##Mg##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Mg
Mg##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Mg	bc1012
bc1012##Mn2+##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Mn2+
Mn2+##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Mn2+	bc1012
bc1012##Myristic acid##Microbe	1.7796497599999999	0.16541993	0.10138006000000002	0.1515685	bc1012	Myristic acid
Myristic acid##bc1012##Metabolite	-1.7796497599999999	-0.16541993	-0.10138006000000002	-0.1515685	Myristic acid	bc1012
bc1012##N-Acetyl-D-glucosamine##Microbe	1.26398015	0.11748800999999998	0.07200427000000001	0.10765016	bc1012	N-Acetyl-D-glucosamine
N-Acetyl-D-glucosamine##bc1012##Metabolite	-1.26398015	-0.11748800999999998	-0.07200427000000001	-0.10765016	N-Acetyl-D-glucosamine	bc1012
bc1012##NADP##Microbe	0.07986983	0.0074239699999999985	0.00454989	0.006802320000000001	bc1012	NADP
NADP##bc1012##Metabolite	-0.07986983	-0.0074239699999999985	-0.00454989	-0.006802320000000001	NADP	bc1012
bc1012##Niacin##Microbe	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	bc1012	Niacin
bc1012##Nicotinamide ribonucleotide##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Nicotinamide ribonucleotide
Nicotinamide ribonucleotide##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Nicotinamide ribonucleotide	bc1012
bc1012##O2##Microbe	78.0473341	6.0496292	3.42823136	7.82194492	bc1012	O2
O2##bc1012##Metabolite	-78.0473341	-6.0496292	-3.42823136	-7.82194492	O2	bc1012
bc1012##Oxidized glutathione##Microbe	0.019967449999999998	0.00185599	0.00113748	0.0017005800000000001	bc1012	Oxidized glutathione
Oxidized glutathione##bc1012##Metabolite	-0.019967449999999998	-0.00185599	-0.00113748	-0.0017005800000000001	Oxidized glutathione	bc1012
bc1012##PPi##Microbe	-0.27545454	-0.025603730000000005	-0.015691629999999998	-0.023459800000000003	bc1012	PPi
bc1012##Putrescine##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Putrescine
Putrescine##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Putrescine	bc1012
bc1012##Pyridoxal##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Pyridoxal
Pyridoxal##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Pyridoxal	bc1012
bc1012##Riboflavin##Microbe	0.11980475000000002	0.011135949999999999	0.0068248300000000005	0.01020349	bc1012	Riboflavin
Riboflavin##bc1012##Metabolite	-0.11980475000000002	-0.011135949999999999	-0.0068248300000000005	-0.01020349	Riboflavin	bc1012
bc1012##S-Adenosyl-L-methionine##Microbe	0.11980475000000002	0.011135949999999999	0.0068248300000000005	0.01020349	bc1012	S-Adenosyl-L-methionine
S-Adenosyl-L-methionine##bc1012##Metabolite	-0.11980475000000002	-0.011135949999999999	-0.0068248300000000005	-0.01020349	S-Adenosyl-L-methionine	bc1012
bc1012##Spermidine##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Spermidine
Spermidine##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Spermidine	bc1012
bc1012##Succinate##Microbe	-67.3694924	-11.684261260000001	-8.41805272	-0.45091613	bc1012	Succinate
bc1012##Sulfate##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Sulfate
Sulfate##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Sulfate	bc1012
bc1012##TRHL##Microbe	0.8429358499999999	0.07835159000000001	0.04801893	0.07179083	bc1012	TRHL
TRHL##bc1012##Metabolite	-0.8429358499999999	-0.07835159000000001	-0.04801893	-0.07179083	TRHL	bc1012
bc1012##TTP##Microbe	0.16964072	0.015768240000000003	0.00966381	0.01444789	bc1012	TTP
TTP##bc1012##Metabolite	-0.16964072	-0.015768240000000003	-0.00966381	-0.01444789	TTP	bc1012
bc1012##Thiamin##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Thiamin
Thiamin##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Thiamin	bc1012
bc1012##UMP##Microbe	1.33257877	0.12386430999999998	0.07591207	0.11349255	bc1012	UMP
UMP##bc1012##Metabolite	-1.33257877	-0.12386430999999998	-0.07591207	-0.11349255	UMP	bc1012
bc1012##Zn2+##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Zn2+
Zn2+##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Zn2+	bc1012
bc1012##dATP##Microbe	0.16964072	0.015768240000000003	0.00966381	0.01444789	bc1012	dATP
dATP##bc1012##Metabolite	-0.16964072	-0.015768240000000003	-0.00966381	-0.01444789	dATP	bc1012
bc1012##dGTP##Microbe	0.24634975000000003	0.022898420000000003	0.014033629999999998	0.02098102	bc1012	dGTP
dGTP##bc1012##Metabolite	-0.24634975000000003	-0.022898420000000003	-0.014033629999999998	-0.02098102	dGTP	bc1012
bc1012##ddca##Microbe	0.35592995	0.03308397999999999	0.020276020000000002	0.0303137	bc1012	ddca
ddca##bc1012##Metabolite	-0.35592995	-0.03308397999999999	-0.020276020000000002	-0.0303137	ddca	bc1012
bc1012##fe3##Microbe	0.11980475000000002	0.011135949999999999	0.0068248300000000005	0.01020349	bc1012	fe3
fe3##bc1012##Metabolite	-0.11980475000000002	-0.011135949999999999	-0.0068248300000000005	-0.01020349	fe3	bc1012
bc1012##meso-2,6-Diaminopimelate##Microbe	0.35592995	0.03308397999999999	0.020276020000000002	0.0303137	bc1012	meso-2,6-Diaminopimelate
