	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1002##L-Proline	-0.040218515436268115	-0.230813857079	0.1905953416427319	0.1905953416427319	1.0
bc1015##Zn2+	-0.0005813121621112515	-0.0035213425390000002	0.0029400303768887487	0.0029400303768887487	1.0
bc1015##Folate	-0.0017439364863221047	-0.010564015897500001	0.008820079411177895	0.008820079411177895	1.0
bc1002##K+	-0.0006121871408511369	-0.003513342027	0.002901154886148863	0.002901154886148863	1.0
bc1015##L-Cysteine	-0.01577418795721118	-0.095553177512	0.07977898955478882	0.07977898955478882	1.0
bc1011##Mg	-0.0006109473676233014	-0.003510701233	0.002899753865376699	0.002899753865376699	1.0
bc1011##Glycine	-0.1091742627964576	-0.6273501048685	0.5181758420720424	0.5181758420720424	1.0
bc1002##Folate	-0.0018365614225473342	-0.0105400221745	0.008703460751952666	0.008703460751952666	1.0
bc1010##BET	-0.0012198507564643267	-0.0070096321815	0.005789781425035673	0.005789781425035673	1.0
bc1011##Nitrite	0.0030547368381495794	0.017553490539	-0.014498753700850419	0.014498753700850419	1.0
bc1002##TRHL	-0.012921887746313298	-0.0741586560065	0.0612367682601867	0.0612367682601867	1.0
bc1010##L-Cysteine	-0.016550621478777727	-0.095104812881	0.07855419140222228	0.07855419140222228	1.0
bc1002##Ca2+	-0.0006121871408496334	-0.003513342027	0.0029011548861503666	0.0029011548861503666	1.0
bc1011##L-Aspartate	-0.04372419590358391	-0.25125316120450003	0.20752896530091614	0.20752896530091614	1.0
bc1002##L-Leucine	-0.08189422346080481	-0.4699905423135	0.3880963188526952	0.3880963188526952	1.0
bc1010##fe3	-0.0018297761347040586	-0.010514438506000002	0.008684662371295943	0.008684662371295943	1.0
bc1011##Cu2+	-0.0006109473676237959	-0.003510701233	0.0028997538653762044	0.0028997538653762044	1.0
bc1015##PPi	0.00572007724886002	0.034649740878999996	-0.028929663630139976	0.028929663630139976	1.0
bc1002##Heme	-0.0006121871408492979	-0.003513342027	0.002901154886150702	0.002901154886150702	1.0
bc1015##Acetate	1.315716328279683	7.2992832922035	-5.983566963923817	5.983566963923817	1.0
bc1010##Spermidine	-0.0006099253782320408	-0.003504818044	0.0028948926657679595	0.0028948926657679595	1.0
bc1010##Succinate	0.0006099253782435293	0.003504818044	-0.002894892665756471	0.002894892665756471	1.0
bc1010##L-Arginine	-0.05362014210083467	-0.30811735106099997	0.2544972089601653	0.2544972089601653	1.0
D-Glucose##bc1010	0.14920421099464057	4.630883771657	-4.48167956066236	4.48167956066236	1.0
bc1002##L-Tryptophan	-0.010297494290447459	-0.0590972702645	0.04879977597405254	0.04879977597405254	1.0
bc1011##L-Phenylalanine	-0.03364145449787756	-0.19331451586850001	0.15967306137062245	0.15967306137062245	1.0
bc1010##TRHL	-0.012874147046308336	-0.0739786991775	0.06110455213119166	0.06110455213119166	1.0
bc1011##NADP	-0.0012218947352288585	-0.007021402466	0.005799507730771142	0.005799507730771142	1.0
D-Glucose##bc1002	0.14983816420205492	4.6221650926035	-4.472326928401445	4.472326928401445	1.0
bc1010##CMP	-0.01828012121601939	-0.10504303482400001	0.08676291360798062	0.08676291360798062	1.0
bc1002##Niacin	0.0006121871408493548	0.003513342027	-0.002901154886150645	0.002901154886150645	1.0
bc1002##D-Arabinose	-0.01636881456050359	-0.09394054305999998	0.0775717284994964	0.0775717284994964	1.0
bc1002##L-Valine	-0.0768426224881299	-0.44099942918850005	0.36415680670037015	0.36415680670037015	1.0
bc1010##Niacin	0.0006099253782337535	0.003504818044	-0.0028948926657662464	0.0028948926657662464	1.0
bc1015##L-Arginine	-0.05110467911284185	-0.30956994402099997	0.25846526490815813	0.25846526490815813	1.0
bc1015##L-Leucine	-0.077763979227669	-0.471060403749	0.39329642452133096	0.39329642452133096	1.0
bc1010##Acetate	1.245732575425021	7.158351527053999	-5.912618951628978	5.912618951628978	1.0
bc1011##L-Cysteine	-0.0165783536574556	-0.09526449888150001	0.07868614522404441	0.07868614522404441	1.0
bc1010##Putrescine	-0.000609925378231368	-0.003504818044	0.002894892665768632	0.002894892665768632	1.0
bc1002##S-Adenosyl-L-methionine	-0.0018365614225485344	-0.0105400221745	0.008703460751951466	0.008703460751951466	1.0
bc1010##D-Glucose	-0.8058898411042382	-4.630883771657	3.824993930552762	3.824993930552762	1.0
bc1002##Glycerol	-0.013589236096094238	-0.0779885573545	0.06439932125840576	0.06439932125840576	1.0
bc1015##BIOT	-0.0005813121621103656	-0.0035213425390000002	0.0029400303768896347	0.0029400303768896347	1.0
bc1002##CO2	1.576083901013059	9.0451377541135	-7.469053853100441	7.469053853100441	1.0
bc1015##L-Tryptophan	-0.009778151599211759	-0.05923178668550001	0.04945363508628825	0.04945363508628825	1.0
bc1015##Ala-Ala	-0.005181090524152124	-0.031384789748	0.026203699223847875	0.026203699223847875	1.0
bc1002##CoA	-0.001224374281698803	-0.0070266801475	0.005802305865801197	0.005802305865801197	1.0
bc1011##Glycerol	-0.013561715800513434	-0.0779299442285	0.06436822842798656	0.06436822842798656	1.0
bc1002##5-Aminolevulinate	-0.0048974971267814835	-0.028106716683500003	0.02320921955671852	0.02320921955671852	1.0
bc1010##Cu2+	-0.0006099253782352849	-0.003504818044	0.002894892665764715	0.002894892665764715	1.0
bc1010##L-Glutamine	-0.06997370932533413	-0.40208984147800003	0.3321161321526659	0.3321161321526659	1.0
bc1010##Mg	-0.0006099253782318188	-0.003504818044	0.0028948926657681815	0.0028948926657681815	1.0
bc1015##Sulfate	-0.0005813121621139471	-0.0035213425390000002	0.0029400303768860533	0.0029400303768860533	1.0
bc1002##L-Asparagine	-0.04381292382066888	-0.2514421576745	0.20762923385383114	0.20762923385383114	1.0
bc1002##dGTP	-0.004283075407506625	-0.0245805457105	0.02029747030299338	0.02029747030299338	1.0
bc1002##L-Glutamate	-0.033263663757326395	-0.190900005881	0.1576363421236736	0.1576363421236736	1.0
