	Avg_bc1016	Var_bc1016	Avg_bc1010	Var_bc1010	Avg_bc1015	Var_bc1015	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Succinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1010	1		1	bc1010	1
Sulfate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
TRHL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
TTP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Thiamin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Thymidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
UMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6991845258118383	0.0814163571539056	0.0	0.0	2.6991845258118383	0.0814163571539056	bc1010.bc1011.bc1015	1		1	bc1010.bc1011.bc1015	1
Uracil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Uridine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1016	1		1	bc1016	1
Xylose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
chromate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
dATP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
dGTP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
ddca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
fe3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
gamma-butyrobetaine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
hexadecenoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1016	1		1	bc1016	1
meso-2,6-Diaminopimelate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
