	0.0000-0.0000	0.0000-0.0012	0.0012-0.0727	0.0727-0.0728	0.0728-0.0732	0.0732-20.0000	Source	Target
Riboflavin##L-Cysteine-e0##Turicimonas_muris_YL45	-13.013505963508988	-13.013505963498087	-13.013505963498087	-13.013505963498087	-13.013505963498087	-13.013505963498087	Riboflavin	L-Cysteine-e0
Spermidine-e0##L-Serine-e0##Turicimonas_muris_YL45	-0.9999999999769005	-0.9999999999761446	-0.9999999999761446	-0.9999999999761446	-0.9999999999761446	-0.9999999999761446	Spermidine-e0	L-Serine-e0
Pyruvate-e0##L-Serine-e0##Turicimonas_muris_YL45	0.999999999991031	0.9999999999907866	0.9999999999907866	0.9999999999907866	0.9999999999907866	0.9999999999907866	Pyruvate-e0	L-Serine-e0
Folate##L-Serine-e0##Turicimonas_muris_YL45	23.499999999973642	23.4999999999479	23.4999999999479	23.4999999999479	23.4999999999479	23.4999999999479	Folate	L-Serine-e0
Riboflavin##L-Serine-e0##Turicimonas_muris_YL45	-7444.948477067639	-7428.615143728969	-7428.615143728969	-7428.615143728969	-7428.615143728969	-7428.615143728969	Riboflavin	L-Serine-e0
Spermidine-e0##NH3-e0##Turicimonas_muris_YL45	3.999999999975617	3.9999999999747793	3.9999999999747793	3.9999999999747793	3.9999999999747793	3.9999999999747793	Spermidine-e0	NH3-e0
Pyruvate-e0##NH3-e0##Turicimonas_muris_YL45	-0.9999999999904823	-0.999999999990221	-0.999999999990221	-0.999999999990221	-0.999999999990221	-0.999999999990221	Pyruvate-e0	NH3-e0
Folate##NH3-e0##Turicimonas_muris_YL45	-24.499999999975103	-24.499999999947555	-24.499999999947555	-24.499999999947555	-24.499999999947555	-24.499999999947555	Folate	NH3-e0
Riboflavin##NH3-e0##Turicimonas_muris_YL45	7880.786923854314	7865.453590515264	7865.453590515264	7865.453590515264	7865.453590515264	7865.453590515264	Riboflavin	NH3-e0
Pyruvate-e0##Pyruvate-e0##Turicimonas_muris_YL45	-0.9999999999999998	-0.9999999999999987	-0.9999999999999987	-0.9999999999999987	-0.9999999999999987	-0.9999999999999987	Pyruvate-e0	Pyruvate-e0
Riboflavin##L-Asparagine-e0##Turicimonas_muris_YL45	-28.98957316828693	-28.98957316826345	-28.98957316826345	-28.98957316826345	-28.98957316826345	-28.98957316826345	Riboflavin	L-Asparagine-e0
Riboflavin##Ca2+-e0##Turicimonas_muris_YL45	-0.9241112603174336	-0.9241112603167059	-0.9241112603167059	-0.9241112603167059	-0.9241112603167059	-0.9241112603167059	Riboflavin	Ca2+-e0
Riboflavin##Cu2+-e0##Turicimonas_muris_YL45	-0.9241112603208673	-0.9241112603206404	-0.9241112603206404	-0.9241112603206404	-0.9241112603206404	-0.9241112603206404	Riboflavin	Cu2+-e0
Riboflavin##Fe2+-e0##Turicimonas_muris_YL45	-1.9241112602932702	-1.924111260298342	-1.924111260298342	-1.924111260298342	-1.924111260298342	-1.924111260298342	Riboflavin	Fe2+-e0
Folate##Glycine-e0##Turicimonas_muris_YL45	-0.9999999999992477	-0.9999999999994825	-0.9999999999994825	-0.9999999999994825	-0.9999999999994825	-0.9999999999994825	Folate	Glycine-e0
Riboflavin##Glycine-e0##Turicimonas_muris_YL45	-9.964666328559288	-10.964666328502028	-10.964666328502028	-10.964666328502028	-10.964666328502028	-10.964666328502028	Riboflavin	Glycine-e0
Riboflavin##K+-e0##Turicimonas_muris_YL45	-0.9241112603190458	-0.9241112603184826	-0.9241112603184826	-0.9241112603184826	-0.9241112603184826	-0.9241112603184826	Riboflavin	K+-e0
Riboflavin##Cl--e0##Turicimonas_muris_YL45	-0.9241112603204099	-0.9241112603196924	-0.9241112603196924	-0.9241112603196924	-0.9241112603196924	-0.9241112603196924	Riboflavin	Cl--e0
Riboflavin##L-Phenylalanine##Turicimonas_muris_YL45	-22.280195972170436	-22.280195972154054	-22.280195972154054	-22.280195972154054	-22.280195972154054	-22.280195972154054	Riboflavin	L-Phenylalanine
Riboflavin##L-Tryptophan##Turicimonas_muris_YL45	-6.83596921872198	-6.8359692187179	-6.8359692187179	-6.8359692187179	-6.8359692187179	-6.8359692187179	Riboflavin	L-Tryptophan
Riboflavin##L-Tyrosine##Turicimonas_muris_YL45	-17.083554956518807	-17.083554956504617	-17.083554956504617	-17.083554956504617	-17.083554956504617	-17.083554956504617	Riboflavin	L-Tyrosine
Riboflavin##Mg##Turicimonas_muris_YL45	-0.9241112603192111	-0.924111260318627	-0.924111260318627	-0.924111260318627	-0.924111260318627	-0.924111260318627	Riboflavin	Mg
Riboflavin##Mn2+##Turicimonas_muris_YL45	-0.9241112603207906	-0.9241112603200429	-0.9241112603200429	-0.9241112603200429	-0.9241112603200429	-0.9241112603200429	Riboflavin	Mn2+
