time [h],coculture,probe1,probe2,probe1_copies/5ng gDNA (16Scorrected),probe2_copies/5ng gDNA (16Scorrected),sum_copies,relativ abundance probe1,relative abundance probe 2
48,I46I48,I46,I48,8.60E+05,3.53E+05,1.21E+06,0.71,0.29
72,I46I48,I46,I48,1.69E+05,5.40E+05,7.09E+05,0.24,0.76
0,KB1I48,KB1,I48,2.29E+05,6.10E+05,8.39E+05,0.27,0.73
24,KB1I48,KB1,I48,1.44E+05,2.22E+04,1.66E+05,0.87,0.13
48,KB1I48,KB1,I48,3.08E+05,1.78E+04,3.25E+05,0.95,0.05
72,KB1I48,KB1,I48,5.63E+04,6.03E+04,1.17E+05,0.48,0.52
0,KB18I48,KB18,I48,2.35E+04,6.60E+05,6.83E+05,0.03,0.97
24,KB18I48,KB18,I48,5.75E+03,1.63E+06,1.63E+06,0.00,1.00
48,KB18I48,KB18,I48,1.34E+02,9.00E+05,9.00E+05,0.00,1.00
72,KB18I48,KB18,I48,3.63E+00,1.95E+06,1.95E+06,0.00,1.00
0,YL2I48,YL2,I48,3.05E+05,4.50E+05,7.55E+05,0.40,0.60
24,YL2I48,YL2,I48,4.33E+05,2.49E+05,6.82E+05,0.64,0.36
48,YL2I48,YL2,I48,1.54E+05,4.80E+05,6.34E+05,0.24,0.76
72,YL2I48,YL2,I48,2.06E+04,4.47E+04,6.53E+04,0.32,0.68
0,YL27I48,YL27,I48,1.71E+04,4.83E+05,5.00E+05,0.03,0.97
24,YL27I48,YL27,I48,3.03E+05,2.96E+05,5.98E+05,0.51,0.49
48,YL27I48,YL27,I48,7.60E+04,8.10E+05,8.86E+05,0.09,0.91
72,YL27I48,YL27,I48,5.88E+04,1.45E+06,1.51E+06,0.04,0.96
0,YL31I48,YL31,I48,6.25E+04,4.07E+05,4.69E+05,0.13,0.87
24,YL31I48,YL31,I48,4.91E+04,3.00E+05,3.49E+05,0.14,0.86
48,YL31I48,YL31,I48,1.87E+04,4.33E+05,4.52E+05,0.04,0.96
72,YL31I48,YL31,I48,6.90E+04,9.03E+05,9.72E+05,0.07,0.93
0,YL32I48,YL32,I48,6.06E+03,4.07E+05,4.13E+05,0.01,0.99
24,YL32I48,YL32,I48,8.70E+03,8.03E+05,8.12E+05,0.01,0.99
48,YL32I48,YL32,I48,3.18E+04,5.60E+05,5.92E+05,0.05,0.95
72,YL32I48,YL32,I48,1.26E+04,8.83E+05,8.96E+05,0.01,0.99
0,YL44I48,YL44,I48,2.55E+05,2.97E+05,5.53E+05,0.46,0.54
24,YL44I48,YL44,I48,4.20E+04,1.09E+06,1.13E+06,0.04,0.96
48,YL44I48,YL44,I48,1.25E+03,3.37E+05,3.38E+05,0.00,1.00
72,YL44I48,YL44,I48,4.90E+02,3.63E+05,3.64E+05,0.00,1.00
0,YL45I48,YL45,I48,4.90E+04,5.23E+05,5.72E+05,0.09,0.91
24,YL45I48,YL45,I48,4.77E+04,1.80E+06,1.84E+06,0.03,0.97
48,YL45I48,YL45,I48,5.17E+04,9.50E+05,1.00E+06,0.05,0.95
72,YL45I48,YL45,I48,5.08E+04,1.39E+06,1.44E+06,0.04,0.96
0,I46I49,I46,I49,3.15E+05,5.73E+04,3.72E+05,0.85,0.15
24,I46I49,I46,I49,4.60E+05,8.42E+03,4.68E+05,0.98,0.02
48,I46I49,I46,I49,2.21E+05,8.42E+00,2.21E+05,1.00,0.00
72,I46I49,I46,I49,2.88E+05,0.00E+00,2.88E+05,1.00,0.00
0,I48I49,I48,I49,8.87E+05,6.60E+04,9.53E+05,0.93,0.07
24,I48I49,I48,I49,1.40E+06,5.03E+04,1.45E+06,0.97,0.03
48,I48I49,I48,I49,9.73E+05,2.42E+04,9.98E+05,0.98,0.02
72,I48I49,I48,I49,2.29E+06,3.58E+04,2.32E+06,0.98,0.02
0,KB1I49,KB1,I49,1.33E+05,1.54E+05,2.87E+05,0.46,0.54
24,KB1I49,KB1,I49,1.70E+05,5.18E+03,1.75E+05,0.97,0.03
48,KB1I49,KB1,I49,2.25E+05,5.07E+03,2.30E+05,0.98,0.02
72,KB1I49,KB1,I49,1.47E+05,5.75E+02,1.47E+05,1.00,0.00
0,KB18I49,KB18,I49,4.13E+04,1.42E+05,1.83E+05,0.23,0.77
24,KB18I49,KB18,I49,5.70E+04,1.04E+05,1.61E+05,0.35,0.65
48,KB18I49,KB18,I49,1.64E+04,2.47E+05,2.63E+05,0.06,0.94
72,KB18I49,KB18,I49,1.42E+04,2.38E+05,2.53E+05,0.06,0.94
0,YL2I49,YL2,I49,3.97E+05,7.75E+04,4.74E+05,0.84,0.16
24,YL2I49,YL2,I49,5.43E+05,3.15E+04,5.75E+05,0.95,0.05
48,YL2I49,YL2,I49,5.63E+05,4.90E+03,5.68E+05,0.99,0.01
72,YL2I49,YL2,I49,4.20E+04,4.30E+02,4.24E+04,0.99,0.01
0,YL27I49,YL27,I49,3.68E+05,7.17E+04,4.39E+05,0.84,0.16
24,YL27I49,YL27,I49,4.50E+05,5.22E+04,5.02E+05,0.90,0.10
48,YL27I49,YL27,I49,3.98E+05,6.05E+04,4.58E+05,0.87,0.13
72,YL27I49,YL27,I49,5.78E+05,7.20E+04,6.50E+05,0.89,0.11
0,YL31I49,YL31,I49,8.90E+04,9.20E+04,1.81E+05,0.49,0.51
24,YL31I49,YL31,I49,1.08E+05,4.03E+04,1.48E+05,0.73,0.27
48,YL31I49,YL31,I49,1.01E+05,6.47E+01,1.01E+05,1.00,0.00
72,YL31I49,YL31,I49,1.01E+05,1.43E+00,1.01E+05,1.00,0.00
0,YL32I49,YL32,I49,3.54E+04,5.97E+04,9.51E+04,0.37,0.63
24,YL32I49,YL32,I49,1.33E+04,8.95E+04,1.03E+05,0.13,0.87
48,YL32I49,YL32,I49,3.86E+04,1.41E+05,1.79E+05,0.22,0.78
72,YL32I49,YL32,I49,3.38E+04,1.11E+05,1.45E+05,0.23,0.77
0,YL44I49,YL44,I49,3.60E+05,7.83E+04,4.38E+05,0.82,0.18
24,YL44I49,YL44,I49,7.87E+04,1.49E+05,2.27E+05,0.35,0.65
48,YL44I49,YL44,I49,9.90E+03,2.42E+05,2.52E+05,0.04,0.96
72,YL44I49,YL44,I49,3.87E+03,1.93E+05,1.97E+05,0.02,0.98
0,YL45I49,YL45,I49,8.55E+04,1.04E+05,1.89E+05,0.45,0.55
24,YL45I49,YL45,I49,4.60E+04,3.52E+04,8.12E+04,0.57,0.43
48,YL45I49,YL45,I49,1.32E+05,6.13E+04,1.93E+05,0.68,0.32
72,YL45I49,YL45,I49,8.72E+04,1.82E+05,2.69E+05,0.32,0.68
0,KB1KB18,KB1,KB18,1.90E+05,5.60E+04,2.46E+05,0.77,0.23
24,KB1KB18,KB1,KB18,8.98E+04,9.55E+03,9.93E+04,0.90,0.10
48,KB1KB18,KB1,KB18,4.00E+05,9.20E+01,4.00E+05,1.00,0.00
72,KB1KB18,KB1,KB18,2.44E+05,6.55E+00,2.44E+05,1.00,0.00
0,YL2KB18,YL2,KB18,5.43E+05,3.76E+04,5.81E+05,0.94,0.06
24,YL2KB18,YL2,KB18,3.18E+05,2.94E+01,3.18E+05,1.00,0.00
48,YL2KB18,YL2,KB18,5.40E+05,9.75E+03,5.50E+05,0.98,0.02
72,YL2KB18,YL2,KB18,4.60E+05,0.00E+00,4.60E+05,1.00,0.00
0,KB1YL2,KB1,YL2,1.66E+05,8.40E+05,1.01E+06,0.16,0.84
24,KB1YL2,KB1,YL2,7.23E+04,3.77E+04,1.10E+05,0.66,0.34
48,KB1YL2,KB1,YL2,1.27E+05,1.15E+03,1.28E+05,0.99,0.01
72,KB1YL2,KB1,YL2,1.47E+05,3.11E+02,1.47E+05,1.00,0.00
0,KB1YL27,KB1,YL27,3.98E+05,3.63E+05,7.60E+05,0.52,0.48
24,KB1YL27,KB1,YL27,1.16E+05,7.48E+04,1.90E+05,0.61,0.39
48,KB1YL27,KB1,YL27,3.20E+05,9.48E+02,3.21E+05,1.00,0.00
72,KB1YL27,KB1,YL27,3.55E+05,5.08E+00,3.55E+05,1.00,0.00
0,KB18YL27,KB18,YL27,3.99E+04,5.58E+05,5.97E+05,0.07,0.93
24,KB18YL27,KB18,YL27,3.29E+04,7.25E+05,7.58E+05,0.04,0.96
48,KB18YL27,KB18,YL27,1.48E+02,7.20E+05,7.20E+05,0.00,1.00
72,KB18YL27,KB18,YL27,3.16E+00,1.24E+06,1.24E+06,0.00,1.00
0,YL2YL27,YL2,YL27,2.29E+05,3.53E+05,5.82E+05,0.39,0.61
24,YL2YL27,YL2,YL27,4.20E+05,2.11E+05,6.31E+05,0.67,0.33
48,YL2YL27,YL2,YL27,3.19E+05,4.08E+05,7.27E+05,0.44,0.56
72,YL2YL27,YL2,YL27,3.29E+05,3.50E+05,6.79E+05,0.48,0.52
0,KB1YL31,KB1,YL31,7.50E+04,3.92E+05,4.67E+05,0.16,0.84
24,KB1YL31,KB1,YL31,6.88E+05,3.32E+05,1.02E+06,0.67,0.33
48,KB1YL31,KB1,YL31,3.90E+05,2.32E+05,6.22E+05,0.63,0.37
72,KB1YL31,KB1,YL31,2.63E+05,2.12E+05,4.75E+05,0.55,0.45
0,KB18YL31,KB18,YL31,3.66E+04,6.10E+05,6.47E+05,0.06,0.94
24,KB18YL31,KB18,YL31,1.73E+04,3.41E+05,3.58E+05,0.05,0.95
48,KB18YL31,KB18,YL31,1.65E+04,5.10E+05,5.27E+05,0.03,0.97
72,KB18YL31,KB18,YL31,1.49E+04,7.90E+05,8.05E+05,0.02,0.98
0,YL2YL31,YL2,YL31,2.33E+05,5.65E+05,7.98E+05,0.29,0.71
24,YL2YL31,YL2,YL31,5.17E+05,7.20E+05,1.24E+06,0.42,0.58
48,YL2YL31,YL2,YL31,3.77E+05,6.15E+05,9.92E+05,0.38,0.62
72,YL2YL31,YL2,YL31,4.20E+03,0.00E+00,4.20E+03,1.00,0.00
0,YL27YL31,YL27,YL31,2.83E+05,3.67E+05,6.49E+05,0.44,0.56
24,YL27YL31,YL27,YL31,9.13E+05,8.20E+05,1.73E+06,0.53,0.47
48,YL27YL31,YL27,YL31,1.10E+06,6.35E+05,1.73E+06,0.63,0.37
72,YL27YL31,YL27,YL31,1.48E+06,8.00E+05,2.28E+06,0.65,0.35
0,KB1YL32,KB1,YL32,6.85E+04,2.82E+04,9.67E+04,0.71,0.29
24,KB1YL32,KB1,YL32,2.28E+05,3.46E+04,2.63E+05,0.87,0.13
48,KB1YL32,KB1,YL32,4.60E+05,1.27E+04,4.73E+05,0.97,0.03
72,KB1YL32,KB1,YL32,1.73E+05,1.43E+04,1.87E+05,0.92,0.08
0,KB18YL32,KB18,YL32,6.65E+01,5.46E+04,5.47E+04,0.00,1.00
24,KB18YL32,KB18,YL32,3.31E+04,5.18E+04,8.49E+04,0.39,0.61
48,KB18YL32,KB18,YL32,1.77E+04,6.82E+04,8.59E+04,0.21,0.79
72,KB18YL32,KB18,YL32,2.08E+00,8.98E+04,8.98E+04,0.00,1.00
0,YL2YL32,YL2,YL32,4.97E+05,7.22E+04,5.69E+05,0.87,0.13
24,YL2YL32,YL2,YL32,2.23E+05,3.82E+04,2.62E+05,0.85,0.15
48,YL2YL32,YL2,YL32,8.47E+05,4.62E+04,8.93E+05,0.95,0.05
72,YL2YL32,YL2,YL32,1.89E+04,2.96E+03,2.19E+04,0.86,0.14
0,YL27YL32,YL27,YL32,3.00E+05,4.06E+04,3.41E+05,0.88,0.12
24,YL27YL32,YL27,YL32,9.08E+05,8.66E+04,9.94E+05,0.91,0.09
48,YL27YL32,YL27,YL32,1.97E+05,8.82E+04,2.85E+05,0.69,0.31
72,YL27YL32,YL27,YL32,2.50E+05,9.16E+04,3.42E+05,0.73,0.27
0,YL31YL32,YL31,YL32,1.31E+04,3.56E+04,4.87E+04,0.27,0.73
24,YL31YL32,YL31,YL32,2.39E+05,5.44E+04,2.93E+05,0.81,0.19
48,YL31YL32,YL31,YL32,2.98E+05,8.34E+04,3.81E+05,0.78,0.22
72,YL31YL32,YL31,YL32,4.91E+04,7.26E+04,1.22E+05,0.40,0.60
0,KB1YL44,KB1,YL44,4.15E+05,2.85E+05,7.00E+05,0.59,0.41
24,KB1YL44,KB1,YL44,9.33E+04,2.69E+04,1.20E+05,0.78,0.22
48,KB1YL44,KB1,YL44,5.53E+05,7.37E+02,5.53E+05,1.00,0.00
72,KB1YL44,KB1,YL44,2.00E+05,3.08E+02,2.00E+05,1.00,0.00
0,KB18YL44,KB18,YL44,1.56E+04,2.78E+05,2.94E+05,0.05,0.95
24,KB18YL44,KB18,YL44,1.41E+04,3.33E+05,3.47E+05,0.04,0.96
48,KB18YL44,KB18,YL44,3.09E+01,4.37E+05,4.37E+05,0.00,1.00
72,KB18YL44,KB18,YL44,8.65E+03,7.20E+05,7.29E+05,0.01,0.99
0,YL2YL44,YL2,YL44,1.39E+05,6.43E+05,7.82E+05,0.18,0.82
24,YL2YL44,YL2,YL44,6.23E+05,6.47E+04,6.88E+05,0.91,0.09
48,YL2YL44,YL2,YL44,6.17E+05,6.10E+03,6.23E+05,0.99,0.01
72,YL2YL44,YL2,YL44,3.40E+04,2.13E+02,3.42E+04,0.99,0.01
0,YL27YL44,YL27,YL44,8.18E+05,3.01E+05,1.12E+06,0.73,0.27
24,YL27YL44,YL27,YL44,3.25E+05,6.00E+04,3.85E+05,0.84,0.16
48,YL27YL44,YL27,YL44,8.40E+05,6.83E+03,8.47E+05,0.99,0.01
72,YL27YL44,YL27,YL44,1.30E+06,7.00E+03,1.31E+06,0.99,0.01
0,YL31YL44,YL31,YL44,5.80E+04,3.08E+05,3.66E+05,0.16,0.84
24,YL31YL44,YL31,YL44,9.35E+04,4.83E+05,5.77E+05,0.16,0.84
48,YL31YL44,YL31,YL44,3.67E+04,4.77E+05,5.13E+05,0.07,0.93
72,YL31YL44,YL31,YL44,1.37E+05,5.20E+05,6.57E+05,0.21,0.79
0,YL32YL44,YL32,YL44,4.14E+04,3.60E+05,4.01E+05,0.10,0.90
24,YL32YL44,YL32,YL44,8.06E+04,2.38E+05,3.19E+05,0.25,0.75
48,YL32YL44,YL32,YL44,6.62E+04,3.90E+03,7.01E+04,0.94,0.06
72,YL32YL44,YL32,YL44,8.12E+04,2.75E+03,8.40E+04,0.97,0.03
0,KB1YL45,KB1,YL45,1.42E+05,8.95E+04,2.31E+05,0.61,0.39
24,KB1YL45,KB1,YL45,4.88E+05,6.53E+04,5.53E+05,0.88,0.12
48,KB1YL45,KB1,YL45,4.70E+05,4.90E+04,5.19E+05,0.91,0.09
72,KB1YL45,KB1,YL45,1.51E+05,4.20E+04,1.93E+05,0.78,0.22
0,KB18YL45,KB18,YL45,4.37E+04,1.07E+05,1.50E+05,0.29,0.71
24,KB18YL45,KB18,YL45,3.82E+04,6.28E+04,1.01E+05,0.38,0.62
48,KB18YL45,KB18,YL45,5.75E+02,6.73E+04,6.79E+04,0.01,0.99
72,KB18YL45,KB18,YL45,4.84E+00,1.37E+05,1.37E+05,0.00,1.00
0,YL2YL45,YL2,YL45,4.37E+05,1.29E+05,5.66E+05,0.77,0.23
24,YL2YL45,YL2,YL45,4.60E+05,6.83E+04,5.28E+05,0.87,0.13
48,YL2YL45,YL2,YL45,3.47E+05,9.60E+04,4.43E+05,0.78,0.22
72,YL2YL45,YL2,YL45,2.05E+04,5.77E+03,2.63E+04,0.78,0.22
0,YL27YL45,YL27,YL45,3.53E+05,1.15E+05,4.68E+05,0.75,0.25
24,YL27YL45,YL27,YL45,4.00E+05,1.80E+05,5.80E+05,0.69,0.31
48,YL27YL45,YL27,YL45,4.53E+05,1.34E+05,5.87E+05,0.77,0.23
72,YL27YL45,YL27,YL45,4.75E+05,1.10E+05,5.85E+05,0.81,0.19
0,YL31YL45,YL31,YL45,8.20E+04,1.26E+05,2.08E+05,0.40,0.60
24,YL31YL45,YL31,YL45,1.62E+05,6.40E+04,2.26E+05,0.72,0.28
48,YL31YL45,YL31,YL45,1.60E+05,7.10E+04,2.31E+05,0.69,0.31
72,YL31YL45,YL31,YL45,1.49E+05,7.15E+04,2.20E+05,0.68,0.33
0,YL32YL45,YL32,YL45,5.10E+04,8.55E+04,1.37E+05,0.37,0.63
24,YL32YL45,YL32,YL45,9.66E+04,4.28E+04,1.39E+05,0.69,0.31
48,YL32YL45,YL32,YL45,1.10E+05,5.87E+04,1.69E+05,0.65,0.35
72,YL32YL45,YL32,YL45,7.70E+04,4.77E+04,1.25E+05,0.62,0.38
0,YL44YL45,YL44,YL45,3.90E+05,1.09E+05,4.99E+05,0.78,0.22
24,YL44YL45,YL44,YL45,1.17E+06,7.58E+04,1.25E+06,0.94,0.06
48,YL44YL45,YL44,YL45,4.27E+05,6.55E+04,4.92E+05,0.87,0.13
72,YL44YL45,YL44,YL45,1.12E+06,5.30E+04,1.17E+06,0.95,0.05
0,I46YL58,I46,YL58,3.55E+05,4.58E+05,8.13E+05,0.44,0.56
24,I46YL58,I46,YL58,3.95E+05,6.90E+05,1.09E+06,0.36,0.64
48,I46YL58,I46,YL58,3.73E+05,1.04E+06,1.42E+06,0.26,0.74
72,I46YL58,I46,YL58,1.27E+05,1.96E+06,2.09E+06,0.06,0.94
0,I48YL58,I48,YL58,6.17E+05,4.32E+05,1.05E+06,0.59,0.41
24,I48YL58,I48,YL58,6.07E+05,1.67E+06,2.28E+06,0.27,0.73
48,I48YL58,I48,YL58,5.77E+05,1.10E+06,1.67E+06,0.34,0.66
72,I48YL58,I48,YL58,5.77E+05,1.83E+06,2.41E+06,0.24,0.76
0,I49YL58,I49,YL58,1.03E+05,5.66E+05,6.69E+05,0.15,0.85
24,I49YL58,I49,YL58,1.28E+04,1.88E+06,1.89E+06,0.01,0.99
48,I49YL58,I49,YL58,1.33E+02,1.39E+06,1.39E+06,0.00,1.00
72,I49YL58,I49,YL58,2.77E-01,2.00E+06,2.00E+06,0.00,1.00
0,KB1YL58,KB1,YL58,1.25E+05,4.76E+05,6.01E+05,0.21,0.79
24,KB1YL58,KB1,YL58,1.58E+05,4.22E+05,5.80E+05,0.27,0.73
48,KB1YL58,KB1,YL58,1.47E+05,2.84E+05,4.31E+05,0.34,0.66
72,KB1YL58,KB1,YL58,1.09E+05,4.64E+05,5.73E+05,0.19,0.81
0,KB18YL58,KB18,YL58,4.54E+00,6.60E+05,6.60E+05,0.00,1.00
24,KB18YL58,KB18,YL58,3.03E+04,1.74E+06,1.77E+06,0.02,0.98
48,KB18YL58,KB18,YL58,1.15E+04,1.47E+06,1.48E+06,0.01,0.99
72,KB18YL58,KB18,YL58,4.33E+02,1.80E+06,1.80E+06,0.00,1.00
0,YL2YL58,YL2,YL58,4.50E+05,6.18E+05,1.07E+06,0.42,0.58
24,YL2YL58,YL2,YL58,2.79E+05,6.36E+05,9.15E+05,0.30,0.70
48,YL2YL58,YL2,YL58,3.29E+05,8.58E+05,1.19E+06,0.28,0.72
72,YL2YL58,YL2,YL58,1.21E+05,1.11E+05,2.33E+05,0.52,0.48
0,YL27YL58,YL27,YL58,4.50E+05,7.58E+05,1.21E+06,0.37,0.63
24,YL27YL58,YL27,YL58,2.88E+05,1.41E+06,1.70E+06,0.17,0.83
48,YL27YL58,YL27,YL58,1.59E+04,1.48E+06,1.49E+06,0.01,0.99
72,YL27YL58,YL27,YL58,2.08E+02,1.92E+06,1.92E+06,0.00,1.00
0,YL31YL58,YL31,YL58,2.00E+02,5.02E+05,5.02E+05,0.00,1.00
24,YL31YL58,YL31,YL58,1.69E+05,1.38E+06,1.55E+06,0.11,0.89
48,YL31YL58,YL31,YL58,1.61E+05,1.32E+06,1.48E+06,0.11,0.89
72,YL31YL58,YL31,YL58,9.05E+03,1.63E+06,1.64E+06,0.01,0.99
0,YL32YL58,YL32,YL58,4.48E+07,2.84E+05,4.51E+07,0.99,0.01
24,YL32YL58,YL32,YL58,1.47E+07,1.14E+06,1.59E+07,0.93,0.07
48,YL32YL58,YL32,YL58,8.46E+06,1.01E+06,9.47E+06,0.89,0.11
72,YL32YL58,YL32,YL58,1.27E+07,8.40E+05,1.36E+07,0.94,0.06
0,YL44YL58,YL44,YL58,3.27E+03,6.96E+05,6.99E+05,0.00,1.00
24,YL44YL58,YL44,YL58,2.86E+05,1.29E+06,1.58E+06,0.18,0.82
48,YL44YL58,YL44,YL58,3.53E+04,1.90E+06,1.94E+06,0.02,0.98
72,YL44YL58,YL44,YL58,7.97E+03,1.66E+06,1.67E+06,0.00,1.00
0,YL45YL58,YL45,YL58,3.73E+04,6.50E+05,6.87E+05,0.05,0.95
24,YL45YL58,YL45,YL58,3.62E+04,2.26E+06,2.30E+06,0.02,0.98
48,YL45YL58,YL45,YL58,3.07E+04,1.46E+06,1.49E+06,0.02,0.98
72,YL45YL58,YL45,YL58,2.83E+04,1.95E+06,1.98E+06,0.01,0.99
0,I46 Mono,I46,,8.23E+05,,8.23E+05,1.00,0.00
24,I46 Mono,I46,,6.30E+05,,6.30E+05,1.00,0.00
48,I46 Mono,I46,,3.83E+05,,3.83E+05,1.00,0.00
72,I46 Mono,I46,,3.53E+05,,3.53E+05,1.00,0.00
0,I48 Mono,I48,,1.18E+06,,1.18E+06,1.00,0.00
24,I48 Mono,I48,,2.13E+06,,2.13E+06,1.00,0.00
48,I48 Mono,I48,,1.71E+06,,1.71E+06,1.00,0.00
72,I48 Mono,I48,,2.16E+06,,2.16E+06,1.00,0.00
0,KB1 Mono,KB1,,3.13E+05,,3.13E+05,1.00,0.00
24,KB1 Mono,KB1,,1.85E+05,,1.85E+05,1.00,0.00
48,KB1 Mono,KB1,,1.52E+05,,1.52E+05,1.00,0.00
72,KB1 Mono,KB1,,1.12E+05,,1.12E+05,1.00,0.00
0,KB18 Mono,KB18,,7.60E+04,,7.60E+04,1.00,0.00
24,KB18 Mono,KB18,,4.18E+04,,4.18E+04,1.00,0.00
48,KB18 Mono,KB18,,3.64E+04,,3.64E+04,1.00,0.00
72,KB18 Mono,KB18,,2.92E+04,,2.92E+04,1.00,0.00
0,YL2 Mono,YL2,,6.13E+05,,6.13E+05,1.00,0.00
24,YL2 Mono,YL2,,3.90E+05,,3.90E+05,1.00,0.00
48,YL2 Mono,YL2,,2.34E+05,,2.34E+05,1.00,0.00
72,YL2 Mono,YL2,,5.80E+05,,5.80E+05,1.00,0.00
0,YL27 Mono,YL27,,1.27E+06,,1.27E+06,1.00,0.00
24,YL27 Mono,YL27,,6.93E+05,,6.93E+05,1.00,0.00
48,YL27 Mono,YL27,,2.75E+05,,2.75E+05,1.00,0.00
72,YL27 Mono,YL27,,2.21E+06,,2.21E+06,1.00,0.00
0,YL31 Mono,YL31,,5.55E+05,,5.55E+05,1.00,0.00
24,YL31 Mono,YL31,,3.27E+05,,3.27E+05,1.00,0.00
48,YL31 Mono,YL31,,3.04E+05,,3.04E+05,1.00,0.00
72,YL31 Mono,YL31,,3.71E+05,,3.71E+05,1.00,0.00
0,YL32 Mono,YL32,,3.32E+07,,3.32E+07,1.00,0.00
24,YL32 Mono,YL32,,3.52E+07,,3.52E+07,1.00,0.00
48,YL32 Mono,YL32,,4.38E+07,,4.38E+07,1.00,0.00
72,YL32 Mono,YL32,,4.20E+07,,4.20E+07,1.00,0.00
0,YL44 Mono,YL44,,6.60E+05,,6.60E+05,1.00,0.00
24,YL44 Mono,YL44,,8.37E+05,,8.37E+05,1.00,0.00
48,YL44 Mono,YL44,,5.43E+05,,5.43E+05,1.00,0.00
72,YL44 Mono,YL44,,1.16E+06,,1.16E+06,1.00,0.00
0,YL45 Mono,YL45,,6.95E+04,,6.95E+04,1.00,0.00
24,YL45 Mono,YL45,,7.38E+04,,7.38E+04,1.00,0.00
48,YL45 Mono,YL45,,6.08E+04,,6.08E+04,1.00,0.00
72,YL45 Mono,YL45,,7.25E+04,,7.25E+04,1.00,0.00
0,YL58 Mono,YL58,,1.78E+06,,1.78E+06,1.00,0.00
24,YL58 Mono,YL58,,2.72E+06,,2.72E+06,1.00,0.00
48,YL58 Mono,YL58,,2.12E+06,,2.12E+06,1.00,0.00
72,YL58 Mono,YL58,,2.64E+06,,2.64E+06,1.00,0.00
