	0.0000	8.4197	9.0099	Source	Target
Thiamin-e0##Thiamin-e0##Enterococcus_faecalis_KB1	8.881784197001252e-16	-2.220446049250313e-16	-9.992007221626409e-16	Thiamin-e0	Thiamin-e0
Riboflavin-e0##fe3-e0##Enterococcus_faecalis_KB1	0.7060625360109613	0.0	0.0	Riboflavin-e0	fe3-e0
Putrescine-e0##H+-e0##Enterococcus_faecalis_KB1	8.689493569136175e-12	-2.8124999995807083	0.0	Putrescine-e0	H+-e0
Spermidine-e0##H+-e0##Enterococcus_faecalis_KB1	7.111511379775948e-11	-3.749999999395032	0.0	Spermidine-e0	H+-e0
Thiamin-e0##H+-e0##Enterococcus_faecalis_KB1	9.809220102852123e-11	9.402993939033877e-10	-4.46753745109163e-13	Thiamin-e0	H+-e0
Riboflavin-e0##H+-e0##Enterococcus_faecalis_KB1	-0.8825782012738728	-1067.997237029704	0.0	Riboflavin-e0	H+-e0
N-Acetyl-D-glucosamine-e0##H+-e0##Enterococcus_faecalis_KB1	4.015232590859341e-12	1.4562806516238425e-10	-6.4757309919666275	N-Acetyl-D-glucosamine-e0	H+-e0
Folate-e0##H+-e0##Enterococcus_faecalis_KB1	9.203482420616638e-11	-1.1996714732731562e-10	-2.305711177541525e-12	Folate-e0	H+-e0
Putrescine-e0##Uracil-e0##Enterococcus_faecalis_KB1	-3.7192471324942744e-14	0.9999999999983259	0.0	Putrescine-e0	Uracil-e0
Spermidine-e0##Uracil-e0##Enterococcus_faecalis_KB1	-2.8743674107545303e-13	0.999999999997555	0.0	Spermidine-e0	Uracil-e0
Riboflavin-e0##Uracil-e0##Enterococcus_faecalis_KB1	1.2144152350401782e-10	4.585114892884814	0.0	Riboflavin-e0	Uracil-e0
Spermidine-e0##L-Methionine-e0##Enterococcus_faecalis_KB1	-9.772183062750628e-13	-1.000000000008349	0.0	Spermidine-e0	L-Methionine-e0
Riboflavin-e0##L-Methionine-e0##Enterococcus_faecalis_KB1	4.3229775315012375e-10	14.748894121841113	0.0	Riboflavin-e0	L-Methionine-e0
Riboflavin-e0##Riboflavin-e0##Enterococcus_faecalis_KB1	3.83026943495679e-14	0.9999999999999567	0.0	Riboflavin-e0	Riboflavin-e0
Thiamin-e0##L-Cysteine-e0##Enterococcus_faecalis_KB1	-6.750155989720952e-13	-6.52233822506787e-12	2.4424906541753444e-15	Thiamin-e0	L-Cysteine-e0
Riboflavin-e0##L-Cysteine-e0##Enterococcus_faecalis_KB1	2.1718626896927162e-10	7.397459505207465	0.0	Riboflavin-e0	L-Cysteine-e0
Riboflavin-e0##L-Leucine-e0##Enterococcus_faecalis_KB1	1.396891491367569e-09	47.22328715671083	0.0	Riboflavin-e0	L-Leucine-e0
Riboflavin-e0##L-Isoleucine-e0##Enterococcus_faecalis_KB1	1.1310916647744307e-09	38.57060811375503	0.0	Riboflavin-e0	L-Isoleucine-e0
Thiamin-e0##L-Tyrosine-e0##Enterococcus_faecalis_KB1	-1.1854961456947422e-12	-1.1436629421268663e-11	-5.551115123125783e-15	Thiamin-e0	L-Tyrosine-e0
Riboflavin-e0##L-Tyrosine-e0##Enterococcus_faecalis_KB1	3.8064307261720387e-10	12.972744790651031	0.0	Riboflavin-e0	L-Tyrosine-e0
Riboflavin-e0##L-Phenylalanine-e0##Enterococcus_faecalis_KB1	5.833591387727211e-10	19.790702066311194	0.0	Riboflavin-e0	L-Phenylalanine-e0
Putrescine-e0##L-Serine-e0##Enterococcus_faecalis_KB1	-4.992672941739329e-13	0.9999999999749452	0.0	Putrescine-e0	L-Serine-e0
Spermidine-e0##L-Serine-e0##Enterococcus_faecalis_KB1	-4.217071136736195e-12	0.999999999963757	0.0	Spermidine-e0	L-Serine-e0
Riboflavin-e0##L-Serine-e0##Enterococcus_faecalis_KB1	1.8776802335196408e-09	65.08615084995192	0.0	Riboflavin-e0	L-Serine-e0
Folate-e0##L-Serine-e0##Enterococcus_faecalis_KB1	-5.516698209362403e-12	3.2598368449043846e-12	1.7743584379559252e-12	Folate-e0	L-Serine-e0
N-Acetyl-D-glucosamine-e0##N-Acetyl-D-glucosamine-e0##Enterococcus_faecalis_KB1	2.220446049250313e-16	0.0	-2.220446049250313e-16	N-Acetyl-D-glucosamine-e0	N-Acetyl-D-glucosamine-e0
Riboflavin-e0##L-Asparagine-e0##Enterococcus_faecalis_KB1	4.885833959633601e-10	16.66100964652211	0.0	Riboflavin-e0	L-Asparagine-e0
Riboflavin-e0##Ca2+-e0##Enterococcus_faecalis_KB1	2.0553114765675673e-11	0.7060625359965766	0.0	Riboflavin-e0	Ca2+-e0
Riboflavin-e0##Cu2+-e0##Enterococcus_faecalis_KB1	2.0520030119541843e-11	0.7060625359974957	0.0	Riboflavin-e0	Cu2+-e0
Riboflavin-e0##Fe2+-e0##Enterococcus_faecalis_KB1	-0.7060625359404393	2.412125072026613	0.0	Riboflavin-e0	Fe2+-e0
Riboflavin-e0##K+-e0##Enterococcus_faecalis_KB1	2.8341662350328534e-11	0.7060625359807198	0.0	Riboflavin-e0	K+-e0
Putrescine-e0##D-Mannose-e0##Enterococcus_faecalis_KB1	-9.872325179571817e-12	-0.18750000049090151	0.0	Putrescine-e0	D-Mannose-e0
Spermidine-e0##D-Mannose-e0##Enterococcus_faecalis_KB1	-8.288758568397725e-11	-0.7500000007077573	0.0	Spermidine-e0	D-Mannose-e0
Thiamin-e0##D-Mannose-e0##Enterococcus_faecalis_KB1	-1.141664540682541e-10	-1.1010894418461703e-09	-1.4299672557172016e-13	Thiamin-e0	D-Mannose-e0
Riboflavin-e0##D-Mannose-e0##Enterococcus_faecalis_KB1	0.17651567063285256	1249.5224528738675	0.0	Riboflavin-e0	D-Mannose-e0
N-Acetyl-D-glucosamine-e0##D-Mannose-e0##Enterococcus_faecalis_KB1	-4.598543767997398e-12	-1.7405454855179414e-10	1.2004626274448769	N-Acetyl-D-glucosamine-e0	D-Mannose-e0
Folate-e0##D-Mannose-e0##Enterococcus_faecalis_KB1	-1.0788481219492496e-10	1.4630474609589328e-10	3.979039320256561e-13	Folate-e0	D-Mannose-e0
Riboflavin-e0##L-Tryptophan-e0##Enterococcus_faecalis_KB1	1.794759896256437e-10	6.121310173997733	0.0	Riboflavin-e0	L-Tryptophan-e0
Riboflavin-e0##Cl--e0##Enterococcus_faecalis_KB1	2.0700996472555744e-11	0.7060625359964178	0.0	Riboflavin-e0	Cl--e0
Riboflavin-e0##Mg-e0##Enterococcus_faecalis_KB1	2.0551782498046123e-11	0.7060625359967042	0.0	Riboflavin-e0	Mg-e0
Folate-e0##Folate-e0##Enterococcus_faecalis_KB1	-6.661338147750939e-16	4.440892098500626e-16	-4.440892098500626e-16	Folate-e0	Folate-e0
Riboflavin-e0##Niacin##Enterococcus_faecalis_KB1	3.698130690565904e-11	1.0000000000392955	0.0	Riboflavin-e0	Niacin
Riboflavin-e0##PAN##Enterococcus_faecalis_KB1	2.94213542417765e-11	1.000000000035141	0.0	Riboflavin-e0	PAN
Riboflavin-e0##Pyridoxal##Enterococcus_faecalis_KB1	1.4680145987711057e-11	0.500000000016754	0.0	Riboflavin-e0	Pyridoxal
Spermidine-e0##Inosine##Enterococcus_faecalis_KB1	-2.2948309919001986e-12	-1.0000000000195617	0.0	Spermidine-e0	Inosine
Thiamin-e0##Inosine##Enterococcus_faecalis_KB1	-3.1517011223058944e-12	-3.0500935110922e-11	-7.993605777301127e-15	Thiamin-e0	Inosine
Riboflavin-e0##Inosine##Enterococcus_faecalis_KB1	1.011095207559265e-09	34.67381898542564	0.0	Riboflavin-e0	Inosine
Riboflavin-e0##Cytosine##Enterococcus_faecalis_KB1	1.9837997911054117e-10	6.580314084726227	0.0	Riboflavin-e0	Cytosine
Thiamin-e0##XAN-e0##Enterocloster_clostridioformis_YL32	-2.0000000000005262	0.0	0.0	Thiamin-e0	XAN-e0
Folate-e0##XAN-e0##Enterocloster_clostridioformis_YL32	-0.499999999998996	0.0	0.0	Folate-e0	XAN-e0
PAN##XAN-e0##Enterocloster_clostridioformis_YL32	55.133102161239506	0.0	0.0	PAN	XAN-e0
Putrescine-e0##Acetate-e0##Enterocloster_clostridioformis_YL32	0.33333333337280435	-0.33333333337280435	0.0	Putrescine-e0	Acetate-e0
Spermidine-e0##Acetate-e0##Enterocloster_clostridioformis_YL32	1.666666666716429	-1.666666666716429	0.0	Spermidine-e0	Acetate-e0
Thiamin-e0##Acetate-e0##Enterocloster_clostridioformis_YL32	-6.142857142887113	0.0	0.0	Thiamin-e0	Acetate-e0
Folate-e0##Acetate-e0##Enterocloster_clostridioformis_YL32	-4.452380952310346	0.0	0.0	Folate-e0	Acetate-e0
PAN##Acetate-e0##Enterocloster_clostridioformis_YL32	3632.9087930440132	0.0	0.0	PAN	Acetate-e0
Puryvate##Acetate-e0##Enterocloster_clostridioformis_YL32	0.5238095238077549	0.0	0.0	Puryvate	Acetate-e0
N-acetyl-D-gluosamine##Acetate-e0##Enterocloster_clostridioformis_YL32	-0.33333333333556525	0.0	0.0	N-acetyl-D-gluosamine	Acetate-e0
Putrescine-e0##Succinate-e0##Enterocloster_clostridioformis_YL32	-0.3333333333327229	0.3333333333327229	0.0	Putrescine-e0	Succinate-e0
Spermidine-e0##Succinate-e0##Enterocloster_clostridioformis_YL32	-1.6666666666658758	1.6666666666658758	0.0	Spermidine-e0	Succinate-e0
Thiamin-e0##Succinate-e0##Enterocloster_clostridioformis_YL32	-1.7142857142857617	0.0	0.0	Thiamin-e0	Succinate-e0
Folate-e0##Succinate-e0##Enterocloster_clostridioformis_YL32	-3.7619047619041295	0.0	0.0	Folate-e0	Succinate-e0
PAN##Succinate-e0##Enterocloster_clostridioformis_YL32	54.1565501127503	0.0	0.0	PAN	Succinate-e0
Puryvate##Succinate-e0##Enterocloster_clostridioformis_YL32	-0.38095238095237804	0.0	0.0	Puryvate	Succinate-e0
N-acetyl-D-gluosamine##Succinate-e0##Enterocloster_clostridioformis_YL32	0.3333333333333555	0.0	0.0	N-acetyl-D-gluosamine	Succinate-e0
Putrescine-e0##CO2-e0##Enterocloster_clostridioformis_YL32	-1.6666666666481325	1.6666666666481325	0.0	Putrescine-e0	CO2-e0
Spermidine-e0##CO2-e0##Enterocloster_clostridioformis_YL32	-3.3333333333100317	3.3333333333100317	0.0	Spermidine-e0	CO2-e0
Thiamin-e0##CO2-e0##Enterocloster_clostridioformis_YL32	-4.285714285727159	0.0	0.0	Thiamin-e0	CO2-e0
Folate-e0##CO2-e0##Enterocloster_clostridioformis_YL32	-2.2380952380621193	0.0	0.0	Folate-e0	CO2-e0
PAN##CO2-e0##Enterocloster_clostridioformis_YL32	1699.713747010329	0.0	0.0	PAN	CO2-e0
Puryvate##CO2-e0##Enterocloster_clostridioformis_YL32	0.3809523809515813	0.0	0.0	Puryvate	CO2-e0
N-acetyl-D-gluosamine##CO2-e0##Enterocloster_clostridioformis_YL32	-0.33333333333437937	0.0	0.0	N-acetyl-D-gluosamine	CO2-e0
Spermidine-e0##XAN-e0##Enterococcus_faecalis_KB1	-1.000000000007387	1.000000000007387	0.0	Spermidine-e0	XAN-e0
Thiamin-e0##XAN-e0##Enterococcus_faecalis_KB1	-1.0000000000116724	1.1546541500706553e-11	1.7763568394002505e-15	Thiamin-e0	XAN-e0
Riboflavin-e0##XAN-e0##Enterococcus_faecalis_KB1	13.165428977657852	-13.165428977657852	0.0	Riboflavin-e0	XAN-e0
