	0.7812	0.7813	0.7823	0.7827	1.5737	Source	Target
O2##Glycine##bc1015	0.0	0.0	0.8480737547163915	-0.7712270755091554	0.0	O2	Glycine
O2##dGTP##bc1015	0.0	0.0	0.019979759194871095	-0.018169329221125387	0.0	O2	dGTP
O2##fe3##bc1015	0.0	0.0	0.014237653125750427	-0.012947533774278602	0.0	O2	fe3
O2##Arsenate##bc1015	0.0	0.0	-0.002372942187723261	0.0021579222958096893	0.0	O2	Arsenate
O2##meso-2,6-Diaminopimelate##bc1015	0.0	0.0	0.04229888546706773	-0.03846604797594522	0.0	O2	meso-2,6-Diaminopimelate
O2##Deoxycytidine##bc1015	0.0	0.0	0.02472564357027763	-0.02248517381270255	0.0	O2	Deoxycytidine
O2##D-Glucose##bc1015	0.0	0.0	0.5498210459980584	0.0	0.0	O2	D-Glucose
O2##Heme##bc1015	0.0	0.0	0.004745884375392389	-0.004315844591568256	0.0	O2	Heme
O2##Nicotinamide ribonucleotide##bc1015	0.0	0.0	0.004745884375311175	-0.004315844591486934	0.0	O2	Nicotinamide ribonucleotide
O2##Mn2+##bc1015	0.0	0.0	0.004745884375310825	-0.0043158445914850685	0.0	O2	Mn2+
O2##Co2+##bc1015	0.0	0.0	0.004745884375393486	-0.004315844591569481	0.0	O2	Co2+
O2##L-Glutamate##bc1015	0.0	0.0	0.43181273970018585	-0.39268480430443486	0.0	O2	L-Glutamate
O2##L-Serine##bc1015	0.0	0.0	0.36092358162252725	-0.3282191398908472	0.0	O2	L-Serine
O2##Ala-Ala##bc1015	0.0	0.0	0.04229888546705981	-0.038466047975937265	0.0	O2	Ala-Ala
O2##Thiamin##bc1015	0.0	0.0	0.004745884375238181	-0.004315844591411506	0.0	O2	Thiamin
O2##Spermidine##bc1015	0.0	0.0	0.004745884375355857	-0.004315844591530022	0.0	O2	Spermidine
O2##L-Proline##bc1015	0.0	0.0	0.3117877055427888	-0.28353562291981727	0.0	O2	L-Proline
O2##PPi##bc1015	0.0	0.0	-0.046699221194755315	0.04246765518961	0.0	O2	PPi
O2##Zn2+##bc1015	0.0	0.0	0.0047458843754163964	-0.004315844591590549	0.0	O2	Zn2+
O2##dATP##bc1015	0.0	0.0	0.02946636004658751	-0.02679631878506468	0.0	O2	dATP
O2##K+##bc1015	0.0	0.0	0.0047458843753515525	-0.004315844591525876	0.0	O2	K+
O2##Chorismate##bc1015	0.0	0.0	0.009491768750619172	-0.008631689182968312	0.0	O2	Chorismate
O2##L-Cysteine##bc1015	0.0	0.0	0.12878187837632318	-0.11711253990161903	0.0	O2	L-Cysteine
O2##L-Leucine##bc1015	0.0	0.0	0.6348720670834626	-0.5773442756555244	0.0	O2	L-Leucine
O2##CMP##bc1015	0.0	0.0	0.14223927180998652	-0.12935051581361143	0.0	O2	CMP
O2##Putrescine##bc1015	0.0	0.0	0.004745884375407421	-0.00431584459158178	0.0	O2	Putrescine
O2##L-Valine##bc1015	0.0	0.0	0.5957103262905293	-0.5417311056268302	0.0	O2	L-Valine
O2##Cu2+##bc1015	0.0	0.0	0.004745884375318274	-0.004315844591494324	0.0	O2	Cu2+
O2##L-Methionine##bc1015	0.0	0.0	0.20665091601045352	-0.18792561462931553	0.0	O2	L-Methionine
O2##Niacin##bc1015	0.0	0.0	-0.004745884375389014	0.00431584459156405	0.0	O2	Niacin
O2##1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1015	0.0	0.0	0.21069682441124057	-0.1916049103112156	0.0	O2	1,2-Diacyl-sn-glycerol dioctadecanoyl
O2##5-Aminolevulinate##bc1015	0.0	0.0	0.03796707500278168	-0.034526756732184374	0.0	O2	5-Aminolevulinate
O2##Glycerol##bc1015	0.0	0.0	0.10534841220557142	-0.09580245515555953	0.0	O2	Glycerol
O2##L-Aspartate##bc1015	0.0	0.0	0.33965279033768986	-0.3088757631324724	0.0	O2	L-Aspartate
O2##H+##bc1015	0.0	0.0	2.4190796430689376	-3.199879088547145	0.0	O2	H+
O2##Ca2+##bc1015	0.0	0.0	0.004745884375402168	-0.004315844591577632	0.0	O2	Ca2+
O2##BIOT##bc1015	0.0	0.0	0.004745884375358104	-0.004315844591533264	0.0	O2	BIOT
O2##Formate##bc1015	0.0	0.0	0.004745884375340751	-0.004315844591515923	0.0	O2	Formate
O2##CO2##bc1015	0.0	0.0	-1.178452056621421	0.07166874130974568	0.0	O2	CO2
O2##L-Tryptophan##bc1015	0.0	0.0	0.07982970238535572	-0.07259607736594494	0.0	O2	L-Tryptophan
O2##TTP##bc1015	0.0	0.0	0.02946636004654315	-0.026796318785024465	0.0	O2	TTP
O2##Arsenite##bc1015	0.0	0.0	0.002372942187648562	-0.002157922295735792	0.0	O2	Arsenite
O2##Sulfate##bc1015	0.0	0.0	0.004745884375263323	-0.004315844591436684	0.0	O2	Sulfate
O2##Oxidized glutathione##bc1015	0.0	0.0	0.0023729421876448453	-0.002157922295732528	0.0	O2	Oxidized glutathione
O2##L-Threonine##bc1015	0.0	0.0	0.35697432953440794	-0.3246277421834686	0.0	O2	L-Threonine
O2##L-Histidine##bc1015	0.0	0.0	0.13405365117543774	-0.12190662048246888	0.0	O2	L-Histidine
O2##Cl-##bc1015	0.0	0.0	0.0047458843753614135	-0.004315844591535791	0.0	O2	Cl-
O2##Pyridoxal##bc1015	0.0	0.0	0.004745884375386561	-0.004315844591561663	0.0	O2	Pyridoxal
O2##S-Adenosyl-L-methionine##bc1015	0.0	0.0	0.01423765312531341	-0.01294753377384693	0.0	O2	S-Adenosyl-L-methionine
O2##Folate##bc1015	0.0	0.0	0.014237653125955155	-0.0129475337744876	0.0	O2	Folate
O2##L-Phenylalanine##bc1015	0.0	0.0	0.2613293087520023	-0.23764942307525952	0.0	O2	L-Phenylalanine
O2##Deoxyguanosine##bc1015	0.0	0.0	0.004745884375322267	-0.004315844591494225	0.0	O2	Deoxyguanosine
O2##Myristic acid##bc1015	0.0	0.0	0.14330021475976995	-0.13031532332467885	0.0	O2	Myristic acid
O2##TRHL##bc1015	0.0	0.0	0.10017489924767578	-0.09109773077703635	0.0	O2	TRHL
O2##D-Arabinose##bc1015	0.0	0.0	0.12689665640161205	-0.11539814392825358	0.0	O2	D-Arabinose
O2##UMP##bc1015	0.0	0.0	0.15836429793020754	-0.1440144016702939	0.0	O2	UMP
O2##NADP##bc1015	0.0	0.0	0.009491768750654642	-0.008631689183009094	0.0	O2	NADP
O2##L-Alanine##bc1015	0.0	0.0	0.7660379797341363	-0.6966248248500773	0.0	O2	L-Alanine
O2##Acetate##bc1015	0.0	0.0	1.198303873552629	-2.089721721525762	0.0	O2	Acetate
O2##Riboflavin##bc1015	0.0	0.0	0.014237653130500552	-0.012947533778227332	0.0	O2	Riboflavin
O2##GTP##bc1015	0.0	0.0	0.2290052276143541	-0.2082543304601823	0.0	O2	GTP
O2##L-Tyrosine##bc1015	0.0	0.0	0.2040929183624432	-0.1855994053411251	0.0	O2	L-Tyrosine
O2##L-Lysine##bc1015	0.0	0.0	0.48274376631141186	-0.43900080746763087	0.0	O2	L-Lysine
O2##L-Arginine##bc1015	0.0	0.0	0.41722316152332994	-0.3794172345351029	0.0	O2	L-Arginine
